Orthogroup	sacCer_protein	BG2_protein
OG0000034	NP_015023.1, NP_014006.1	QNG16835.1
OG0000035	NP_010694.1	QNG13430.1
OG0000035	NP_014973.1, NP_014796.3	QNG16780.1
OG0000036	NP_015121.1	QNG14086.1
OG0000036	NP_012371.2, NP_012755.1	QNG17073.1
OG0000037	NP_012483.3	QNG14893.1
OG0000037	NP_012542.1, NP_011708.3	QNG14105.1
OG0000038	NP_010927.1, NP_014653.1, NP_014652.1	QNG14561.1, QNG14560.1
OG0000039	NP_012757.1	QNG17076.1, QNG14678.1, QNG14679.1
OG0000040	NP_014032.1, NP_014555.1, NP_009703.3	QNG14937.1, QNG14750.1
OG0000041	NP_012257.1, NP_013974.1	QNG15709.1
OG0000041	NP_014962.3	QNG14838.1
OG0000042	NP_014873.3	QNG15031.1
OG0000042	NP_015186.1, NP_014872.1	QNG15038.1
OG0000043	NP_013565.3, NP_010026.1, NP_014265.3	QNG15810.1, QNG15505.1
OG0000044	NP_012794.1	QNG15720.1, QNG15719.1, QNG15718.1
OG0000045	NP_013173.1	QNG16695.1
OG0000045	NP_116611.1, NP_013290.1	QNG15942.1
OG0000046	NP_010294.1	QNG16154.1
OG0000046	NP_014468.3, NP_015267.1	QNG17028.1
OG0000047	NP_014442.1, NP_010013.2, NP_013211.1	QNG16335.1, QNG17219.1
OG0000048	NP_015277.1	QNG16678.1
OG0000048	NP_012842.1, NP_011717.4	QNG16390.1
OG0000051	NP_011959.1	QNG12176.1
OG0000051	NP_010628.3	QNG12193.1
OG0000052	NP_010640.1	QNG15999.1
OG0000052	NP_011974.1	QNG12207.1
OG0000053	NP_009707.3	QNG12221.1
OG0000053	NP_014763.1	QNG15996.1
OG0000054	NP_009486.3, NP_011024.1	QNG14647.1, QNG12296.1
OG0000055	NP_011261.1, NP_116711.3	QNG14472.1, QNG12310.1
OG0000056	NP_009868.3, NP_009866.1, NP_010020.1	QNG12315.1
OG0000057	NP_013278.1	QNG12350.1
OG0000057	NP_010793.2	QNG15240.1
OG0000058	NP_013281.1	QNG12352.1
OG0000058	NP_010790.3	QNG15238.1
OG0000059	NP_010407.1	QNG12388.1
OG0000059	NP_013197.1	QNG17203.1
OG0000060	NP_009347.1	QNG14615.1
OG0000060	NP_013254.1	QNG12424.1
OG0000061	NP_013461.1	QNG12430.1
OG0000061	NP_011570.1	QNG15583.1
OG0000062	NP_013880.1	QNG15648.1
OG0000062	NP_013357.1	QNG12454.1
OG0000063	NP_011606.3, NP_015436.1	QNG12487.1, QNG13833.1
OG0000064	NP_009580.1	QNG12497.1
OG0000064	NP_009593.1	QNG16151.1
OG0000065	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3	QNG12531.1
OG0000066	NP_010499.1	QNG13648.1
OG0000066	NP_013329.1	QNG12561.1
OG0000067	NP_009804.1	QNG12585.1
OG0000067	NP_014948.1	QNG14826.1
OG0000068	NP_011039.1	QNG13854.1
OG0000068	NP_009468.1	QNG12593.1
OG0000069	NP_014913.3	QNG12643.1
OG0000069	NP_013770.1	QNG13581.1
OG0000070	NP_014446.3	QNG12665.1
OG0000070	NP_010018.1	QNG13057.1
OG0000071	NP_009555.1, NP_010284.1	QNG12696.1, QNG17164.1
OG0000072	NP_010511.3, NP_009552.1	QNG15886.1, QNG12699.1
OG0000073	NP_012405.2	QNG16367.1
OG0000073	NP_012643.3	QNG12719.1
OG0000074	NP_009421.3	QNG12726.1
OG0000074	NP_010265.1	QNG15466.1
OG0000075	NP_014582.1	QNG12730.1
OG0000075	NP_010262.1	QNG15463.1
OG0000076	NP_013517.1	QNG13531.1
OG0000076	NP_012734.1	QNG12776.1
OG0000077	NP_015405.1, NP_009676.1	QNG12811.1, QNG15731.1
OG0000078	NP_011318.2	QNG12839.1
OG0000078	NP_011058.3	QNG15481.1
OG0000079	NP_013120.1	QNG12907.1
OG0000079	NP_013089.1	QNG13002.1
OG0000080	NP_010586.3	QNG14195.1
OG0000080	NP_011898.1	QNG12934.1
OG0000081	NP_011910.1, NP_011909.1	QNG12943.1, QNG17271.1
OG0000082	NP_012832.1	QNG15327.1
OG0000082	NP_013796.1	QNG12951.1
OG0000083	NP_015464.1, NP_011636.3	QNG12976.1, QNG14867.1
OG0000084	NP_011466.1	QNG13032.1
OG0000084	NP_011678.3	QNG13181.1
OG0000085	NP_013407.1	QNG13036.1
OG0000085	NP_012335.1	QNG13417.1
OG0000086	NP_015019.1	QNG13047.1
OG0000086	NP_010996.2	QNG15005.1
OG0000087	NP_014100.2	QNG16869.1
OG0000087	NP_014526.1	QNG13131.1
OG0000088	NP_013086.1	QNG13183.1
OG0000088	NP_010419.3	QNG16336.1
OG0000089	NP_009634.2, NP_010340.1	QNG13237.1, QNG16783.1
OG0000090	NP_014332.1, NP_011368.3	QNG13253.1, QNG14075.1
OG0000091	NP_015103.1, NP_011376.3	QNG13292.1, QNG14530.1
OG0000092	NP_013902.1	QNG14527.1
OG0000092	NP_015100.2	QNG13295.1
OG0000093	NP_012765.3	QNG13305.1
OG0000093	NP_011913.1	QNG14888.1
OG0000094	NP_012719.2	QNG15412.1
OG0000094	NP_012600.1	QNG13340.1
OG0000095	NP_009373.1	QNG13973.1
OG0000095	NP_014971.1	QNG13348.1
OG0000096	NP_014966.1	QNG13352.1
OG0000096	NP_009379.2	QNG15250.1
OG0000097	NP_009385.2	QNG14409.1
OG0000097	NP_014597.1	QNG13357.1
OG0000098	NP_009387.1	QNG14411.1
OG0000098	NP_014599.1	QNG13360.1
OG0000099	NP_010613.1	QNG16764.1
OG0000099	NP_011948.1	QNG13455.1
OG0000100	NP_014000.1	QNG13460.1
OG0000100	NP_013598.1	QNG15159.1
OG0000101	NP_014467.3	QNG15161.1
OG0000101	NP_014002.1	QNG13462.1
OG0000102	NP_015149.1	QNG13466.1
OG0000102	NP_014899.1	QNG15781.1
OG0000103	NP_116670.1	QNG15850.1
OG0000103	NP_013359.1	QNG13513.1
OG0000104	NP_011659.3, NP_015485.1	QNG14844.1, QNG13520.1
OG0000105	NP_012851.1, NP_013769.1	QNG16396.1, QNG13580.1
OG0000106	NP_011453.1, NP_009777.1	QNG13609.1, QNG15687.1
OG0000107	NP_011754.3	QNG13654.1
OG0000107	NP_012028.1	QNG16036.1
OG0000108	NP_011757.3	QNG13657.1
OG0000108	NP_012031.1	QNG16039.1
OG0000109	NP_011770.3, NP_012044.1	QNG13666.1, QNG16054.1
OG0000110	NP_011795.1, NP_014035.1	QNG13716.1, QNG17311.1
OG0000111	NP_014724.1	QNG15637.1
OG0000111	NP_013015.1	QNG13803.1
OG0000112	NP_012115.1	QNG14425.1
OG0000112	NP_013022.1	QNG13811.1
OG0000113	NP_012943.1	QNG13842.1
OG0000113	NP_012453.1	QNG16843.1
OG0000114	NP_014751.1, NP_014295.1	QNG13987.1, QNG13902.1
OG0000115	NP_012003.1	QNG13966.1
OG0000115	NP_014245.1	QNG15125.1
OG0000116	NP_014304.1	QNG13978.1
OG0000116	NP_014735.1	QNG16456.1
OG0000117	NP_013684.1, NP_010741.1	QNG15663.1, QNG14009.1
OG0000118	NP_010378.1	QNG14048.1
OG0000118	NP_011093.3	QNG16638.1
OG0000120	NP_012140.1	QNG14076.1
OG0000120	NP_014933.3	QNG16917.1
OG0000121	NP_013403.1, NP_014833.3	QNG15968.1, QNG14108.1
OG0000122	NP_012595.1	QNG14212.1
OG0000122	NP_012721.1	QNG14541.1
OG0000123	NP_012723.3	QNG14542.1
OG0000123	NP_012593.3	QNG14214.1
OG0000124	NP_015251.1	QNG14370.1
OG0000124	NP_010966.1	QNG14985.1
OG0000125	NP_015244.1, NP_009748.3	QNG16992.1, QNG14376.1
OG0000126	NP_009740.3, NP_015235.1	QNG16983.1, QNG14382.1
OG0000127	NP_010763.2	QNG17097.1
OG0000127	NP_014662.1	QNG14502.1
OG0000128	NP_010933.1	QNG14553.1
OG0000128	NP_013807.1	QNG14933.1
OG0000129	NP_010316.1, NP_009610.1	QNG15904.1, QNG14580.1
OG0000130	NP_015299.1	QNG14641.1
OG0000130	NP_010533.1	QNG15878.1
OG0000131	NP_015067.1	QNG14662.1
OG0000131	NP_013926.1	QNG16587.1
OG0000132	NP_009698.3	QNG17143.1
OG0000132	NP_014560.1	QNG14753.1
OG0000134	NP_015184.1	QNG16814.1
OG0000134	NP_014876.1	QNG15034.1
OG0000135	NP_014880.3	QNG15036.1
OG0000135	NP_015180.1	QNG16811.1
OG0000136	NP_015188.1	QNG16818.1
OG0000136	NP_014870.1	QNG15041.1
OG0000137	NP_010151.1	QNG15273.1
OG0000137	NP_010099.1	QNG15148.1
OG0000138	NP_014847.3	QNG16491.1
OG0000138	NP_015206.1	QNG15169.1
OG0000139	NP_014142.1	QNG15216.1
OG0000139	NP_012025.1	QNG16031.1
OG0000140	NP_010851.1	QNG15228.1
OG0000140	NP_014131.1	QNG15227.1
OG0000141	NP_010087.1	QNG15263.1
OG0000141	NP_010143.1	QNG16109.1
OG0000142	NP_010144.1	QNG15265.1
OG0000142	NP_010089.1	QNG16111.1
OG0000143	NP_012344.1, NP_009960.2	QNG16258.1, QNG15418.1
OG0000144	NP_009640.1	QNG16777.1
OG0000144	NP_011720.3	QNG15429.1
OG0000145	NP_011860.1	QNG15510.1
OG0000145	NP_012917.3	QNG17153.1
OG0000146	NP_013822.1	QNG15716.1
OG0000146	NP_012796.1	QNG15538.1
OG0000147	NP_013823.1	QNG15539.1
OG0000147	NP_012795.1	QNG15717.1
OG0000148	NP_012793.2	QNG15721.1
OG0000148	NP_013827.1	QNG15543.1
OG0000149	NP_012345.1, NP_013471.1	QNG15592.1, QNG16259.1
OG0000150	NP_013361.1	QNG15651.1
OG0000150	NP_014814.1	QNG16416.1
OG0000151	NP_012401.1	QNG16130.1
OG0000151	NP_012979.3	QNG15751.1
OG0000152	NP_011991.1	QNG16692.1
OG0000152	NP_014269.4	QNG15806.1
OG0000153	NP_012585.1	QNG16006.1
OG0000153	NP_010867.3	QNG16173.1
OG0000154	NP_010898.1, NP_058137.1	QNG16849.1, QNG16266.1
OG0000155	NP_009936.1, NP_014399.3	QNG16276.1, QNG16857.1
OG0000156	NP_010417.3	QNG16334.1
OG0000156	NP_013209.1	QNG17217.1
OG0000157	NP_010384.3, NP_011104.3	QNG16649.1, QNG16342.1
OG0000158	NP_014815.3, NP_014805.3, NP_012700.1, NP_013368.1	QNG16415.1
OG0000159	NP_013637.1	QNG16624.1
OG0000159	NP_013554.3	QNG16731.1
OG0000160	NP_015268.1	QNG17029.1
OG0000160	NP_009719.3	QNG16952.1
OG0000161	NP_012211.2, NP_010984.3	QNG17216.1, QNG17251.1
OG0000164	NP_011490.2	QNG12160.1, QNG12162.1
OG0000165	NP_011487.3	QNG12165.1, QNG13167.1
OG0000166	NP_011971.1	QNG12205.1, QNG16628.1
OG0000167	NP_011975.1	QNG12208.1, QNG16000.1
OG0000168	NP_009497.2	QNG16162.1, QNG12288.1
OG0000169	NP_009867.1, NP_009869.3	QNG12314.1
OG0000170	NP_011569.1	QNG15582.1, QNG12431.1
OG0000171	NP_010854.1	QNG13155.1, QNG12464.1
OG0000172	NP_009579.1	QNG12498.1, QNG16153.1
OG0000173	NP_014752.3	QNG12509.1, QNG13901.1
OG0000174	NP_009924.4	QNG17156.1, QNG12512.1
OG0000175	NP_012157.3	QNG12806.1, QNG12569.1
OG0000176	NP_012159.1	QNG12571.1, QNG12807.1
OG0000177	NP_009803.3, NP_012899.3, NP_012303.1	QNG12586.1
OG0000178	NP_009800.1, NP_009952.2, NP_011411.3	QNG12589.1
OG0000179	NP_014910.1	QNG13472.1, QNG12641.1
OG0000180	NP_013059.1	QNG12653.1, QNG13202.1
OG0000181	NP_013057.1	QNG12655.1, QNG13204.1
OG0000182	NP_010007.1	QNG12671.1, QNG13063.1
OG0000183	NP_009420.1	QNG15467.1, QNG12725.1
OG0000184	NP_014586.1, NP_015065.1, NP_015446.2	QNG12727.1
OG0000185	NP_014573.1	QNG15453.1, QNG12740.1
OG0000186	NP_013915.1	QNG14165.1, QNG12762.1
OG0000187	NP_010228.1	QNG12804.1, QNG14353.1
OG0000188	NP_013127.2	QNG15065.1, QNG12843.1
OG0000189	NP_013119.1	QNG13004.1, QNG12906.1
OG0000190	NP_015452.1	QNG12968.1, QNG16034.1
OG0000191	NP_013231.1	QNG16894.1, QNG13098.1
OG0000192	NP_014518.1	QNG16871.1, QNG13124.1
OG0000193	NP_014637.1	QNG13146.1, QNG15381.1
OG0000194	NP_013072.1	QNG13871.1, QNG13195.1
OG0000195	NP_010336.3	QNG14504.1, QNG13216.1
OG0000196	NP_009636.3	QNG16781.1, QNG13238.1
OG0000197	NP_010344.1, NP_014984.3, NP_009638.1	QNG13242.1
OG0000198	NP_014490.1	QNG13264.1, QNG13261.1
OG0000199	NP_015237.1	QNG13262.1
OG0000200	NP_009362.1	QNG13278.1, QNG17234.1
OG0000201	NP_009386.1	QNG13359.1, QNG14410.1
OG0000202	NP_116648.2	QNG13406.1, QNG16506.1
OG0000203	NP_013696.1	QNG14347.1, QNG13452.1
OG0000204	NP_011403.1	QNG13620.1, QNG13626.1
OG0000205	NP_012827.1	QNG13636.1, QNG13635.1
OG0000206	NP_012078.3	QNG13705.1, QNG16710.1
OG0000207	NP_012998.1	QNG13785.1, QNG16569.1
OG0000208	NP_012171.1	QNG13814.1, QNG15015.1
OG0000209	NP_011044.1	QNG14334.1, QNG13859.1
OG0000210	NP_014541.1	QNG14735.1, QNG13896.1
OG0000211	NP_010354.3	QNG14704.1, QNG13924.1
OG0000212	NP_015507.1	QNG14142.1, QNG14126.1
OG0000213	NP_013923.1	QNG16584.1, QNG14162.1
OG0000214	NP_013988.1	QNG14234.1, QNG15150.1
OG0000215	NP_011438.1, NP_010071.1, NP_014454.3	QNG14277.1
OG0000216	NP_013481.3	QNG16116.1, QNG14351.1
OG0000217	NP_009350.1	QNG15179.1, QNG14399.1
OG0000218	NP_009562.1	QNG14400.1, QNG14401.1
OG0000219	NP_014051.3	QNG14438.1, QNG17322.1
OG0000220	NP_010956.1, NP_010957.1, NP_011290.1	QNG14544.1
OG0000221	NP_009615.1	QNG14587.1, QNG15908.1
OG0000222	NP_010967.3	QNG14986.1, QNG14628.1
OG0000223	NP_013932.1	QNG14655.1, QNG16592.1
OG0000224	NP_012370.1	QNG14681.1, QNG17071.1
OG0000225	NP_014274.1	QNG14802.1, QNG14803.1
OG0000226	NP_014951.4	QNG14831.1, QNG14830.1
OG0000227	NP_010404.1, NP_009852.3, NP_013806.1	QNG14934.1
OG0000228	NP_011348.1	QNG14949.1, QNG16128.1
OG0000229	NP_013311.1	QNG15254.1, QNG16095.1
OG0000230	NP_011856.1	QNG15507.1, QNG17150.1
OG0000231	NP_012922.1	QNG15513.1, QNG17158.1
OG0000232	NP_011579.1	QNG15593.1, QNG15591.1
OG0000233	NP_011980.1	QNG15639.1, QNG16004.1
OG0000234	NP_014810.1	QNG15655.1, QNG16418.1
OG0000235	NP_012818.1, NP_013802.1, NP_013801.1	QNG15763.1
OG0000236	NP_013656.1, NP_012088.3, NP_013536.3	QNG15856.1
OG0000237	NP_010323.3, NP_010325.1, NP_010324.3	QNG15910.1
OG0000238	NP_012583.1	QNG16177.1, QNG16009.1
OG0000239	NP_010880.3	QNG16011.1, QNG16181.1
OG0000240	NP_009959.2	QNG16262.1, QNG16830.1
OG0000241	NP_014278.3	QNG16686.1, QNG16440.1
OG0000242	NP_012873.1	QNG17279.1, QNG16684.1
OG0000243	NP_013042.1, NP_012664.1, NP_013628.1	QNG16727.1
OG0000244	NP_013222.1, NP_013221.1, NP_010428.3	QNG16889.1
OG0000251	NP_009544.1, NP_011494.1	QNG12112.1
OG0000252	NP_011502.1, NP_009548.1	QNG12122.1
OG0000253	NP_011507.1, NP_015289.1	QNG12124.1
OG0000254	NP_013432.1, NP_011524.1	QNG12147.1
OG0000256	NP_011484.1, NP_011664.3	QNG12167.1
OG0000257	NP_013730.1, NP_011523.3	QNG12172.1
OG0000258	NP_014661.1, NP_116677.3	QNG12188.1
OG0000259	NP_010645.1, NP_011976.1	QNG12212.1
OG0000260	NP_014776.1, NP_010673.1	QNG12242.1
OG0000261	NP_009526.1, NP_009641.1	QNG12244.1
OG0000262	NP_013128.1, NP_013839.1	QNG12248.1
OG0000263	NP_013129.1, NP_013840.1	QNG12249.1
OG0000264	NP_011022.1, NP_009492.1	QNG12293.1
OG0000265	NP_009481.1, NP_011028.1	QNG12298.1
OG0000266	NP_009879.2, NP_010817.3	QNG12327.1
OG0000267	NP_009880.2, NP_010819.1	QNG12328.1
OG0000268	NP_001032573.1, NP_878067.1	QNG12329.1
OG0000269	NP_009893.2, NP_010803.3	QNG12339.1
OG0000270	NP_013280.1, NP_013279.1	QNG12351.1
OG0000271	NP_013284.1, NP_010789.1	QNG12355.1
OG0000272	NP_013286.1, NP_010788.1	QNG12356.1
OG0000273	NP_010021.1	QNG13053.1, QNG12358.1
OG0000274	NP_010392.1, NP_013184.1	QNG12376.1
OG0000275	NP_013582.1, NP_013625.1	QNG12414.1
OG0000276	NP_013581.1, NP_013623.1	QNG12415.1
OG0000277	NP_013465.1, NP_014780.3	QNG12427.1
OG0000278	NP_011555.3, NP_013457.1	QNG12441.1
OG0000279	NP_014384.3, NP_013350.1	QNG12457.1
OG0000280	NP_013349.1, NP_011357.1	QNG12458.1
OG0000281	NP_010295.3, NP_009587.1	QNG12492.1
OG0000282	NP_009577.1, NP_012294.3	QNG12500.1
OG0000283	NP_014744.1, NP_014301.1	QNG12504.1
OG0000286	NP_014254.1, NP_010749.3	QNG12595.1
OG0000287	NP_009395.1, NP_014659.1	QNG12635.1
OG0000288	NP_014816.2, NP_013372.1	QNG12649.1
OG0000289	NP_014445.1, NP_010015.3	QNG12666.1
OG0000290	NP_013911.1, NP_015084.1	QNG12766.1
OG0000291	NP_013907.1, NP_015094.1	QNG12770.1
OG0000292	NP_013510.3, NP_010208.1	QNG12785.1
OG0000293	NP_001335753.1, NP_015404.1	QNG12813.1
OG0000294	NP_009675.3, NP_015399.1	QNG12817.1
OG0000295	NP_012781.1, NP_013836.1	QNG12846.1
OG0000296	NP_013046.2, NP_010031.1	QNG12872.1
OG0000297	NP_012278.3, NP_013113.1	QNG12921.1
OG0000298	NP_015044.1, NP_015035.1	QNG12957.1
OG0000299	NP_015445.1, NP_011623.3	QNG12964.1
OG0000300	NP_011693.1, NP_015022.3	QNG13017.1
OG0000301	NP_013666.1, NP_012588.1	QNG13022.1
OG0000302	NP_013410.1, NP_013411.1	QNG13039.1
OG0000303	NP_013079.1, NP_013417.3	QNG13045.1
OG0000304	NP_010435.1, NP_013237.1	QNG13093.1
OG0000305	NP_014511.1, NP_116604.1	QNG13110.1
OG0000306	NP_014092.1, NP_014513.1	QNG13112.1
OG0000307	NP_014097.1, NP_014520.1	QNG13126.1
OG0000308	NP_014098.1, NP_014521.1	QNG13127.1
OG0000309	NP_014525.1, NP_013829.1	QNG13130.1
OG0000310	NP_013055.1, NP_011830.1	QNG13206.1
OG0000311	NP_011829.1, NP_013054.1	QNG13207.1
OG0000312	NP_011816.2, NP_011823.1	QNG13213.1
OG0000313	NP_010174.1, NP_011371.1	QNG13251.1
OG0000314	NP_116715.3, NP_014982.3	QNG13271.1
OG0000315	NP_014983.1, NP_009368.2	QNG13272.1
OG0000316	NP_011381.1, NP_015105.1	QNG13291.1
OG0000317	NP_015096.1, NP_013905.1	QNG13297.1
OG0000318	NP_015092.1, NP_013908.1	QNG13302.1
OG0000320	NP_012252.1, NP_014654.1	QNG13376.1
OG0000321	NP_013162.1, NP_116619.1	QNG13387.1
OG0000322	NP_015308.1, NP_116635.1	QNG13399.1
OG0000323	NP_116651.1, NP_015306.1	QNG13408.1
OG0000324	NP_012337.1, NP_009966.2	QNG13416.1
OG0000325	NP_010860.1, NP_010706.3	QNG13440.1
OG0000326	NP_009642.3, NP_009523.1	QNG13492.1
OG0000327	NP_009514.1, NP_012637.4	QNG13502.1
OG0000328	NP_012131.1, NP_014325.3	QNG13516.1
OG0000329	NP_015480.1, NP_011652.1	QNG13518.1
OG0000330	NP_014823.3, NP_013386.1	QNG13529.1
OG0000331	NP_010492.3, NP_013334.1	QNG13542.1
OG0000332	NP_010463.1, NP_013265.1	QNG13564.1
OG0000333	NP_878063.3, NP_013748.1	QNG13567.1
OG0000334	NP_013751.1, NP_012861.1	QNG13570.1
OG0000335	NP_013762.1, NP_012855.1	QNG13576.1
OG0000336	NP_012301.3, NP_012852.1	QNG13607.1
OG0000337	NP_012830.1, NP_013798.1	QNG13632.1
OG0000338	NP_013892.1, NP_013893.1	QNG13644.1
OG0000339	NP_012679.3, NP_012073.1	QNG13697.1
OG0000340	NP_009402.1, NP_011513.1	QNG13730.1
OG0000341	NP_011537.1, NP_013436.1	QNG13737.1
OG0000342	NP_013448.1, NP_011548.2	QNG13746.1
OG0000343	NP_009679.2, NP_015406.1	QNG13759.1
OG0000344	NP_011599.1, NP_015427.1	QNG13778.1
OG0000345	NP_013002.3, NP_013977.1	QNG13791.1
OG0000346	NP_013020.3, NP_012118.1	QNG13807.1
OG0000347	NP_013021.1, NP_012117.3	QNG13808.1
OG0000348	NP_014351.3, NP_012161.1	QNG13824.1
OG0000349	NP_015440.1, NP_011611.1	QNG13839.1
OG0000350	NP_011027.1, NP_009484.2	QNG13843.1
OG0000351	NP_011042.3, NP_009466.1	QNG13857.1
OG0000352	NP_009461.2, NP_011046.3	QNG13861.1
OG0000353	NP_013045.1, NP_013104.1	QNG13877.1
OG0000354	NP_012962.3, NP_012423.1	QNG13885.1
OG0000355	NP_013475.1, NP_011584.2	QNG13908.1
OG0000356	NP_014202.1, NP_010057.1	QNG13932.1
OG0000357	NP_010055.1, NP_014195.1	QNG13934.1
OG0000358	NP_014205.1, NP_010059.1	QNG13940.1
OG0000359	NP_012010.1, NP_014237.2	QNG13957.1
OG0000360	NP_036194.1, NP_014242.1	QNG13964.1
OG0000361	NP_014255.1, NP_011999.2	QNG13967.1
OG0000362	NP_014303.3, NP_014739.1	QNG13979.1
OG0000363	NP_013694.1, NP_010726.3	QNG14000.1
OG0000364	NP_013686.1, NP_010738.1	QNG14007.1
OG0000365	NP_013685.1, NP_010739.3	QNG14008.1
OG0000366	NP_010746.1, NP_013679.1	QNG14015.1
OG0000367	NP_011101.3, NP_010383.4	QNG14051.1
OG0000368	NP_010471.1, NP_013269.1	QNG14053.1
OG0000369	NP_012145.1, NP_012146.1	QNG14070.1
OG0000370	NP_015126.1, NP_011439.1	QNG14091.1
OG0000371	NP_014825.3, NP_013390.1	QNG14117.1
OG0000372	NP_010810.1, NP_009882.1	QNG14206.1
OG0000373	NP_013980.1, NP_015059.1	QNG14241.1
OG0000374	NP_012984.2, NP_012398.1	QNG14248.1
OG0000375	NP_012459.1, NP_012935.3	QNG14251.1
OG0000376	NP_012465.3, NP_009843.3	QNG14256.1
OG0000377	NP_015137.1, NP_011426.1	QNG14265.1
OG0000378	NP_011431.1, NP_015135.1	QNG14269.1
OG0000379	NP_009931.1, NP_014398.1	QNG14304.1
OG0000380	NP_013630.1, NP_012661.3	QNG14314.1
OG0000381	NP_010235.1, NP_013479.3	QNG14348.1
OG0000382	NP_015238.1, NP_009742.1	QNG14380.1
OG0000383	NP_015236.1, NP_009741.3	QNG14381.1
OG0000384	NP_009731.4, NP_015220.1	QNG14396.1
OG0000385	NP_010771.1, NP_015272.1	QNG14464.1
OG0000386	NP_014676.1, NP_010549.3	QNG14495.1
OG0000387	NP_015368.1, NP_012628.3	QNG14523.1
OG0000388	NP_015104.1, NP_011380.3	QNG14534.1
OG0000389	NP_011382.1, NP_015108.1	QNG14536.1
OG0000390	NP_015020.3, NP_009339.1	QNG14609.1
OG0000391	NP_009340.1, NP_009341.2	QNG14610.1
OG0000392	NP_012228.1, NP_010964.3	QNG14633.1
OG0000393	NP_011025.3, NP_009485.3	QNG14646.1
OG0000394	NP_014411.3, NP_013933.1	QNG14651.1
OG0000395	NP_012377.1, NP_012375.2	QNG14677.1
OG0000396	NP_010362.3, NP_011077.1	QNG14698.1
OG0000397	NP_010785.1, NP_014538.2	QNG14732.1
OG0000398	NP_009708.1, NP_014552.1	QNG14746.1
OG0000399	NP_011879.1, NP_116678.1	QNG14796.1
OG0000400	NP_012477.1, NP_009829.2	QNG14817.1
OG0000401	NP_012487.1, NP_009832.1	QNG14820.1
OG0000402	NP_011657.1, NP_015483.1	QNG14849.1
OG0000403	NP_015482.1, NP_011654.1	QNG14852.1
OG0000404	NP_011647.1, NP_015475.1	QNG14857.1
OG0000405	NP_011640.1, NP_015471.1	QNG14864.1
OG0000406	NP_014836.3, NP_015213.1	QNG14872.1
OG0000407	NP_011541.1, NP_013437.1	QNG14881.1
OG0000408	NP_011914.1, NP_014453.3	QNG14889.1
OG0000409	NP_011885.1, NP_012766.1	QNG14906.1
OG0000410	NP_012490.1, NP_012774.1	QNG14911.1
OG0000411	NP_012817.1, NP_013803.1	QNG14936.1
OG0000412	NP_015338.1, NP_015340.1	QNG14942.1
OG0000414	NP_116688.3, NP_012246.1	QNG14969.1
OG0000415	NP_012219.3, NP_010974.1	QNG14992.1
OG0000416	NP_012198.3, NP_010993.1	QNG15002.1
