Orthogroup	CBS138_protein	sacCer_protein
OG0000035	XP_449421.1	NP_014973.1, NP_014796.3
OG0000036	XP_446753.1	NP_015121.1
OG0000036	XP_449711.1	NP_012371.2, NP_012755.1
OG0000037	XP_447731.1	NP_012483.3
OG0000037	XP_446770.1	NP_012542.1, NP_011708.3
OG0000038	XP_447215.1, XP_447216.1	NP_010927.1, NP_014653.1, NP_014652.1
OG0000039	XP_449714.1, XP_447519.1, XP_447520.1	NP_012757.1
OG0000040	XP_447774.1, XP_447590.1	NP_014032.1, NP_014555.1, NP_009703.3
OG0000041	XP_448539.1	NP_012257.1, NP_013974.1
OG0000041	XP_447677.1	NP_014962.3
OG0000042	XP_447870.1	NP_014873.3
OG0000042	XP_447877.1	NP_015186.1, NP_014872.1
OG0000043	XP_448640.1, XP_448339.1	NP_013565.3, NP_010026.1, NP_014265.3
OG0000044	XP_448550.1, XP_448549.1, XP_448548.1	NP_012794.1
OG0000045	XP_449340.1	NP_013173.1
OG0000045	XP_448771.1	NP_116611.1, NP_013290.1
OG0000046	XP_447461.1	NP_010294.1
OG0000046	XP_449665.1	NP_014468.3, NP_015267.1
OG0000047	XP_449054.1, XP_449851.1	NP_014442.1, NP_010013.2, NP_013211.1
OG0000048	XP_449323.1	NP_015277.1
OG0000048	XP_448998.1	NP_012842.1, NP_011717.4
OG0000049	NP_818777.1	NP_009315.1, NP_009327.1, NP_009324.1, NP_009316.1, NP_009317.1, NP_009318.1
OG0000051	XP_444842.1	NP_011959.1
OG0000051	XP_444859.1	NP_010628.3
OG0000052	XP_447305.1	NP_010640.1
OG0000052	XP_444874.1	NP_011974.1
OG0000053	XP_444888.1	NP_009707.3
OG0000053	XP_447302.1	NP_014763.1
OG0000054	XP_447489.1, XP_444962.1	NP_009486.3, NP_011024.1
OG0000055	XP_447127.1, XP_444978.1	NP_011261.1, NP_116711.3
OG0000056	XP_445025.1, XP_444981.1	NP_009868.3, NP_009866.1, NP_010020.1
OG0000057	XP_445016.1	NP_013278.1
OG0000057	XP_448077.1	NP_010793.2
OG0000058	XP_445018.1	NP_013281.1
OG0000058	XP_448075.1	NP_010790.3
OG0000059	XP_445053.1	NP_010407.1
OG0000059	XP_449836.1	NP_013197.1
OG0000060	XP_448802.1	NP_009347.1
OG0000060	XP_445089.1	NP_013254.1
OG0000061	XP_445094.1	NP_013461.1
OG0000061	XP_448416.1	NP_011570.1
OG0000062	XP_448480.1	NP_013880.1
OG0000062	XP_445120.1	NP_013357.1
OG0000063	XP_445150.1, XP_446495.1	NP_011606.3, NP_015436.1
OG0000064	XP_445160.1	NP_009580.1
OG0000064	XP_447458.1	NP_009593.1
OG0000065	XP_445193.1	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3
OG0000066	XP_446310.1	NP_010499.1
OG0000066	XP_445226.1	NP_013329.1
OG0000067	XP_445248.1	NP_009804.1
OG0000067	XP_447665.1	NP_014948.1
OG0000068	XP_446516.1	NP_011039.1
OG0000068	XP_445257.1	NP_009468.1
OG0000069	XP_445306.1	NP_014913.3
OG0000069	XP_446243.1	NP_013770.1
OG0000070	XP_445328.1	NP_014446.3
OG0000070	XP_445706.1	NP_010018.1
OG0000071	XP_445364.1, XP_449801.1	NP_009555.1, NP_010284.1
OG0000072	XP_448713.1, XP_445367.1	NP_010511.3, NP_009552.1
OG0000073	XP_449022.1	NP_012405.2
OG0000073	XP_445387.1	NP_012643.3
OG0000074	XP_445393.1	NP_009421.3
OG0000074	XP_448301.1	NP_010265.1
OG0000075	XP_445397.1	NP_014582.1
OG0000075	XP_448298.1	NP_010262.1
OG0000076	XP_446194.1	NP_013517.1
OG0000076	XP_445431.1	NP_012734.1
OG0000077	XP_445466.1, XP_448561.1	NP_015405.1, NP_009676.1
OG0000078	XP_445493.1	NP_011318.2
OG0000078	XP_448316.1	NP_011058.3
OG0000079	XP_445558.1	NP_013120.1
OG0000079	XP_445651.1	NP_013089.1
OG0000080	XP_446861.1	NP_010586.3
OG0000080	XP_445585.1	NP_011898.1
OG0000081	XP_445594.1, XP_449905.1	NP_011910.1, NP_011909.1
OG0000082	XP_448166.1	NP_012832.1
OG0000082	XP_445602.2	NP_013796.1
OG0000083	XP_445625.1, XP_447707.1	NP_015464.1, NP_011636.3
OG0000084	XP_445680.1	NP_011466.1
OG0000084	XP_445832.1	NP_011678.3
OG0000085	XP_445684.1	NP_013407.1
OG0000085	XP_446075.1	NP_012335.1
OG0000086	XP_445696.1	NP_015019.1
OG0000086	XP_447844.1	NP_010996.2
OG0000087	XP_449509.1	NP_014100.2
OG0000087	XP_445781.1	NP_014526.1
OG0000088	XP_445834.1	NP_013086.1
OG0000088	XP_449053.1	NP_010419.3
OG0000089	XP_445889.1, XP_449424.1	NP_009634.2, NP_010340.1
OG0000090	XP_445905.1, XP_446742.1	NP_014332.1, NP_011368.3
OG0000091	XP_445947.1, XP_447185.1	NP_015103.1, NP_011376.3
OG0000092	XP_447182.1	NP_013902.1
OG0000092	XP_445950.1	NP_015100.2
OG0000093	XP_445960.2	NP_012765.3
OG0000093	XP_447726.1	NP_011913.1
OG0000094	XP_448247.1	NP_012719.2
OG0000094	XP_445995.1	NP_012600.1
OG0000095	XP_446637.1	NP_009373.1
OG0000095	XP_446003.1	NP_014971.1
OG0000096	XP_446007.1	NP_014966.1
OG0000096	XP_448088.1	NP_009379.2
OG0000097	XP_447067.1	NP_009385.2
OG0000097	XP_446013.1	NP_014597.1
OG0000098	XP_447069.1	NP_009387.1
OG0000098	XP_446016.1	NP_014599.1
OG0000099	XP_449405.1	NP_010613.1
OG0000099	XP_446112.1	NP_011948.1
OG0000100	XP_446118.1	NP_014000.1
OG0000100	XP_447996.1	NP_013598.1
OG0000101	XP_447998.1	NP_014467.3
OG0000101	XP_446120.1	NP_014002.1
OG0000102	XP_446125.1	NP_015149.1
OG0000102	XP_448611.1	NP_014899.1
OG0000103	XP_448679.1	NP_116670.1
OG0000103	XP_446176.1	NP_013359.1
OG0000104	XP_447683.1, XP_446183.1	NP_011659.3, NP_015485.1
OG0000105	XP_448992.1, XP_446242.1	NP_012851.1, NP_013769.1
OG0000106	XP_446270.1, XP_448518.1	NP_011453.1, NP_009777.1
OG0000107	XP_446316.1	NP_011754.3
OG0000107	XP_447342.1	NP_012028.1
OG0000108	XP_446319.1	NP_011757.3
OG0000108	XP_447345.1	NP_012031.1
OG0000109	XP_446328.1, XP_447360.1	NP_011770.3, NP_012044.1
OG0000110	XP_446378.1, XP_449944.1	NP_011795.1, NP_014035.1
OG0000111	XP_448470.1	NP_014724.1
OG0000111	XP_446465.1	NP_013015.1
OG0000112	XP_447083.1	NP_012115.1
OG0000112	XP_446473.1	NP_013022.1
OG0000113	XP_446504.1	NP_012943.1
OG0000113	XP_449485.1	NP_012453.1
OG0000114	XP_446653.1, XP_446566.1	NP_014751.1, NP_014295.1
OG0000115	XP_446629.1	NP_012003.1
OG0000115	XP_447964.1	NP_014245.1
OG0000116	XP_446643.1	NP_014304.1
OG0000116	XP_448934.1	NP_014735.1
OG0000117	XP_448495.1, XP_446677.1	NP_013684.1, NP_010741.1
OG0000118	XP_446714.1	NP_010378.1
OG0000118	XP_449281.1	NP_011093.3
OG0000120	XP_446743.1	NP_012140.1
OG0000120	XP_449556.1	NP_014933.3
OG0000121	XP_447274.1, XP_446773.1	NP_013403.1, NP_014833.3
OG0000122	XP_446877.1	NP_012595.1
OG0000122	XP_447196.1	NP_012721.1
OG0000123	XP_447197.1	NP_012723.3
OG0000123	XP_446879.1	NP_012593.3
OG0000124	XP_447029.1	NP_015251.1
OG0000124	XP_447823.1	NP_010966.1
OG0000125	XP_449630.1, XP_447035.1	NP_015244.1, NP_009748.3
OG0000126	XP_449621.1, XP_447041.1	NP_009740.3, NP_015235.1
OG0000127	XP_449735.1	NP_010763.2
OG0000127	XP_447158.1	NP_014662.1
OG0000128	XP_447208.1	NP_010933.1
OG0000128	XP_447770.1	NP_013807.1
OG0000129	XP_448732.1, XP_447235.1	NP_010316.1, NP_009610.1
OG0000130	XP_447483.1	NP_015299.1
OG0000130	XP_448705.1	NP_010533.1
OG0000131	XP_447504.1	NP_015067.1
OG0000131	XP_449230.1	NP_013926.1
OG0000132	XP_449781.1	NP_009698.3
OG0000132	XP_447593.1	NP_014560.1
OG0000134	XP_449456.1	NP_015184.1
OG0000134	XP_447873.1	NP_014876.1
OG0000135	XP_447875.1	NP_014880.3
OG0000135	XP_449452.1	NP_015180.1
OG0000136	XP_449460.1	NP_015188.1
OG0000136	XP_447880.1	NP_014870.1
OG0000137	XP_448111.1	NP_010151.1
OG0000137	XP_447985.1	NP_010099.1
OG0000138	XP_448898.1	NP_014847.3
OG0000138	XP_448006.1	NP_015206.1
OG0000139	XP_448053.1	NP_014142.1
OG0000139	XP_447337.1	NP_012025.1
OG0000140	XP_448064.1	NP_010851.1
OG0000140	XP_448063.1	NP_014131.1
OG0000141	XP_448101.1	NP_010087.1
OG0000141	XP_447417.1	NP_010143.1
OG0000142	XP_448103.1	NP_010144.1
OG0000142	XP_447419.1	NP_010089.1
OG0000143	XP_449129.1, XP_448253.1	NP_012344.1, NP_009960.2
OG0000144	XP_449418.1	NP_009640.1
OG0000144	XP_448264.1	NP_011720.3
OG0000145	XP_448344.1	NP_011860.1
OG0000145	XP_449791.1	NP_012917.3
OG0000146	XP_448545.1	NP_013822.1
OG0000146	XP_448372.1	NP_012796.1
OG0000147	XP_448373.1	NP_013823.1
OG0000147	XP_448546.1	NP_012795.1
OG0000148	XP_448551.1	NP_012793.2
OG0000148	XP_448376.1	NP_013827.1
OG0000149	XP_448425.1, XP_002999595.1	NP_012345.1, NP_013471.1
OG0000150	XP_448483.1	NP_013361.1
OG0000150	XP_448973.1	NP_014814.1
OG0000151	XP_447437.1	NP_012401.1
OG0000151	XP_448581.1	NP_012979.3
OG0000152	XP_449337.1	NP_011991.1
OG0000152	XP_448636.1	NP_014269.4
OG0000153	XP_447312.1	NP_012585.1
OG0000153	XP_448824.1	NP_010867.3
OG0000154	XP_002999600.1, XP_449124.2	NP_010898.1, NP_058137.1
OG0000155	XP_449115.1, XP_449497.1	NP_009936.1, NP_014399.3
OG0000156	XP_449055.1	NP_010417.3
OG0000156	XP_449849.1	NP_013209.1
OG0000157	XP_449292.1, XP_449048.1	NP_010384.3, NP_011104.3
OG0000158	XP_448974.1	NP_014815.3, NP_014805.3, NP_012700.1, NP_013368.1
OG0000159	XP_449267.1	NP_013637.1
OG0000159	XP_449373.1	NP_013554.3
OG0000160	XP_449666.1	NP_015268.1
OG0000160	XP_449590.1	NP_009719.3
OG0000161	XP_449848.1, XP_449883.1	NP_012211.2, NP_010984.3
OG0000164	XP_002999511.1, XP_444828.1	NP_011490.2
OG0000165	XP_444831.1, XP_445816.1	NP_011487.3
OG0000166	XP_444872.1, XP_449271.1	NP_011971.1
OG0000167	XP_444875.1, XP_447306.1	NP_011975.1
OG0000168	XP_447469.1, XP_444954.1	NP_009497.2
OG0000169	XP_445024.2, XP_444980.2	NP_009867.1, NP_009869.3
OG0000170	XP_448415.1, XP_445095.2	NP_011569.1
OG0000171	XP_445804.1, XP_445129.1	NP_010854.1
OG0000172	XP_445161.1, XP_447460.1	NP_009579.1
OG0000173	XP_445172.1, XP_446565.1	NP_014752.3
OG0000174	XP_449793.1, XP_445175.2	NP_009924.4
OG0000175	XP_445461.1, XP_445233.1	NP_012157.3
OG0000176	XP_445235.1, XP_445462.1	NP_012159.1
OG0000177	XP_445249.1	NP_009803.3, NP_012899.3, NP_012303.1
OG0000178	XP_445252.1	NP_009800.1, NP_009952.2, NP_011411.3
OG0000179	XP_446131.1, XP_445303.1	NP_014910.1
OG0000180	XP_445316.1, XP_445854.1	NP_013059.1
OG0000181	XP_445318.1, XP_445856.1	NP_013057.1
OG0000182	XP_445334.1, XP_445712.1	NP_010007.1
OG0000183	XP_448302.1, XP_445392.1	NP_009420.1
OG0000184	XP_445394.1	NP_014586.1, NP_015065.1, NP_015446.2
OG0000185	XP_448288.1, XP_445407.1	NP_014573.1
OG0000186	XP_446832.1, XP_448791.1	NP_013915.1
OG0000187	XP_445459.1, XP_447012.1	NP_010228.1
OG0000188	XP_447904.1, XP_445496.1	NP_013127.2
OG0000189	XP_445653.1, XP_445557.1	NP_013119.1
OG0000190	XP_445618.1, XP_447340.1	NP_015452.1
OG0000191	XP_449534.1, XP_445747.1	NP_013231.1
OG0000192	XP_449511.1, XP_445774.1	NP_014518.1
OG0000193	XP_445795.1, XP_448220.1	NP_014637.1
OG0000194	XP_446533.1, XP_445846.1	NP_013072.1
OG0000195	XP_447160.1, XP_445868.1	NP_010336.3
OG0000196	XP_449422.1, XP_445890.1	NP_009636.3
OG0000197	XP_445894.1	NP_010344.1, NP_014984.3, NP_009638.1
OG0000198	XP_445918.1, XP_445913.1	NP_014490.1
OG0000199	XP_445916.1, XP_445914.1, XP_445915.1	NP_015237.1
OG0000200	XP_445932.1, XP_449865.1	NP_009362.1
OG0000201	XP_446015.1, XP_447068.1	NP_009386.1
OG0000202	XP_446064.1, XP_449151.1	NP_116648.2
OG0000203	XP_447006.1, XP_446110.1	NP_013696.1
OG0000204	XP_446282.1, XP_446288.1	NP_011403.1
OG0000205	XP_446298.1, XP_446297.1	NP_012827.1
OG0000206	XP_446368.1, XP_449352.1	NP_012078.3
OG0000207	XP_446447.1, XP_449212.1	NP_012998.1
OG0000208	XP_446476.1, XP_447853.1	NP_012171.1
OG0000209	XP_446994.1, XP_446521.1	NP_011044.1
OG0000210	XP_447575.1, XP_446560.1	NP_014541.1
OG0000211	XP_447544.1, XP_446588.1	NP_010354.3
OG0000212	XP_446808.1, XP_446791.1	NP_015507.1
OG0000213	XP_449227.1, XP_446828.1	NP_013923.1
OG0000214	XP_446899.1, XP_447987.1	NP_013988.1
OG0000215	XP_446941.1	NP_011438.1, NP_010071.1, NP_014454.3
OG0000216	XP_447425.1, XP_447010.1	NP_013481.3
OG0000217	XP_448016.1, XP_447057.1	NP_009350.1
OG0000218	XP_447058.1, XP_447059.1	NP_009562.1
OG0000219	XP_447094.1, XP_449955.1	NP_014051.3
OG0000220	XP_447199.1	NP_010956.1, NP_010957.1, NP_011290.1
OG0000221	XP_447241.1, XP_448736.1	NP_009615.1
OG0000222	XP_447824.1, XP_448815.1	NP_010967.3
OG0000223	XP_447497.1, XP_449235.1	NP_013932.1
OG0000224	XP_447522.1, XP_449709.1	NP_012370.1
OG0000225	XP_447641.1, XP_447642.1	NP_014274.1
OG0000226	XP_447670.1, XP_447669.1	NP_014951.4
OG0000227	XP_447771.1	NP_010404.1, NP_009852.3, NP_013806.1
OG0000228	XP_447786.1, XP_447436.1	NP_011348.1
OG0000229	XP_448092.1, XP_447403.1	NP_013311.1
OG0000230	XP_448341.1, XP_449788.1	NP_011856.1
OG0000231	XP_448347.1, XP_449795.1	NP_012922.1
OG0000232	XP_448426.1, XP_448424.1	NP_011579.1
OG0000233	XP_448472.1, XP_447310.1	NP_011980.1
OG0000234	XP_448971.1, XP_448486.1	NP_014810.1
OG0000235	XP_448593.1	NP_012818.1, NP_013802.1, NP_013801.1
OG0000236	XP_448685.1	NP_013656.1, NP_012088.3, NP_013536.3
OG0000237	XP_448738.1	NP_010323.3, NP_010325.1, NP_010324.3
OG0000238	XP_448828.1, XP_447315.1	NP_012583.1
OG0000239	XP_448832.1, XP_447317.1	NP_010880.3
OG0000240	XP_449127.1, XP_449472.1	NP_009959.2
OG0000241	XP_449331.1, XP_448950.1	NP_014278.3
OG0000242	XP_449913.1, XP_449329.1	NP_012873.1
OG0000243	XP_449369.1	NP_013042.1, NP_012664.1, NP_013628.1
OG0000244	XP_449529.1	NP_013222.1, NP_013221.1, NP_010428.3
OG0000245	NP_818779.1	NP_009311.2, NP_009308.2, NP_009310.1, NP_009309.1
OG0000251	XP_444782.1	NP_009544.1, NP_011494.1
OG0000252	XP_444792.1	NP_011502.1, NP_009548.1
OG0000253	XP_444794.1	NP_011507.1, NP_015289.1
OG0000254	XP_444815.1	NP_013432.1, NP_011524.1
OG0000256	XP_444833.1	NP_011484.1, NP_011664.3
OG0000257	XP_444838.1	NP_013730.1, NP_011523.3
OG0000258	XP_444854.1	NP_014661.1, NP_116677.3
OG0000259	XP_444879.1	NP_010645.1, NP_011976.1
OG0000260	XP_444908.1	NP_014776.1, NP_010673.1
OG0000261	XP_444910.1	NP_009526.1, NP_009641.1
OG0000262	XP_444914.1	NP_013128.1, NP_013839.1
OG0000263	XP_444915.1	NP_013129.1, NP_013840.1
OG0000264	XP_444959.1	NP_011022.1, NP_009492.1
OG0000265	XP_444964.1	NP_009481.1, NP_011028.1
OG0000266	XP_444993.1	NP_009879.2, NP_010817.3
OG0000267	XP_444994.1	NP_009880.2, NP_010819.1
OG0000268	XP_444996.1	NP_001032573.1, NP_878067.1
OG0000269	XP_445005.1	NP_009893.2, NP_010803.3
OG0000270	XP_445017.1	NP_013280.1, NP_013279.1
OG0000271	XP_445021.1	NP_013284.1, NP_010789.1
OG0000272	XP_445022.1	NP_013286.1, NP_010788.1
OG0000273	XP_445702.1	NP_010021.1
OG0000274	XP_445042.1	NP_010392.1, NP_013184.1
OG0000275	XP_445079.1	NP_013582.1, NP_013625.1
OG0000276	XP_445080.1	NP_013581.1, NP_013623.1
OG0000277	XP_445091.1	NP_013465.1, NP_014780.3
OG0000278	XP_445107.1	NP_011555.3, NP_013457.1
OG0000279	XP_445123.1	NP_014384.3, NP_013350.1
OG0000280	XP_445124.1	NP_013349.1, NP_011357.1
OG0000281	XP_445155.1	NP_010295.3, NP_009587.1
OG0000282	XP_445163.1	NP_009577.1, NP_012294.3
OG0000283	XP_445167.1	NP_014744.1, NP_014301.1
OG0000286	XP_002999523.1	NP_014254.1, NP_010749.3
OG0000287	XP_445297.1	NP_009395.1, NP_014659.1
OG0000288	XP_445312.1	NP_014816.2, NP_013372.1
OG0000289	XP_445329.1	NP_014445.1, NP_010015.3
OG0000290	XP_448795.1	NP_013911.1, NP_015084.1
OG0000291	XP_448799.1	NP_013907.1, NP_015094.1
OG0000292	XP_445440.1	NP_013510.3, NP_010208.1
OG0000293	XP_445468.1	NP_001335753.1, NP_015404.1
OG0000294	XP_445471.1	NP_009675.3, NP_015399.1
OG0000295	XP_445499.1	NP_012781.1, NP_013836.1
OG0000296	XP_445523.1	NP_013046.2, NP_010031.1
OG0000297	XP_445572.1	NP_012278.3, NP_013113.1
OG0000298	XP_445607.1	NP_015044.1, NP_015035.1
OG0000299	XP_445614.1	NP_015445.1, NP_011623.3
OG0000300	XP_445666.1	NP_011693.1, NP_015022.3
OG0000301	XP_445671.1	NP_013666.1, NP_012588.1
OG0000302	XP_445687.1	NP_013410.1, NP_013411.1
OG0000303	XP_445693.1	NP_013079.1, NP_013417.3
OG0000304	XP_445742.1	NP_010435.1, NP_013237.1
OG0000305	XP_445759.1	NP_014511.1, NP_116604.1
OG0000306	XP_445762.1	NP_014092.1, NP_014513.1
OG0000307	XP_445776.1	NP_014097.1, NP_014520.1
OG0000308	XP_445777.1	NP_014098.1, NP_014521.1
OG0000309	XP_445780.1	NP_014525.1, NP_013829.1
OG0000310	XP_445858.1	NP_013055.1, NP_011830.1
OG0000311	XP_445859.1	NP_011829.1, NP_013054.1
OG0000312	XP_445865.1	NP_011816.2, NP_011823.1
OG0000313	XP_445903.1	NP_010174.1, NP_011371.1
OG0000314	XP_445925.1	NP_116715.3, NP_014982.3
OG0000315	XP_445926.1	NP_014983.1, NP_009368.2
OG0000316	XP_445946.1	NP_011381.1, NP_015105.1
OG0000317	XP_445952.1	NP_015096.1, NP_013905.1
OG0000318	XP_445957.1	NP_015092.1, NP_013908.1
OG0000320	XP_446033.1	NP_012252.1, NP_014654.1
OG0000321	XP_446045.2	NP_013162.1, NP_116619.1
OG0000322	XP_446057.1	NP_015308.1, NP_116635.1
OG0000323	XP_446066.1	NP_116651.1, NP_015306.1
OG0000324	XP_446074.1	NP_012337.1, NP_009966.2
OG0000325	XP_446098.1	NP_010860.1, NP_010706.3
OG0000326	XP_446154.1	NP_009642.3, NP_009523.1
OG0000327	XP_446164.1	NP_009514.1, NP_012637.4
OG0000328	XP_446179.1	NP_012131.1, NP_014325.3
OG0000329	XP_446181.1	NP_015480.1, NP_011652.1
OG0000330	XP_446192.1	NP_014823.3, NP_013386.1
OG0000331	XP_446204.1	NP_010492.3, NP_013334.1
OG0000332	XP_446226.1	NP_010463.1, NP_013265.1
OG0000333	XP_446229.1	NP_878063.3, NP_013748.1
OG0000334	XP_446232.1	NP_013751.1, NP_012861.1
OG0000335	XP_446238.1	NP_013762.1, NP_012855.1
OG0000336	XP_446268.1	NP_012301.3, NP_012852.1
OG0000337	XP_446294.1	NP_012830.1, NP_013798.1
OG0000338	XP_446306.1	NP_013892.1, NP_013893.1
OG0000339	XP_446360.1	NP_012679.3, NP_012073.1
OG0000340	XP_446392.1	NP_009402.1, NP_011513.1
OG0000341	XP_446399.1	NP_011537.1, NP_013436.1
OG0000342	XP_446408.1	NP_013448.1, NP_011548.2
OG0000343	XP_446421.1	NP_009679.2, NP_015406.1
OG0000344	XP_446440.1	NP_011599.1, NP_015427.1
OG0000345	XP_446453.1	NP_013002.3, NP_013977.1
OG0000346	XP_446470.2	NP_013020.3, NP_012118.1
OG0000347	XP_446471.1	NP_013021.1, NP_012117.3
OG0000348	XP_446486.1	NP_014351.3, NP_012161.1
OG0000349	XP_446501.1	NP_015440.1, NP_011611.1
OG0000350	XP_446505.1	NP_011027.1, NP_009484.2
OG0000351	XP_446519.1	NP_011042.3, NP_009466.1
OG0000352	XP_446523.1	NP_009461.2, NP_011046.3
OG0000353	XP_446540.1	NP_013045.1, NP_013104.1
OG0000354	XP_446548.1	NP_012962.3, NP_012423.1
OG0000355	XP_446572.1	NP_013475.1, NP_011584.2
OG0000356	XP_446595.1	NP_014202.1, NP_010057.1
OG0000357	XP_446597.1	NP_010055.1, NP_014195.1
OG0000358	XP_446603.1	NP_014205.1, NP_010059.1
OG0000359	XP_446620.2	NP_012010.1, NP_014237.2
OG0000360	XP_446627.1	NP_036194.1, NP_014242.1
OG0000361	XP_446631.1	NP_014255.1, NP_011999.2
OG0000362	XP_446644.1	NP_014303.3, NP_014739.1
OG0000363	XP_446666.1	NP_013694.1, NP_010726.3
OG0000364	XP_446675.1	NP_013686.1, NP_010738.1
OG0000365	XP_446676.1	NP_013685.1, NP_010739.3
OG0000366	XP_446683.1	NP_010746.1, NP_013679.1
OG0000367	XP_446717.1	NP_011101.3, NP_010383.4
OG0000368	XP_446719.1	NP_010471.1, NP_013269.1
OG0000369	XP_446737.1	NP_012145.1, NP_012146.1
OG0000370	XP_446758.1	NP_015126.1, NP_011439.1
OG0000371	XP_446782.1	NP_014825.3, NP_013390.1
OG0000372	XP_446871.1	NP_010810.1, NP_009882.1
OG0000373	XP_446905.1	NP_013980.1, NP_015059.1
OG0000374	XP_446912.1	NP_012984.2, NP_012398.1
OG0000375	XP_446915.1	NP_012459.1, NP_012935.3
OG0000376	XP_446920.1	NP_012465.3, NP_009843.3
OG0000377	XP_446929.1	NP_015137.1, NP_011426.1
OG0000378	XP_446933.1	NP_011431.1, NP_015135.1
OG0000379	XP_446968.1	NP_009931.1, NP_014398.1
OG0000380	XP_446978.1	NP_013630.1, NP_012661.3
OG0000381	XP_447007.1	NP_010235.1, NP_013479.3
OG0000382	XP_447039.1	NP_015238.1, NP_009742.1
OG0000383	XP_447040.1	NP_015236.1, NP_009741.3
OG0000384	XP_447054.1	NP_009731.4, NP_015220.1
OG0000385	XP_447119.1	NP_010771.1, NP_015272.1
OG0000386	XP_447150.1	NP_014676.1, NP_010549.3
OG0000387	XP_447178.1	NP_015368.1, NP_012628.3
OG0000388	XP_447189.1	NP_015104.1, NP_011380.3
OG0000389	XP_447191.1	NP_011382.1, NP_015108.1
OG0000390	XP_445421.1	NP_015020.3, NP_009339.1
OG0000391	XP_445422.1	NP_009340.1, NP_009341.2
OG0000392	XP_447475.1	NP_012228.1, NP_010964.3
OG0000393	XP_447488.1	NP_011025.3, NP_009485.3
OG0000394	XP_447493.1	NP_014411.3, NP_013933.1
OG0000395	XP_447518.1	NP_012377.1, NP_012375.2
OG0000396	XP_447538.1	NP_010362.3, NP_011077.1
OG0000397	XP_447572.1	NP_010785.1, NP_014538.2
OG0000398	XP_447586.1	NP_009708.1, NP_014552.1
OG0000399	XP_447635.1	NP_011879.1, NP_116678.1
OG0000400	XP_447656.1	NP_012477.1, NP_009829.2
OG0000401	XP_447659.1	NP_012487.1, NP_009832.1
OG0000402	XP_447687.1	NP_011657.1, NP_015483.1
OG0000403	XP_447691.1	NP_015482.1, NP_011654.1
OG0000404	XP_447696.1	NP_011647.1, NP_015475.1
OG0000405	XP_447703.1	NP_011640.1, NP_015471.1
OG0000406	XP_447712.1	NP_014836.3, NP_015213.1
OG0000407	XP_447719.1	NP_011541.1, NP_013437.1
OG0000408	XP_447727.1	NP_011914.1, NP_014453.3
OG0000409	XP_447744.1	NP_011885.1, NP_012766.1
OG0000410	XP_447749.1	NP_012490.1, NP_012774.1
OG0000411	XP_447773.1	NP_012817.1, NP_013803.1
OG0000412	XP_447780.1	NP_015338.1, NP_015340.1
OG0000414	XP_447807.1	NP_116688.3, NP_012246.1
OG0000415	XP_447830.1	NP_012219.3, NP_010974.1
