Orthogroup	CBS138_protein	BG2_protein
OG0000018	XP_449187.1	QNG16542.1
OG0000018	XP_448689.1	QNG15861.1
OG0000018	XP_447339.1	QNG16033.1
OG0000018	XP_447364.1	QNG16058.1
OG0000021	XP_445184.1	QNG12521.1
OG0000021	XP_445447.1	QNG12792.1
OG0000021	XP_446953.1	QNG14288.1
OG0000022	XP_445191.1	QNG12529.1
OG0000022	XP_448803.1	QNG14616.1
OG0000022	XP_447832.1	QNG14994.1
OG0000023	XP_448224.1	QNG15385.1
OG0000023	XP_445790.1	QNG13141.1
OG0000023	XP_448225.1	QNG15386.1
OG0000024	XP_448401.1	QNG15568.1
OG0000024	XP_446406.1	QNG13744.1
OG0000024	XP_449945.1	QNG17312.1
OG0000025	XP_446574.1	QNG13910.1
OG0000025	XP_447392.1	QNG16084.1
OG0000025	XP_447319.1	QNG16013.1
OG0000027	XP_446765.1	QNG14100.1
OG0000027	XP_445142.1	QNG12479.1
OG0000027	XP_445143.1	QNG12480.1
OG0000028	XP_445860.1	QNG13208.1
OG0000028	XP_445319.1	QNG12656.1
OG0000029	XP_445354.1, XP_449637.1, XP_447226.1	QNG16999.1
OG0000030	XP_445355.1	QNG17000.1, QNG14570.1
OG0000030	XP_447225.1, XP_449638.1	QNG12688.1
OG0000031	XP_446377.1	QNG13714.1
OG0000031	XP_449946.1	QNG17313.1
OG0000031	XP_446407.1	QNG13745.1
OG0000032	XP_449164.1	QNG16519.1
OG0000032	XP_446436.1	QNG13774.1
OG0000032	XP_446490.1	QNG13828.1
OG0000033	XP_444824.1	QNG12157.1
OG0000033	XP_445420.1	QNG14608.1
OG0000034	XP_445072.1	QNG12407.1
OG0000034	XP_449477.1	QNG16835.1
OG0000035	XP_446088.1	QNG13430.1
OG0000035	XP_449421.1	QNG16780.1
OG0000036	XP_446753.1	QNG14086.1
OG0000036	XP_449711.1	QNG17073.1
OG0000037	XP_447731.1	QNG14893.1
OG0000037	XP_446770.1	QNG14105.1
OG0000038	XP_447215.1	QNG14561.1
OG0000038	XP_447216.1	QNG14560.1
OG0000039	XP_449714.1	QNG17076.1
OG0000039	XP_447519.1	QNG14678.1
OG0000039	XP_447520.1	QNG14679.1
OG0000040	XP_447774.1	QNG14937.1
OG0000040	XP_447590.1	QNG14750.1
OG0000041	XP_448539.1	QNG15709.1
OG0000041	XP_447677.1	QNG14838.1
OG0000042	XP_447870.1	QNG15031.1
OG0000042	XP_447877.1	QNG15038.1
OG0000043	XP_448640.1	QNG15810.1
OG0000043	XP_448339.1	QNG15505.1
OG0000044	XP_448550.1	QNG15720.1
OG0000044	XP_448549.1	QNG15719.1
OG0000044	XP_448548.1	QNG15718.1
OG0000045	XP_449340.1	QNG16695.1
OG0000045	XP_448771.1	QNG15942.1
OG0000046	XP_447461.1	QNG16154.1
OG0000046	XP_449665.1	QNG17028.1
OG0000047	XP_449054.1	QNG16335.1
OG0000047	XP_449851.1	QNG17219.1
OG0000048	XP_449323.1	QNG16678.1
OG0000048	XP_448998.1	QNG16390.1
OG0000051	XP_444842.1	QNG12176.1
OG0000051	XP_444859.1	QNG12193.1
OG0000052	XP_447305.1	QNG15999.1
OG0000052	XP_444874.1	QNG12207.1
OG0000053	XP_444888.1	QNG12221.1
OG0000053	XP_447302.1	QNG15996.1
OG0000054	XP_447489.1	QNG14647.1
OG0000054	XP_444962.1	QNG12296.1
OG0000055	XP_447127.1	QNG14472.1
OG0000055	XP_444978.1	QNG12310.1
OG0000056	XP_445025.1, XP_444981.1	QNG12315.1
OG0000057	XP_445016.1	QNG12350.1
OG0000057	XP_448077.1	QNG15240.1
OG0000058	XP_445018.1	QNG12352.1
OG0000058	XP_448075.1	QNG15238.1
OG0000059	XP_445053.1	QNG12388.1
OG0000059	XP_449836.1	QNG17203.1
OG0000060	XP_448802.1	QNG14615.1
OG0000060	XP_445089.1	QNG12424.1
OG0000061	XP_445094.1	QNG12430.1
OG0000061	XP_448416.1	QNG15583.1
OG0000062	XP_448480.1	QNG15648.1
OG0000062	XP_445120.1	QNG12454.1
OG0000063	XP_445150.1	QNG12487.1
OG0000063	XP_446495.1	QNG13833.1
OG0000064	XP_445160.1	QNG12497.1
OG0000064	XP_447458.1	QNG16151.1
OG0000065	XP_445193.1	QNG12531.1
OG0000066	XP_446310.1	QNG13648.1
OG0000066	XP_445226.1	QNG12561.1
OG0000067	XP_445248.1	QNG12585.1
OG0000067	XP_447665.1	QNG14826.1
OG0000068	XP_446516.1	QNG13854.1
OG0000068	XP_445257.1	QNG12593.1
OG0000069	XP_445306.1	QNG12643.1
OG0000069	XP_446243.1	QNG13581.1
OG0000070	XP_445328.1	QNG12665.1
OG0000070	XP_445706.1	QNG13057.1
OG0000071	XP_445364.1	QNG12696.1
OG0000071	XP_449801.1	QNG17164.1
OG0000072	XP_448713.1	QNG15886.1
OG0000072	XP_445367.1	QNG12699.1
OG0000073	XP_449022.1	QNG16367.1
OG0000073	XP_445387.1	QNG12719.1
OG0000074	XP_445393.1	QNG12726.1
OG0000074	XP_448301.1	QNG15466.1
OG0000075	XP_445397.1	QNG12730.1
OG0000075	XP_448298.1	QNG15463.1
OG0000076	XP_446194.1	QNG13531.1
OG0000076	XP_445431.1	QNG12776.1
OG0000077	XP_445466.1, XP_448561.1	QNG12811.1, QNG15731.1
OG0000078	XP_445493.1	QNG12839.1
OG0000078	XP_448316.1	QNG15481.1
OG0000079	XP_445558.1	QNG12907.1
OG0000079	XP_445651.1	QNG13002.1
OG0000080	XP_446861.1	QNG14195.1
OG0000080	XP_445585.1	QNG12934.1
OG0000081	XP_445594.1	QNG12943.1
OG0000081	XP_449905.1	QNG17271.1
OG0000082	XP_448166.1	QNG15327.1
OG0000082	XP_445602.2	QNG12951.1
OG0000083	XP_445625.1	QNG12976.1
OG0000083	XP_447707.1	QNG14867.1
OG0000084	XP_445680.1	QNG13032.1
OG0000084	XP_445832.1	QNG13181.1
OG0000085	XP_445684.1	QNG13036.1
OG0000085	XP_446075.1	QNG13417.1
OG0000086	XP_445696.1	QNG13047.1
OG0000086	XP_447844.1	QNG15005.1
OG0000087	XP_449509.1	QNG16869.1
OG0000087	XP_445781.1	QNG13131.1
OG0000088	XP_445834.1	QNG13183.1
OG0000088	XP_449053.1	QNG16336.1
OG0000089	XP_445889.1	QNG13237.1
OG0000089	XP_449424.1	QNG16783.1
OG0000090	XP_445905.1	QNG13253.1
OG0000090	XP_446742.1	QNG14075.1
OG0000091	XP_445947.1	QNG13292.1
OG0000091	XP_447185.1	QNG14530.1
OG0000092	XP_447182.1	QNG14527.1
OG0000092	XP_445950.1	QNG13295.1
OG0000093	XP_445960.2	QNG13305.1
OG0000093	XP_447726.1	QNG14888.1
OG0000094	XP_448247.1	QNG15412.1
OG0000094	XP_445995.1	QNG13340.1
OG0000095	XP_446637.1	QNG13973.1
OG0000095	XP_446003.1	QNG13348.1
OG0000096	XP_446007.1	QNG13352.1
OG0000096	XP_448088.1	QNG15250.1
OG0000097	XP_447067.1	QNG14409.1
OG0000097	XP_446013.1	QNG13357.1
OG0000098	XP_447069.1	QNG14411.1
OG0000098	XP_446016.1	QNG13360.1
OG0000099	XP_449405.1	QNG16764.1
OG0000099	XP_446112.1	QNG13455.1
OG0000100	XP_446118.1	QNG13460.1
OG0000100	XP_447996.1	QNG15159.1
OG0000101	XP_447998.1	QNG15161.1
OG0000101	XP_446120.1	QNG13462.1
OG0000102	XP_446125.1	QNG13466.1
OG0000102	XP_448611.1	QNG15781.1
OG0000103	XP_448679.1	QNG15850.1
OG0000103	XP_446176.1	QNG13513.1
OG0000104	XP_447683.1	QNG14844.1
OG0000104	XP_446183.1	QNG13520.1
OG0000105	XP_448992.1	QNG16396.1
OG0000105	XP_446242.1	QNG13580.1
OG0000106	XP_446270.1	QNG13609.1
OG0000106	XP_448518.1	QNG15687.1
OG0000107	XP_446316.1	QNG13654.1
OG0000107	XP_447342.1	QNG16036.1
OG0000108	XP_446319.1	QNG13657.1
OG0000108	XP_447345.1	QNG16039.1
OG0000109	XP_446328.1	QNG13666.1
OG0000109	XP_447360.1	QNG16054.1
OG0000110	XP_446378.1	QNG13716.1
OG0000110	XP_449944.1	QNG17311.1
OG0000111	XP_448470.1	QNG15637.1
OG0000111	XP_446465.1	QNG13803.1
OG0000112	XP_447083.1	QNG14425.1
OG0000112	XP_446473.1	QNG13811.1
OG0000113	XP_446504.1	QNG13842.1
OG0000113	XP_449485.1	QNG16843.1
OG0000114	XP_446653.1	QNG13987.1
OG0000114	XP_446566.1	QNG13902.1
OG0000115	XP_446629.1	QNG13966.1
OG0000115	XP_447964.1	QNG15125.1
OG0000116	XP_446643.1	QNG13978.1
OG0000116	XP_448934.1	QNG16456.1
OG0000117	XP_448495.1	QNG15663.1
OG0000117	XP_446677.1	QNG14009.1
OG0000118	XP_446714.1	QNG14048.1
OG0000118	XP_449281.1	QNG16638.1
OG0000119	XP_446731.1	QNG14065.1
OG0000119	XP_449349.1	QNG16705.1
OG0000119	XP_449958.1	QNG17325.1
OG0000120	XP_446743.1	QNG14076.1
OG0000120	XP_449556.1	QNG16917.1
OG0000121	XP_447274.1	QNG15968.1
OG0000121	XP_446773.1	QNG14108.1
OG0000122	XP_446877.1	QNG14212.1
OG0000122	XP_447196.1	QNG14541.1
OG0000123	XP_447197.1	QNG14542.1
OG0000123	XP_446879.1	QNG14214.1
OG0000124	XP_447029.1	QNG14370.1
OG0000124	XP_447823.1	QNG14985.1
OG0000125	XP_449630.1	QNG16992.1
OG0000125	XP_447035.1	QNG14376.1
OG0000126	XP_449621.1	QNG16983.1
OG0000126	XP_447041.1	QNG14382.1
OG0000127	XP_449735.1	QNG17097.1
OG0000127	XP_447158.1	QNG14502.1
OG0000128	XP_447208.1	QNG14553.1
OG0000128	XP_447770.1	QNG14933.1
OG0000129	XP_448732.1	QNG15904.1
OG0000129	XP_447235.1	QNG14580.1
OG0000130	XP_447483.1	QNG14641.1
OG0000130	XP_448705.1	QNG15878.1
OG0000131	XP_447504.1	QNG14662.1
OG0000131	XP_449230.1	QNG16587.1
OG0000132	XP_449781.1	QNG17143.1
OG0000132	XP_447593.1	QNG14753.1
OG0000133	XP_448783.1	QNG15954.1
OG0000133	XP_447684.1	QNG14845.1
OG0000133	XP_002999567.1	QNG14946.1
OG0000134	XP_449456.1	QNG16814.1
OG0000134	XP_447873.1	QNG15034.1
OG0000135	XP_447875.1	QNG15036.1
OG0000135	XP_449452.1	QNG16811.1
OG0000136	XP_449460.1	QNG16818.1
OG0000136	XP_447880.1	QNG15041.1
OG0000137	XP_448111.1	QNG15273.1
OG0000137	XP_447985.1	QNG15148.1
OG0000138	XP_448898.1	QNG16491.1
OG0000138	XP_448006.1	QNG15169.1
OG0000139	XP_448053.1	QNG15216.1
OG0000139	XP_447337.1	QNG16031.1
OG0000140	XP_448064.1	QNG15228.1
OG0000140	XP_448063.1	QNG15227.1
OG0000141	XP_448101.1	QNG15263.1
OG0000141	XP_447417.1	QNG16109.1
OG0000142	XP_448103.1	QNG15265.1
OG0000142	XP_447419.1	QNG16111.1
OG0000143	XP_449129.1	QNG16258.1
OG0000143	XP_448253.1	QNG15418.1
OG0000144	XP_449418.1	QNG16777.1
OG0000144	XP_448264.1	QNG15429.1
OG0000145	XP_448344.1	QNG15510.1
OG0000145	XP_449791.1	QNG17153.1
OG0000146	XP_448545.1	QNG15716.1
OG0000146	XP_448372.1	QNG15538.1
OG0000147	XP_448373.1	QNG15539.1
OG0000147	XP_448546.1	QNG15717.1
OG0000148	XP_448551.1	QNG15721.1
OG0000148	XP_448376.1	QNG15543.1
OG0000149	XP_448425.1	QNG15592.1
OG0000149	XP_002999595.1	QNG16259.1
OG0000150	XP_448483.1	QNG15651.1
OG0000150	XP_448973.1	QNG16416.1
OG0000151	XP_447437.1	QNG16130.1
OG0000151	XP_448581.1	QNG15751.1
OG0000152	XP_449337.1	QNG16692.1
OG0000152	XP_448636.1	QNG15806.1
OG0000153	XP_447312.1	QNG16006.1
OG0000153	XP_448824.1	QNG16173.1
OG0000154	XP_002999600.1	QNG16849.1
OG0000154	XP_449124.2	QNG16266.1
OG0000155	XP_449115.1	QNG16276.1
OG0000155	XP_449497.1	QNG16857.1
OG0000156	XP_449055.1	QNG16334.1
OG0000156	XP_449849.1	QNG17217.1
OG0000157	XP_449292.1	QNG16649.1
OG0000157	XP_449048.1	QNG16342.1
OG0000158	XP_448974.1	QNG16415.1
OG0000159	XP_449267.1	QNG16624.1
OG0000159	XP_449373.1	QNG16731.1
OG0000160	XP_449666.1	QNG17029.1
OG0000160	XP_449590.1	QNG16952.1
OG0000161	XP_449848.1	QNG17216.1
OG0000161	XP_449883.1	QNG17251.1
OG0000163	XP_446673.1	QNG12132.1
OG0000163	XP_022456058.1	QNG12983.1, QNG12133.1
OG0000164	XP_002999511.1, XP_444828.1	QNG12160.1, QNG12162.1
OG0000165	XP_444831.1	QNG12165.1
OG0000165	XP_445816.1	QNG13167.1
OG0000166	XP_444872.1	QNG12205.1
OG0000166	XP_449271.1	QNG16628.1
OG0000167	XP_444875.1	QNG12208.1
OG0000167	XP_447306.1	QNG16000.1
OG0000168	XP_447469.1	QNG16162.1
OG0000168	XP_444954.1	QNG12288.1
OG0000169	XP_445024.2, XP_444980.2	QNG12314.1
OG0000170	XP_448415.1	QNG15582.1
OG0000170	XP_445095.2	QNG12431.1
OG0000171	XP_445804.1	QNG13155.1
OG0000171	XP_445129.1	QNG12464.1
OG0000172	XP_445161.1	QNG12498.1
OG0000172	XP_447460.1	QNG16153.1
OG0000173	XP_445172.1	QNG12509.1
OG0000173	XP_446565.1	QNG13901.1
OG0000174	XP_449793.1	QNG17156.1
OG0000174	XP_445175.2	QNG12512.1
OG0000175	XP_445461.1	QNG12806.1
OG0000175	XP_445233.1	QNG12569.1
OG0000176	XP_445235.1	QNG12571.1
OG0000176	XP_445462.1	QNG12807.1
OG0000177	XP_445249.1	QNG12586.1
OG0000178	XP_445252.1	QNG12589.1
OG0000179	XP_446131.1	QNG13472.1
OG0000179	XP_445303.1	QNG12641.1
OG0000180	XP_445316.1	QNG12653.1
OG0000180	XP_445854.1	QNG13202.1
OG0000181	XP_445318.1	QNG12655.1
OG0000181	XP_445856.1	QNG13204.1
OG0000182	XP_445334.1	QNG12671.1
OG0000182	XP_445712.1	QNG13063.1
OG0000183	XP_448302.1	QNG15467.1
OG0000183	XP_445392.1	QNG12725.1
OG0000184	XP_445394.1	QNG12727.1
OG0000185	XP_448288.1	QNG15453.1
OG0000185	XP_445407.1	QNG12740.1
OG0000186	XP_446832.1	QNG14165.1
OG0000186	XP_448791.1	QNG12762.1
OG0000187	XP_445459.1	QNG12804.1
OG0000187	XP_447012.1	QNG14353.1
OG0000188	XP_447904.1	QNG15065.1
OG0000188	XP_445496.1	QNG12843.1
OG0000189	XP_445653.1	QNG13004.1
OG0000189	XP_445557.1	QNG12906.1
OG0000190	XP_445618.1	QNG12968.1
OG0000190	XP_447340.1	QNG16034.1
OG0000191	XP_449534.1	QNG16894.1
OG0000191	XP_445747.1	QNG13098.1
OG0000192	XP_449511.1	QNG16871.1
OG0000192	XP_445774.1	QNG13124.1
OG0000193	XP_445795.1	QNG13146.1
OG0000193	XP_448220.1	QNG15381.1
OG0000194	XP_446533.1	QNG13871.1
OG0000194	XP_445846.1	QNG13195.1
OG0000195	XP_447160.1	QNG14504.1
OG0000195	XP_445868.1	QNG13216.1
OG0000196	XP_449422.1	QNG16781.1
OG0000196	XP_445890.1	QNG13238.1
OG0000197	XP_445894.1	QNG13242.1
OG0000198	XP_445918.1	QNG13264.1
OG0000198	XP_445913.1	QNG13261.1
OG0000199	XP_445916.1, XP_445914.1, XP_445915.1	QNG13262.1
OG0000200	XP_445932.1	QNG13278.1
OG0000200	XP_449865.1	QNG17234.1
OG0000201	XP_446015.1	QNG13359.1
OG0000201	XP_447068.1	QNG14410.1
OG0000202	XP_446064.1	QNG13406.1
OG0000202	XP_449151.1	QNG16506.1
OG0000203	XP_447006.1	QNG14347.1
OG0000203	XP_446110.1	QNG13452.1
OG0000204	XP_446282.1	QNG13620.1
OG0000204	XP_446288.1	QNG13626.1
OG0000205	XP_446298.1	QNG13636.1
OG0000205	XP_446297.1	QNG13635.1
OG0000206	XP_446368.1	QNG13705.1
OG0000206	XP_449352.1	QNG16710.1
OG0000207	XP_446447.1	QNG13785.1
OG0000207	XP_449212.1	QNG16569.1
OG0000208	XP_446476.1	QNG13814.1
OG0000208	XP_447853.1	QNG15015.1
OG0000209	XP_446994.1	QNG14334.1
OG0000209	XP_446521.1	QNG13859.1
OG0000210	XP_447575.1	QNG14735.1
OG0000210	XP_446560.1	QNG13896.1
OG0000211	XP_447544.1	QNG14704.1
OG0000211	XP_446588.1	QNG13924.1
OG0000212	XP_446808.1	QNG14142.1
OG0000212	XP_446791.1	QNG14126.1
OG0000213	XP_449227.1	QNG16584.1
OG0000213	XP_446828.1	QNG14162.1
OG0000214	XP_446899.1	QNG14234.1
OG0000214	XP_447987.1	QNG15150.1
OG0000215	XP_446941.1	QNG14277.1
OG0000216	XP_447425.1	QNG16116.1
OG0000216	XP_447010.1	QNG14351.1
OG0000217	XP_448016.1	QNG15179.1
OG0000217	XP_447057.1	QNG14399.1
OG0000218	XP_447058.1	QNG14400.1
OG0000218	XP_447059.1	QNG14401.1
OG0000219	XP_447094.1	QNG14438.1
OG0000219	XP_449955.1	QNG17322.1
OG0000220	XP_447199.1	QNG14544.1
OG0000221	XP_447241.1	QNG14587.1
OG0000221	XP_448736.1	QNG15908.1
OG0000222	XP_447824.1	QNG14986.1
OG0000222	XP_448815.1	QNG14628.1
OG0000223	XP_447497.1	QNG14655.1
OG0000223	XP_449235.1	QNG16592.1
OG0000224	XP_447522.1	QNG14681.1
OG0000224	XP_449709.1	QNG17071.1
OG0000225	XP_447641.1	QNG14802.1
OG0000225	XP_447642.1	QNG14803.1
OG0000226	XP_447670.1	QNG14831.1
OG0000226	XP_447669.1	QNG14830.1
OG0000227	XP_447771.1	QNG14934.1
OG0000228	XP_447786.1	QNG14949.1
OG0000228	XP_447436.1	QNG16128.1
OG0000229	XP_448092.1	QNG15254.1
OG0000229	XP_447403.1	QNG16095.1
OG0000230	XP_448341.1	QNG15507.1
OG0000230	XP_449788.1	QNG17150.1
OG0000231	XP_448347.1	QNG15513.1
OG0000231	XP_449795.1	QNG17158.1
OG0000232	XP_448426.1	QNG15593.1
OG0000232	XP_448424.1	QNG15591.1
OG0000233	XP_448472.1	QNG15639.1
OG0000233	XP_447310.1	QNG16004.1
OG0000234	XP_448971.1	QNG15655.1
OG0000234	XP_448486.1	QNG16418.1
OG0000235	XP_448593.1	QNG15763.1
OG0000236	XP_448685.1	QNG15856.1
OG0000237	XP_448738.1	QNG15910.1
OG0000238	XP_448828.1	QNG16177.1
OG0000238	XP_447315.1	QNG16009.1
OG0000239	XP_448832.1, XP_447317.1	QNG16011.1, QNG16181.1
OG0000240	XP_449127.1	QNG16262.1
OG0000240	XP_449472.1	QNG16830.1
OG0000241	XP_449331.1	QNG16686.1
OG0000241	XP_448950.1	QNG16440.1
OG0000242	XP_449913.1	QNG17279.1
OG0000242	XP_449329.1	QNG16684.1
OG0000243	XP_449369.1	QNG16727.1
OG0000244	XP_449529.1	QNG16889.1
OG0000251	XP_444782.1	QNG12112.1
OG0000252	XP_444792.1	QNG12122.1
OG0000253	XP_444794.1	QNG12124.1
OG0000254	XP_444815.1	QNG12147.1
OG0000255	XP_002999512.1	QNG12161.1
OG0000255	XP_002999510.1	QNG12159.1
OG0000256	XP_444833.1	QNG12167.1
OG0000257	XP_444838.1	QNG12172.1
OG0000258	XP_444854.1	QNG12188.1
OG0000259	XP_444879.1	QNG12212.1
OG0000260	XP_444908.1	QNG12242.1
OG0000261	XP_444910.1	QNG12244.1
OG0000262	XP_444914.1	QNG12248.1
OG0000263	XP_444915.1	QNG12249.1
OG0000264	XP_444959.1	QNG12293.1
OG0000265	XP_444964.1	QNG12298.1
OG0000266	XP_444993.1	QNG12327.1
OG0000267	XP_444994.1	QNG12328.1
OG0000268	XP_444996.1	QNG12329.1
OG0000269	XP_445005.1	QNG12339.1
OG0000270	XP_445017.1	QNG12351.1
OG0000271	XP_445021.1	QNG12355.1
OG0000272	XP_445022.1	QNG12356.1
OG0000273	XP_445702.1	QNG13053.1, QNG12358.1
OG0000274	XP_445042.1	QNG12376.1
OG0000275	XP_445079.1	QNG12414.1
OG0000276	XP_445080.1	QNG12415.1
OG0000277	XP_445091.1	QNG12427.1
OG0000278	XP_445107.1	QNG12441.1
OG0000279	XP_445123.1	QNG12457.1
OG0000280	XP_445124.1	QNG12458.1
OG0000281	XP_445155.1	QNG12492.1
OG0000282	XP_445163.1	QNG12500.1
OG0000283	XP_445167.1	QNG12504.1
OG0000284	XP_445699.1	QNG13051.1
OG0000284	XP_445190.1	QNG12528.1
OG0000285	XP_445221.1	QNG12555.1
OG0000285	XP_445223.1	QNG12558.1
OG0000286	XP_002999523.1	QNG12595.1
OG0000287	XP_445297.1	QNG12635.1
OG0000288	XP_445312.1	QNG12649.1
OG0000289	XP_445329.1	QNG12666.1
OG0000290	XP_448795.1	QNG12766.1
OG0000291	XP_448799.1	QNG12770.1
OG0000292	XP_445440.1	QNG12785.1
OG0000293	XP_445468.1	QNG12813.1
OG0000294	XP_445471.1	QNG12817.1
OG0000295	XP_445499.1	QNG12846.1
OG0000296	XP_445523.1	QNG12872.1
OG0000297	XP_445572.1	QNG12921.1
OG0000298	XP_445607.1	QNG12957.1
OG0000299	XP_445614.1	QNG12964.1
OG0000300	XP_445666.1	QNG13017.1
OG0000301	XP_445671.1	QNG13022.1
OG0000302	XP_445687.1	QNG13039.1
OG0000303	XP_445693.1	QNG13045.1
OG0000304	XP_445742.1	QNG13093.1
OG0000305	XP_445759.1	QNG13110.1
OG0000306	XP_445762.1	QNG13112.1
OG0000307	XP_445776.1	QNG13126.1
OG0000308	XP_445777.1	QNG13127.1
OG0000309	XP_445780.1	QNG13130.1
OG0000310	XP_445858.1	QNG13206.1
OG0000311	XP_445859.1	QNG13207.1
OG0000312	XP_445865.1	QNG13213.1
OG0000313	XP_445903.1	QNG13251.1
OG0000314	XP_445925.1	QNG13271.1
OG0000315	XP_445926.1	QNG13272.1
OG0000316	XP_445946.1	QNG13291.1
OG0000317	XP_445952.1	QNG13297.1
OG0000318	XP_445957.1	QNG13302.1
OG0000319	XP_445977.1	QNG13321.1
OG0000319	XP_447567.2	QNG14727.1
OG0000320	XP_446033.1	QNG13376.1
OG0000321	XP_446045.2	QNG13387.1
OG0000322	XP_446057.1	QNG13399.1
OG0000323	XP_446066.1	QNG13408.1
OG0000324	XP_446074.1	QNG13416.1
OG0000325	XP_446098.1	QNG13440.1
OG0000326	XP_446154.1	QNG13492.1
OG0000327	XP_446164.1	QNG13502.1
OG0000328	XP_446179.1	QNG13516.1
OG0000329	XP_446181.1	QNG13518.1
OG0000330	XP_446192.1	QNG13529.1
OG0000331	XP_446204.1	QNG13542.1
OG0000332	XP_446226.1	QNG13564.1
OG0000333	XP_446229.1	QNG13567.1
OG0000334	XP_446232.1	QNG13570.1
OG0000335	XP_446238.1	QNG13576.1
OG0000336	XP_446268.1	QNG13607.1
OG0000337	XP_446294.1	QNG13632.1
OG0000338	XP_446306.1	QNG13644.1
OG0000339	XP_446360.1	QNG13697.1
OG0000340	XP_446392.1	QNG13730.1
OG0000341	XP_446399.1	QNG13737.1
OG0000342	XP_446408.1	QNG13746.1
OG0000343	XP_446421.1	QNG13759.1
OG0000344	XP_446440.1	QNG13778.1
OG0000345	XP_446453.1	QNG13791.1
OG0000346	XP_446470.2	QNG13807.1
OG0000347	XP_446471.1	QNG13808.1
OG0000348	XP_446486.1	QNG13824.1
OG0000349	XP_446501.1	QNG13839.1
OG0000350	XP_446505.1	QNG13843.1
OG0000351	XP_446519.1	QNG13857.1
OG0000352	XP_446523.1	QNG13861.1
OG0000353	XP_446540.1	QNG13877.1
OG0000354	XP_446548.1	QNG13885.1
OG0000355	XP_446572.1	QNG13908.1
OG0000356	XP_446595.1	QNG13932.1
OG0000357	XP_446597.1	QNG13934.1
OG0000358	XP_446603.1	QNG13940.1
OG0000359	XP_446620.2	QNG13957.1
OG0000360	XP_446627.1	QNG13964.1
OG0000361	XP_446631.1	QNG13967.1
OG0000362	XP_446644.1	QNG13979.1
OG0000363	XP_446666.1	QNG14000.1
OG0000364	XP_446675.1	QNG14007.1
OG0000365	XP_446676.1	QNG14008.1
OG0000366	XP_446683.1	QNG14015.1
OG0000367	XP_446717.1	QNG14051.1
OG0000368	XP_446719.1	QNG14053.1
OG0000369	XP_446737.1	QNG14070.1
OG0000370	XP_446758.1	QNG14091.1
OG0000371	XP_446782.1	QNG14117.1
OG0000372	XP_446871.1	QNG14206.1
OG0000373	XP_446905.1	QNG14241.1
OG0000374	XP_446912.1	QNG14248.1
OG0000375	XP_446915.1	QNG14251.1
OG0000376	XP_446920.1	QNG14256.1
OG0000377	XP_446929.1	QNG14265.1
OG0000378	XP_446933.1	QNG14269.1
OG0000379	XP_446968.1	QNG14304.1
OG0000380	XP_446978.1	QNG14314.1
OG0000381	XP_447007.1	QNG14348.1
OG0000382	XP_447039.1	QNG14380.1
OG0000383	XP_447040.1	QNG14381.1
