gene_id_cbs138,gene_id_bg2
CAGL0A00605g,GWK60_A00495
CAGL0A00627g,GWK60_A00517
CAGL0A00649g,GWK60_A00539
CAGL0A00715g,GWK60_A00627
CAGL0A00737g,GWK60_A00649
CAGL0A00781g,GWK60_A00671
CAGL0A00803g,GWK60_A00693
CAGL0A00825g,GWK60_A00715
CAGL0A00847g,GWK60_A00737
CAGL0A00869g,GWK60_A00759
CAGL0A00891g,GWK60_A00781
CAGL0A00913g,GWK60_A00803
CAGL0A00935g,GWK60_A00825
CAGL0A00957g,GWK60_A00847
CAGL0A00979g,GWK60_A00869
CAGL0A01001g,GWK60_A00891
CAGL0A01023g,GWK60_A00913
CAGL0A01045g,GWK60_A00935
CAGL0A01067g,GWK60_A00957
CAGL0A01089g,GWK60_A00979
CAGL0A01111g,GWK60_A01001
CAGL0A01133g,GWK60_A01023
CAGL0A01155g,GWK60_A01045
CAGL0A01177g,GWK60_A01067
CAGL0A01199g,GWK60_A01111
CAGL0A01221g,GWK60_A01133
CAGL0A01243g,GWK60_A01155
CAGL0A01408g,GWK60_A01243
CAGL0A01430g,GWK60_A01265
CAGL0A01452g,GWK60_A01287
CAGL0A01474g,GWK60_A01309
CAGL0A01540g,GWK60_A01353
CAGL0A01562g,GWK60_A01375
CAGL0A01584g,GWK60_A01397
CAGL0A01606g,GWK60_A01419
CAGL0A01628g,GWK60_A01441
CAGL0A01650g,GWK60_A01463
CAGL0A01672g,GWK60_A01485
CAGL0A01694g,GWK60_A01507
CAGL0A01716g,GWK60_A01529
CAGL0A01738g,GWK60_A01551
CAGL0A01760g,GWK60_A01573
CAGL0A01782g,GWK60_A01595
CAGL0A01804g,GWK60_A01617
CAGL0A01826g,GWK60_A01639
CAGL0A01848g,GWK60_A01661
CAGL0A01870g,GWK60_A01683
CAGL0A01892g,GWK60_A01705
CAGL0A01914g,GWK60_A01727
CAGL0A01958g,GWK60_A01771
CAGL0A01980g,GWK60_A01793
CAGL0A02002g,GWK60_A01815
CAGL0A02024g,GWK60_A01837
CAGL0A02046g,GWK60_A01859
CAGL0A02090g,GWK60_A01903
CAGL0A02112g,GWK60_A01925
CAGL0A02134g,GWK60_A01947
CAGL0A02145g,GWK60_A01969
CAGL0A02189g,GWK60_A02013
CAGL0A02211g,GWK60_A02035
CAGL0A02233g,GWK60_A02057
CAGL0A02277g,GWK60_A02079
CAGL0A02299g,GWK60_A02101
CAGL0A02321g,GWK60_A02123
CAGL0A02343g,GWK60_A02145
CAGL0A02365g,GWK60_A02167
CAGL0A02387g,GWK60_A02189
CAGL0A02409g,GWK60_A02211
CAGL0A02431g,GWK60_A02233
CAGL0A02475g,GWK60_A02277
CAGL0A02486g,GWK60_A02299
CAGL0A02508g,GWK60_A02321
CAGL0A02530g,GWK60_A02343
CAGL0A02552g,GWK60_A02365
CAGL0A02574g,GWK60_A02387
CAGL0A02596g,GWK60_A02409
CAGL0A02618g,GWK60_A02431
CAGL0A02629g,GWK60_A02453
CAGL0A02651g,GWK60_A02475
CAGL0A02673g,GWK60_A02497
CAGL0A02695g,GWK60_A02519
CAGL0A02706g,GWK60_A02541
CAGL0A02728g,GWK60_A02563
CAGL0A02750g,GWK60_A02585
CAGL0A02772g,GWK60_A02607
CAGL0A02794g,GWK60_A02629
CAGL0A02816g,GWK60_A02651
CAGL0A02838g,GWK60_A02673
CAGL0A02860g,GWK60_A02695
CAGL0A02882g,GWK60_A02717
CAGL0A02904g,GWK60_A02739
CAGL0A02926g,GWK60_A02761
CAGL0A02948g,GWK60_A02783
CAGL0A02970g,GWK60_A02805
CAGL0A02992g,GWK60_A02849
CAGL0A03014g,GWK60_A02871
CAGL0A03036g,GWK60_A02893
CAGL0A03058g,GWK60_A02937
CAGL0A03080g,GWK60_A02959
CAGL0A03102g,GWK60_A02981
CAGL0A03117g,GWK60_A03003
CAGL0A03146g,GWK60_A03025
CAGL0A03168g,GWK60_A03047
CAGL0A03190g,GWK60_A03069
CAGL0A03212g,GWK60_A03091
CAGL0A03234g,GWK60_A03113
CAGL0A03256g,GWK60_A03135
CAGL0A03278g,GWK60_A03157
CAGL0A03300g,GWK60_A03179
CAGL0A03322g,GWK60_A03201
CAGL0A03344g,GWK60_A03223
CAGL0A03366g,GWK60_A03245
CAGL0A03388g,GWK60_A03267
CAGL0A03410g,GWK60_A03289
CAGL0A03432g,GWK60_A03311
CAGL0A03454g,GWK60_A03333
CAGL0A03476g,GWK60_A03355
CAGL0A03498g,GWK60_A03377
CAGL0A03542g,GWK60_A03421
CAGL0A03564g,GWK60_A03443
CAGL0A03586g,GWK60_A03465
CAGL0A03608g,GWK60_A03487
CAGL0A03630g,GWK60_A03509
CAGL0A03652g,GWK60_A03531
CAGL0A03674g,GWK60_A03553
CAGL0A03696g,GWK60_A03575
CAGL0A03718g,GWK60_A03597
CAGL0A03740g,GWK60_A03619
CAGL0A03784g,GWK60_A03663
CAGL0A03806g,GWK60_A03685
CAGL0A03828g,GWK60_A03707
CAGL0A03872g,GWK60_A03751
CAGL0A03883g,GWK60_A03773
CAGL0A03905g,GWK60_A03795
CAGL0A03927g,GWK60_A03817
CAGL0A03949g,GWK60_A03839
CAGL0A03971g,GWK60_A03861
CAGL0A03993g,GWK60_A03883
CAGL0A04015g,GWK60_A03905
CAGL0A04037g,GWK60_A03927
CAGL0A04059g,GWK60_A03949
CAGL0A04081g,GWK60_A03971
CAGL0A04103g,GWK60_A03993
CAGL0A04125g,GWK60_A04015
CAGL0A04147g,GWK60_A04037
CAGL0A04169g,GWK60_A04059
CAGL0A04191g,GWK60_A04081
CAGL0A04213g,GWK60_A04103
CAGL0A04235g,GWK60_A04125
CAGL0A04257g,GWK60_A04147
CAGL0A04279g,GWK60_A04169
CAGL0A04301g,GWK60_A04191
CAGL0A04323g,GWK60_A04213
CAGL0A04345g,GWK60_A04235
CAGL0A04367g,GWK60_A04279
CAGL0A04389g,GWK60_A04257
CAGL0A04411g,GWK60_A04301
CAGL0A04433g,GWK60_A04323
CAGL0A04455g,GWK60_A04345
CAGL0A04477g,GWK60_A04367
CAGL0A04499g,GWK60_A04389
CAGL0A04521g,GWK60_A04411
CAGL0A04543g,GWK60_A04433
CAGL0A04565g,GWK60_A04455
CAGL0A04587g,GWK60_A04477
CAGL0A04631g,GWK60_A04499
CAGL0A04653g,GWK60_A04521
CAGL0A04675g,GWK60_A04543
CAGL0A04697g,GWK60_A04565
CAGL0A04719g,GWK60_A04587
CAGL0A04741g,GWK60_A04609
CAGL0A04785g,GWK60_A04631
CAGL0A04807g,GWK60_A04653
CAGL0A04829g,GWK60_A04675
CAGL0B00242g,GWK60_B00077
CAGL0B00264g,GWK60_B00099
CAGL0B00286g,GWK60_B00121
CAGL0B00308g,GWK60_B00143
CAGL0B00330g,GWK60_B00165
CAGL0B00352g,GWK60_B00187
CAGL0B00374g,GWK60_B00209
CAGL0B00396g,GWK60_B00231
CAGL0B00418g,GWK60_B00253
CAGL0B00440g,GWK60_B00275
CAGL0B00462g,GWK60_B00297
CAGL0B00484g,GWK60_B00319
CAGL0B00506g,GWK60_B00341
CAGL0B00528g,GWK60_B00363
CAGL0B00550g,GWK60_B00385
CAGL0B00594g,GWK60_B00407
CAGL0B00616g,GWK60_B00429
CAGL0B00638g,GWK60_B00451
CAGL0B00660g,GWK60_B00473
CAGL0B00682g,GWK60_B00495
CAGL0B00704g,GWK60_B00517
CAGL0B00726g,GWK60_B00561
CAGL0B00748g,GWK60_B00583
CAGL0B00770g,GWK60_B00605
CAGL0B00792g,GWK60_B00627
CAGL0B00814g,GWK60_B00649
CAGL0B00836g,GWK60_B00671
CAGL0B00858g,GWK60_B00693
CAGL0B00880g,GWK60_B00715
CAGL0B00902g,GWK60_B00737
CAGL0B00924g,GWK60_B00759
CAGL0B00946g,GWK60_B00781
CAGL0B00968g,GWK60_B00803
CAGL0B00990g,GWK60_B00825
CAGL0B01012g,GWK60_B00847
CAGL0B01078g,GWK60_B00891
CAGL0B01100g,GWK60_B00913
CAGL0B01122g,GWK60_B00935
CAGL0B01144g,GWK60_B00957
CAGL0B01166g,GWK60_B00979
CAGL0B01188g,GWK60_B01001
CAGL0B01203g,GWK60_B01023
CAGL0B01232g,GWK60_B01045
CAGL0B01287g,GWK60_B01089
CAGL0B01331g,GWK60_B01133
CAGL0B01353g,GWK60_B01155
CAGL0B01375g,GWK60_B01177
CAGL0B01397g,GWK60_B01199
CAGL0B01419g,GWK60_B01221
CAGL0B01441g,GWK60_B01243
CAGL0B01463g,GWK60_B01265
CAGL0B01485g,GWK60_B01287
CAGL0B01507g,GWK60_B01309
CAGL0B01529g,GWK60_B01331
CAGL0B01551g,GWK60_B01353
CAGL0B01573g,GWK60_B01375
CAGL0B01595g,GWK60_B01419
CAGL0B01617g,GWK60_B01441
CAGL0B01639g,GWK60_B01463
CAGL0B01683g,GWK60_B01507
CAGL0B01705g,GWK60_B01529
CAGL0B01727g,GWK60_B01551
CAGL0B01771g,GWK60_B01595
CAGL0B01793g,GWK60_B01617
CAGL0B01815g,GWK60_B01639
CAGL0B01837g,GWK60_B01661
CAGL0B01859g,GWK60_B01683
CAGL0B01881g,GWK60_B01727
CAGL0B01903g,GWK60_B01749
CAGL0B01925g,GWK60_B01771
CAGL0B01947g,GWK60_B01793
CAGL0B01969g,GWK60_B01815
CAGL0B01991g,GWK60_B01837
CAGL0B02013g,GWK60_B01859
CAGL0B02035g,GWK60_B01881
CAGL0B02057g,GWK60_B01903
CAGL0B02079g,GWK60_B01925
CAGL0B02101g,GWK60_B01947
CAGL0B02123g,GWK60_B01969
CAGL0B02145g,GWK60_B01991
CAGL0B02167g,GWK60_B02013
CAGL0B02189g,GWK60_B02035
CAGL0B02211g,GWK60_B02057
CAGL0B02233g,GWK60_B02079
CAGL0B02255g,GWK60_B02101
CAGL0B02277g,GWK60_B02123
CAGL0B02299g,GWK60_B02145
CAGL0B02321g,GWK60_B02167
CAGL0B02343g,GWK60_B02189
CAGL0B02365g,GWK60_B02211
CAGL0B02387g,GWK60_B02233
CAGL0B02409g,GWK60_B02255
CAGL0B02431g,GWK60_B02277
CAGL0B02453g,GWK60_B02299
CAGL0B02475g,GWK60_B02321
CAGL0B02497g,GWK60_B02343
CAGL0B02519g,GWK60_B02365
CAGL0B02541g,GWK60_B02387
CAGL0B02563g,GWK60_B02409
CAGL0B02585g,GWK60_B02431
CAGL0B02607g,GWK60_B02453
CAGL0B02629g,GWK60_B02475
CAGL0B02651g,GWK60_B02497
CAGL0B02673g,GWK60_B02519
CAGL0B02695g,GWK60_B02541
CAGL0B02717g,GWK60_B02563
CAGL0B02739g,GWK60_B02585
CAGL0B02761g,GWK60_B02629
CAGL0B02772g,GWK60_B02651
CAGL0B02794g,GWK60_B02673
CAGL0B02816g,GWK60_B02695
CAGL0B02838g,GWK60_B02717
CAGL0B02860g,GWK60_B02739
CAGL0B02882g,GWK60_B02761
CAGL0B02904g,GWK60_B02783
CAGL0B02926g,GWK60_B02805
CAGL0B02948g,GWK60_B02827
CAGL0B02970g,GWK60_B02849
CAGL0B03047g,GWK60_B02893
CAGL0B03069g,GWK60_B02915
CAGL0B03091g,GWK60_B02937
CAGL0B03113g,GWK60_B02959
CAGL0B03179g,GWK60_B03003
CAGL0B03201g,GWK60_B03025
CAGL0B03223g,GWK60_B03047
CAGL0B03245g,GWK60_B03069
CAGL0B03267g,GWK60_B03091
CAGL0B03289g,GWK60_B03113
CAGL0B03311g,GWK60_B03135
CAGL0B03333g,GWK60_B03157
CAGL0B03355g,GWK60_B03179
CAGL0B03377g,GWK60_B03201
CAGL0B03399g,GWK60_B03223
CAGL0B03421g,GWK60_B03245
CAGL0B03443g,GWK60_B03267
CAGL0B03465g,GWK60_B03289
CAGL0B03487g,GWK60_B03311
CAGL0B03509g,GWK60_B03333
CAGL0B03531g,GWK60_B03355
CAGL0B03553g,GWK60_B03377
CAGL0B03575g,GWK60_B03399
CAGL0B03597g,GWK60_B03421
CAGL0B03619g,GWK60_B03465
CAGL0B03641g,GWK60_B03487
CAGL0B03663g,GWK60_B03509
CAGL0B03685g,GWK60_B03531
CAGL0B03707g,GWK60_B03553
CAGL0B03773g,GWK60_B03597
CAGL0B03795g,GWK60_B03619
CAGL0B03817g,GWK60_B03641
CAGL0B03839g,GWK60_B03663
CAGL0B03861g,GWK60_B03707
CAGL0B03883g,GWK60_B03729
CAGL0B03905g,GWK60_B03773
CAGL0B03927g,GWK60_B03795
CAGL0B03949g,GWK60_B03817
CAGL0B03971g,GWK60_B03839
CAGL0B03993g,GWK60_B03861
CAGL0B04015g,GWK60_B03883
CAGL0B04037g,GWK60_B03905
CAGL0B04059g,GWK60_B03927
CAGL0B04103g,GWK60_B03971
CAGL0B04125g,GWK60_B03993
CAGL0B04147g,GWK60_B04015
CAGL0B04169g,GWK60_B04037
CAGL0B04191g,GWK60_B04059
CAGL0B04213g,GWK60_B04081
CAGL0B04235g,GWK60_B04103
CAGL0B04257g,GWK60_B04125
CAGL0B04279g,GWK60_B04147
CAGL0B04301g,GWK60_B04169
CAGL0B04323g,GWK60_B04191
CAGL0B04345g,GWK60_B04213
CAGL0B04367g,GWK60_B04235
CAGL0B04389g,GWK60_B04257
CAGL0B04411g,GWK60_B04279
CAGL0B04433g,GWK60_B04301
CAGL0B04455g,GWK60_B04323
CAGL0B04477g,GWK60_B04345
CAGL0B04499g,GWK60_B04367
CAGL0B04521g,GWK60_B04389
CAGL0B04543g,GWK60_B04411
CAGL0B04565g,GWK60_B04433
CAGL0B04587g,GWK60_B04455
CAGL0B04609g,GWK60_B04477
CAGL0B04631g,GWK60_B04499
CAGL0B04675g,GWK60_B04521
CAGL0B04697g,GWK60_B04543
CAGL0B04719g,GWK60_B04565
CAGL0B04741g,GWK60_B04587
CAGL0B04763g,GWK60_B04609
CAGL0B04785g,GWK60_B04631
CAGL0B04807g,GWK60_B04653
CAGL0B04829g,GWK60_B04675
CAGL0B04851g,GWK60_B04697
CAGL0B04873g,GWK60_B04719
CAGL0B04895g,GWK60_B04741
CAGL0B04917g,GWK60_B04763
CAGL0B04939g,GWK60_B04785
CAGL0B04961g,GWK60_B04807
CAGL0B04983g,GWK60_B04829
CAGL0B05049g,GWK60_B04895
CAGL0C00110g,GWK60_C00011
CAGL0C00209g,GWK60_C00033
CAGL0C00231g,GWK60_C00055
CAGL0C00253g,GWK60_C00077
CAGL0C00275g,GWK60_C00099
CAGL0C00297g,GWK60_C00121
CAGL0C00319g,GWK60_C00143
CAGL0C00341g,GWK60_C00165
CAGL0C00363g,GWK60_C00187
CAGL0C00385g,GWK60_C00209
CAGL0C00407g,GWK60_C00231
CAGL0C00429g,GWK60_C00253
CAGL0C00451g,GWK60_C00275
CAGL0C00473g,GWK60_C00297
CAGL0C00495g,GWK60_C00319
CAGL0C00517g,GWK60_C00341
CAGL0C00539g,GWK60_C00363
CAGL0C00561g,GWK60_C00385
CAGL0C00583g,GWK60_C00407
CAGL0C00605g,GWK60_C00429
CAGL0C00627g,GWK60_C00451
CAGL0C00649g,GWK60_C00473
CAGL0C00671g,GWK60_C00495
CAGL0C00693g,GWK60_C00517
CAGL0C00715g,GWK60_C00539
CAGL0C00737g,GWK60_C00561
CAGL0C00759g,GWK60_C00583
CAGL0C00781g,GWK60_C00649
CAGL0C00847g,GWK60_C00671
CAGL0C00968g,GWK60_C00627
CAGL0C01133g,GWK60_C00693
CAGL0C01155g,GWK60_C00715
CAGL0C01177g,GWK60_C00737
CAGL0C01199g,GWK60_C00759
CAGL0C01221g,GWK60_C00781
CAGL0C01243g,GWK60_C00803
CAGL0C01265g,GWK60_C00825
CAGL0C01287g,GWK60_C00847
CAGL0C01309g,GWK60_C00869
CAGL0C01331g,GWK60_C00913
CAGL0C01353g,GWK60_C00935
CAGL0C01375g,GWK60_C00957
CAGL0C01397g,GWK60_C00979
CAGL0C01419g,GWK60_C01001
CAGL0C01441g,GWK60_C01045
CAGL0C01463g,GWK60_C01067
CAGL0C01485g,GWK60_C01089
CAGL0C01507g,GWK60_C01111
CAGL0C01529g,GWK60_C01133
CAGL0C01551g,GWK60_C01155
CAGL0C01573g,GWK60_C01177
CAGL0C01595g,GWK60_C01199
CAGL0C01617g,GWK60_C01221
CAGL0C01639g,GWK60_C01243
CAGL0C01661g,GWK60_C01265
CAGL0C01683g,GWK60_C01287
CAGL0C01705g,GWK60_C01309
CAGL0C01727g,GWK60_C01331
CAGL0C01749g,GWK60_C01353
CAGL0C01771g,GWK60_C01375
CAGL0C01793g,GWK60_C01397
CAGL0C01815g,GWK60_C01419
CAGL0C01837g,GWK60_C01441
CAGL0C01881g,GWK60_C01463
CAGL0C01903g,GWK60_C01485
CAGL0C01925g,GWK60_C01529
CAGL0C01947g,GWK60_C01551
CAGL0C01969g,GWK60_C01573
CAGL0C01991g,GWK60_C01595
CAGL0C02013g,GWK60_C01617
CAGL0C02035g,GWK60_C01639
CAGL0C02057g,GWK60_C01661
CAGL0C02079g,GWK60_C01683
CAGL0C02101g,GWK60_C01705
CAGL0C02123g,GWK60_C01727
CAGL0C02145g,GWK60_C01749
CAGL0C02167g,GWK60_C01771
CAGL0C02189g,GWK60_C01793
CAGL0C02211g,GWK60_C01815
CAGL0C02233g,GWK60_C01837
CAGL0C02255g,GWK60_C01859
CAGL0C02277g,GWK60_C01881
CAGL0C02299g,GWK60_C01903
CAGL0C02321g,GWK60_C01925
CAGL0C02343g,GWK60_C01947
CAGL0C02365g,GWK60_C01969
CAGL0C02387g,GWK60_C01991
CAGL0C02409g,GWK60_C02013
CAGL0C02431g,GWK60_C02035
CAGL0C02453g,GWK60_C02057
CAGL0C02475g,GWK60_C02079
CAGL0C02497g,GWK60_C02101
CAGL0C02519g,GWK60_C02123
CAGL0C02541g,GWK60_C02145
CAGL0C02563g,GWK60_C02167
CAGL0C02585g,GWK60_C02189
CAGL0C02607g,GWK60_C02211
CAGL0C02629g,GWK60_C02255
CAGL0C02651g,GWK60_C02277
CAGL0C02673g,GWK60_C02299
CAGL0C02695g,GWK60_C02321
CAGL0C02717g,GWK60_C02343
CAGL0C02739g,GWK60_C02365
CAGL0C02761g,GWK60_C02387
CAGL0C02783g,GWK60_C02409
CAGL0C02805g,GWK60_C02431
CAGL0C02827g,GWK60_C02453
CAGL0C02849g,GWK60_C02475
CAGL0C02871g,GWK60_C02497
CAGL0C02893g,GWK60_C02519
CAGL0C02937g,GWK60_C02541
CAGL0C02959g,GWK60_C02563
CAGL0C02981g,GWK60_C02585
CAGL0C03003g,GWK60_C02607
CAGL0C03025g,GWK60_C02629
CAGL0C03047g,GWK60_C02651
CAGL0C03069g,GWK60_C02673
CAGL0C03113g,GWK60_C02717
CAGL0C03135g,GWK60_C02739
CAGL0C03179g,GWK60_C02783
CAGL0C03201g,GWK60_C02805
CAGL0C03223g,GWK60_C02827
CAGL0C03245g,GWK60_C02849
CAGL0C03267g,GWK60_C02871
CAGL0C03289g,GWK60_C02893
CAGL0C03311g,GWK60_C02915
CAGL0C03333g,GWK60_C02937
CAGL0C03355g,GWK60_C02959
CAGL0C03369g,GWK60_C02981
CAGL0C03399g,GWK60_C03003
CAGL0C03421g,GWK60_C03025
CAGL0C03443g,GWK60_C03047
CAGL0C03465g,GWK60_C03069
CAGL0C03487g,GWK60_C03091
CAGL0C03509g,GWK60_C03113
CAGL0C03531g,GWK60_C03135
CAGL0C03553g,GWK60_C03157
CAGL0C03575g,GWK60_C03179
CAGL0C03597g,GWK60_C03201
CAGL0C03608g,GWK60_C03223
CAGL0C03630g,GWK60_C03245
CAGL0C03652g,GWK60_C03267
CAGL0C03674g,GWK60_C03289
CAGL0C03696g,GWK60_C03311
CAGL0C03740g,GWK60_C03355
CAGL0C03762g,GWK60_C03377
CAGL0C03784g,GWK60_C03399
CAGL0C03850g,GWK60_C03465
CAGL0C03872g,GWK60_C03487
CAGL0C03894g,GWK60_C03509
CAGL0C03916g,GWK60_C03531
CAGL0C04004g,GWK60_C03553
CAGL0C04026g,GWK60_C03575
CAGL0C04048g,GWK60_C03597
CAGL0C04092g,GWK60_C03641
CAGL0C04169g,GWK60_C03707
CAGL0C04191g,GWK60_C03729
CAGL0C04213g,GWK60_C03751
CAGL0C04235g,GWK60_C03773
CAGL0C04257g,GWK60_C03795
CAGL0C04279g,GWK60_C03817
CAGL0C04301g,GWK60_C03839
CAGL0C04323g,GWK60_C03861
CAGL0C04367g,GWK60_C03883
CAGL0C04389g,GWK60_C03905
CAGL0C04411g,GWK60_K11231
CAGL0C04433g,GWK60_C03949
CAGL0C04455g,GWK60_C03971
CAGL0C04477g,GWK60_C03993
CAGL0C04499g,GWK60_C04015
CAGL0C04543g,GWK60_C04059
CAGL0C04565g,GWK60_C04081
CAGL0C04587g,GWK60_C04103
CAGL0C04609g,GWK60_C04125
CAGL0C04631g,GWK60_C04147
CAGL0C04697g,GWK60_C04191
CAGL0C04719g,GWK60_C04213
CAGL0C04741g,GWK60_C04235
CAGL0C04763g,GWK60_C04257
CAGL0C04785g,GWK60_C04279
CAGL0C04807g,GWK60_C04301
CAGL0C04829g,GWK60_C04323
CAGL0C04851g,GWK60_C04345
CAGL0C04873g,GWK60_C04367
CAGL0C04895g,GWK60_C04389
CAGL0C04917g,GWK60_C04411
CAGL0C04939g,GWK60_C04455
CAGL0C04961g,GWK60_C04477
CAGL0C04983g,GWK60_C04499
CAGL0C05005g,GWK60_C04521
CAGL0C05027g,GWK60_C04543
CAGL0C05049g,GWK60_C04565
CAGL0C05071g,GWK60_C04587
CAGL0C05093g,GWK60_C04609
CAGL0C05115g,GWK60_C04631
CAGL0C05137g,GWK60_C04653
CAGL0C05159g,GWK60_C04675
CAGL0C05181g,GWK60_C04697
CAGL0C05203g,GWK60_C04719
CAGL0C05225g,GWK60_C04741
CAGL0C05247g,GWK60_C04763
CAGL0C05269g,GWK60_C04785
CAGL0C05291g,GWK60_C04807
CAGL0C05313g,GWK60_C04829
CAGL0C05335g,GWK60_C04851
CAGL0C05357g,GWK60_C04873
CAGL0C05423g,GWK60_C04917
CAGL0C05445g,GWK60_C04939
CAGL0C05467g,GWK60_C04983
CAGL0C05489g,GWK60_C05005
CAGL0C05511g,GWK60_C05027
CAGL0C05533g,GWK60_C05049
CAGL0C05555g,GWK60_C05071
CAGL0C05577g,GWK60_C05093
CAGL0C05599g,GWK60_C05115
CAGL0D00154g,GWK60_I00033
CAGL0D00176g,GWK60_I00055
CAGL0D00198g,GWK60_I00077
CAGL0D00220g,GWK60_I00099
CAGL0D00242g,GWK60_I00121
CAGL0D00264g,GWK60_I00143
CAGL0D00286g,GWK60_D00407
CAGL0D00330g,GWK60_D00451
CAGL0D00352g,GWK60_D00473
CAGL0D00396g,GWK60_D00495
CAGL0D00418g,GWK60_D00517
CAGL0D00440g,GWK60_D00539
CAGL0D00462g,GWK60_D00561
CAGL0D00484g,GWK60_D00583
CAGL0D00506g,GWK60_D00605
CAGL0D00528g,GWK60_D00627
CAGL0D00550g,GWK60_D00649
CAGL0D00572g,GWK60_D00671
CAGL0D00594g,GWK60_D00693
CAGL0D00616g,GWK60_D00715
CAGL0D00638g,GWK60_D00737
CAGL0D00660g,GWK60_D00759
CAGL0D00682g,GWK60_D00781
CAGL0D00704g,GWK60_D00803
CAGL0D00726g,GWK60_D00825
CAGL0D00748g,GWK60_D00847
CAGL0D00770g,GWK60_D00869
CAGL0D00792g,GWK60_D00891
CAGL0D00814g,GWK60_D00913
CAGL0D00836g,GWK60_D00935
CAGL0D00858g,GWK60_D00979
CAGL0D00880g,GWK60_D01001
CAGL0D00902g,GWK60_D01023
CAGL0D00924g,GWK60_D01045
CAGL0D00946g,GWK60_D01067
CAGL0D00990g,GWK60_D01089
CAGL0D01012g,GWK60_D01111
CAGL0D01034g,GWK60_D01133
CAGL0D01056g,GWK60_D01155
