GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
71826	protein-RNA complex organization	19 out of 174 genes, 10.9%	116 out of 5614 background genes, 2.1%	9.39e-07	0.00%	CAGL0B00880g:CAGL0F02937g:CAGL0G02475g:CAGL0G02783g:CAGL0G09218g:CAGL0H02123g:CAGL0H02409g:CAGL0I07931g:CAGL0J00737g:CAGL0J05412g:RPS12:CAGL0J07678g:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g:CAGL0L11462g:CAGL0M02497g:CAGL0M07029g:CAGL0M10241g	398:1677:6376:6413:55:27:33962:462:42254:492:290:1990145:1731:45947:6450:1732:54:470:16567:28:30490:6446:6364:2181:6412:2188:479:1900153:48026:6407:16236:493
30490	maturation of SSU-rRNA	17 out of 174 genes, 9.8%	95 out of 5614 background genes, 1.7%	1.75e-06	0.00%	CAGL0A04521g:CAGL0F02299g:CAGL0G07227g:CAGL0H01419g:CAGL0H08019g:CAGL0I00792g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0K03135g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L08118g:CAGL0M00814g:CAGL0M06303g:CAGL0M11836g	6413:2000640:8298:55:1682:42274:447:462:6468:480:294:1990145:6450:17148:28:30490:8033:6364:6412:46830:34965:461:479:42273:1900153:6407:472
1901566	organonitrogen compound biosynthetic process	59 out of 174 genes, 33.9%	905 out of 5614 background genes, 16.1%	2.01e-06	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:HEM1:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02937g:CAGL0G02475g:CAGL0G03575g:CAGL0G06490g:CAGL0G07227g:ATP2:CAGL0H01441g:CAGL0H02409g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:TIF1:CAGL0J00737g:RPS12:CAGL0J07678g:CAGL0J09086g:RPL16A:RPL28:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:FRS2:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L08110g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M12408g	1677:6413:2000640:44237:6542:6353:55:27:463:1901195:42274:33962:15986:447:2182:462:42254:1902117:290:6807:46034:1990145:1731:45947:33014:6450:1732:2128:2130:470:6783:45948:1900036:1903833:9058:19676:16567:6414:6561:1902600:32259:28:30490:42776:6432:6446:2183:2184:1903574:43039:6364:1904262:30488:34517:2181:6412:461:2188:6415:479:1900153:6407:45901:448:16236
16072	rRNA metabolic process	28 out of 174 genes, 16.1%	258 out of 5614 background genes, 4.6%	2.03e-06	0.00%	CAGL0A04521g:CAGL0B00880g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0G03003g:CAGL0G07227g:CAGL0H01419g:CAGL0H08019g:CAGL0I00792g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0J09086g:RPL16A:CAGL0K03135g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0M00814g:CAGL0M02497g:CAGL0M06303g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	34473:6413:2000640:44237:8298:55:27:71028:1682:42274:463:32204:71039:447:462:6468:71038:480:71040:294:71051:467:1990145:6450:1902794:71036:17148:71037:71035:6396:470:34475:973:28:34476:6139:33621:30490:71046:8033:6364:2181:71044:6412:46830:34965:461:71042:479:6409:42273:1900153:6407:448:472:16236
44085	cellular component biogenesis	58 out of 174 genes, 33.3%	883 out of 5614 background genes, 15.7%	2.19e-06	0.00%	CAGL0A02992g:COX12:CAGL0A04521g:CAGL0B00880g:ARB1:CAGL0D00836g:CAGL0D04202g:CAGL0E01991g:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0F02937g:CAGL0F07403g:CAGL0G02475g:CAGL0G02783g:CAGL0G03003g:CAGL0G06490g:CAGL0G07227g:CAGL0G09218g:CAGL0H00704g:CAGL0H01419g:CAGL0H02057g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H10516g:CAGL0I00792g:PFY1:CAGL0I07931g:CAGL0I09350g:CAGL0J00737g:CAGL0J03344g:CAGL0J05412g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:CAGL0K03135g:CAGL0K06149g:CAGL0K08382g:CAGL0L03289g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M02783g:CAGL0M06303g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	398:1677:34473:6376:44237:55:921:6913:27:463:42274:9272:6882:6458:6338:6123:6325:42254:6468:71038:492:71040:294:34605:1990145:160031:1731:45947:6450:1902794:1990344:71036:1732:140454:17148:71035:6334:35719:6511:16567:1903475:70481:973:34476:31204:30490:31048:34551:42026:30466:32258:32979:2181:71044:48309:6412:2188:71042:6606:479:42273:6407:90338:448:45041:16236:51131:6413:2000640:32968:8298:46907:71028:30433:1682:33962:71039:32204:447:462:7021:480:140278:31120:467:71051:44396:45047:422:290:34080:43335:56:45:71037:42989:54:6396:470:36228:6457:140455:1522:71629:34475:28:7117:33621:6139:71046:6446:278:8033:30041:1902404:6364:755:46830:461:34965:6626:6409:1900153:48026:6357:472:33617:493
462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	15 out of 174 genes, 8.6%	80 out of 5614 background genes, 1.4%	7.96e-06	0.00%	CAGL0A04521g:CAGL0F02299g:CAGL0G07227g:CAGL0H01419g:CAGL0H08019g:CAGL0I00792g:CAGL0J00737g:CAGL0J03344g:CAGL0K03135g:CAGL0K08382g:CAGL0L04840g:CAGL0L08118g:CAGL0M00814g:CAGL0M06303g:CAGL0M11836g	55:42274:6468:294:6450:17148:6412:479:42273:6407:6413:2000640:8298:1682:447:462:480:28:8033:6364:46830:34965:461:472
42273	ribosomal large subunit biogenesis	16 out of 174 genes, 9.2%	93 out of 5614 background genes, 1.7%	9.41e-06	0.00%	CAGL0D00836g:CAGL0F02299g:CAGL0F02937g:CAGL0F07403g:CAGL0G02475g:CAGL0G09218g:CAGL0I07931g:CAGL0I09350g:CAGL0J05412g:CAGL0J09086g:RPL16A:CAGL0L07832g:CAGL0L11462g:CAGL0M02497g:CAGL0M08118g:CAGL0M10241g	55:6913:27:463:42254:492:17148:16567:2181:6412:6606:42273:448:16236:8298:447:480:54:470:7117:278:6364:472
1901576	organic substance biosynthetic process	93 out of 174 genes, 53.4%	1901 out of 5614 background genes, 33.9%	2.98e-05	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:HEM1:PRS5:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:ATP2:CAGL0H01419g:CAGL0H01441g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:PYC2:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07370g:CAGL0L07458g:PGK1:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	6096:398:1677:34473:6376:44237:55:27:6281:463:42274:7004:42797:6458:6284:42254:6468:71038:6559:71040:294:34605:1902117:6807:46034:1990145:1731:45947:1902794:6450:71036:1732:140454:17148:6090:71035:2130:6360:35719:6383:1900036:1903833:19676:6511:16567:6561:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:2183:1904262:30488:34517:71044:2181:6412:1990481:6285:2188:71042:479:61504:42273:6407:6508:448:6569:45041:16236:51131:6413:2000640:6542:32968:6353:8298:6015:30433:71028:1682:1901195:33962:32204:71039:6367:15986:447:2182:462:7021:480:6094:71051:467:70987:45047:290:9156:31505:33014:6400:6289:949:71037:2128:6396:470:6457:6783:45948:140455:1522:71629:34475:9058:6414:1902600:32259:28:19655:6139:33621:42776:6446:71046:8033:6048:2184:1903574:43039:6364:46830:34965:461:6626:6415:6409:9165:1900153:48026:45901:472:80009
9058	biosynthetic process	93 out of 174 genes, 53.4%	1908 out of 5614 background genes, 34.0%	3.64e-05	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:HEM1:PRS5:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:ATP2:CAGL0H01419g:CAGL0H01441g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:PYC2:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07370g:CAGL0L07458g:PGK1:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	6096:398:1677:34473:6376:44237:55:27:6281:463:42274:7004:42797:6458:6284:42254:6468:71038:6559:71040:294:34605:1902117:6807:46034:1990145:1731:45947:1902794:6450:71036:1732:140454:17148:6090:71035:2130:6360:35719:6383:1900036:1903833:19676:6511:16567:6561:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:2183:1904262:30488:34517:71044:2181:6412:1990481:6285:2188:71042:479:61504:42273:6407:6508:448:6569:45041:16236:51131:6413:2000640:6542:32968:6353:8298:6015:30433:71028:1682:1901195:33962:32204:71039:6367:15986:447:2182:462:7021:480:6094:71051:467:70987:45047:290:9156:31505:33014:6400:6289:949:71037:2128:6396:470:6457:6783:45948:140455:1522:71629:34475:9058:6414:1902600:32259:28:19655:6139:33621:42776:6446:71046:8033:6048:2184:1903574:43039:6364:46830:34965:461:6626:6415:6409:9165:1900153:48026:45901:472:80009
6396	RNA processing	36 out of 174 genes, 20.7%	458 out of 5614 background genes, 8.2%	5.87e-05	0.00%	CAGL0A04521g:CAGL0B00880g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0G03003g:CAGL0G07227g:CAGL0H01419g:CAGL0H02123g:CAGL0H08019g:CAGL0H08415g:CAGL0H10252g:CAGL0I00792g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0J09086g:RPL16A:CAGL0K02937g:CAGL0K03135g:CAGL0K08360g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07458g:CAGL0L07832g:CAGL0L08118g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03619g:CAGL0M06303g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	398:34473:6376:44237:55:27:42274:463:6468:71038:71040:294:1990145:6450:1902794:71036:17148:71035:2130:42780:973:34476:30490:6351:6386:30488:2181:71044:6412:1990481:71042:479:61504:42273:6407:448:16236:6413:2000640:8298:71028:1682:32204:71039:447:462:480:71051:467:6400:71037:2128:6396:470:1522:34475:32259:28:6139:33621:71046:8033:6364:46830:34965:461:6409:1900153:48026:472:80009
