GOID	GO term	Frequency	Gene(s)	Organism
30163	protein catabolic process	8 out of 258 genes, 3.1%	CAGL0C00319g CAGL0B03619g CAGL0I09482g CAGL0I06402g CAGL0K02761g SUE1 CAGL0L02101g VPS27	Candida glabrata
6259	DNA metabolic process	8 out of 258 genes, 3.1%	CAGL0G00792g CAGL0M06435g CAGL0K10846g CAGL0F08965g CAGL0K03905g CAGL0K02695g CAGL0I04972g CAGL0F01397g	Candida glabrata
48468	cell development	7 out of 258 genes, 2.7%	CAGL0L00561g CAGL0K02761g CAGL0L03135g CAGL0G05984g CAGL0G06358g VPS27 CAGL0I07271g	Candida glabrata
747	conjugation with cellular fusion	7 out of 258 genes, 2.7%	CAGL0H10120g STE11 CAGL0L02827g CAGL0B03619g CAGL0L03135g CAGL0B00462g CAGL0G05544g	Candida glabrata
19725	cellular homeostasis	7 out of 258 genes, 2.7%	CAGL0A04477g CAGL0G09152g CAGL0I01386g GAP1 CAGL0K03927g HMX1 CAGL0G06798g	Candida glabrata
7155	cell adhesion	6 out of 258 genes, 2.3%	YPS1 EPA23 TIR3 TIR2 TIR5 KSS1	Candida glabrata
71555	cell wall organization	6 out of 258 genes, 2.3%	CAGL0H10120g YPS1 CAGL0K05247g CAGL0G00858g CAGL0G05984g CRH1	Candida glabrata
30447	filamentous growth	6 out of 258 genes, 2.3%	YPS1 STE11 CAGL0M05049g EFG1 KSS1 STE50	Candida glabrata
16070	RNA metabolic process	6 out of 258 genes, 2.3%	SLT2 CAGL0F04851g CAGL0L04598g PDR1 CAGL0H02101g CAGL0M11440g	Candida glabrata
7010	cytoskeleton organization	5 out of 258 genes, 1.9%	CAGL0E00803g CAGL0K12892g CAGL0A02145g CAGL0F01397g CAGL0G06842g	Candida glabrata
45333	cellular respiration	4 out of 258 genes, 1.6%	SUN4 CAGL0F04851g CAGL0B03663g CAGL0L06798g	Candida glabrata
9410	response to xenobiotic stimulus	4 out of 258 genes, 1.6%	ERG3 SET4 ERG5 PDR1	Candida glabrata
70783	growth of unicellular organism as a thread of attached cells	4 out of 258 genes, 1.6%	STE11 CAGL0M05049g EFG1 KSS1	Candida glabrata
7124	pseudohyphal growth	3 out of 258 genes, 1.2%	STE11 CAGL0M05049g EFG1	Candida glabrata
44419	biological process involved in interspecies interaction between organisms	3 out of 258 genes, 1.2%	STE11 EFG1 HMX1	Candida glabrata
910	cytokinesis	2 out of 258 genes, 0.8%	CAGL0K04433g CAGL0F01397g	Candida glabrata
6997	nucleus organization	2 out of 258 genes, 0.8%	CAGL0I06402g CAGL0B00462g	Candida glabrata
6766	vitamin metabolic process	2 out of 258 genes, 0.8%	VHT1 CAGL0M07612g	Candida glabrata
7114	cell budding	2 out of 258 genes, 0.8%	CAGL0M05049g CAGL0K04433g	Candida glabrata
6457	protein folding	1 out of 258 genes, 0.4%	FLC2	Candida glabrata
42710	biofilm formation	1 out of 258 genes, 0.4%	KSS1	Candida glabrata
6412	translation	1 out of 258 genes, 0.4%	CAGL0J06908g	Candida glabrata
42254	ribosome biogenesis	0 out of 258 genes, 0%	none	
32196	transposition	0 out of 258 genes, 0%	none	
30448	hyphal growth	0 out of 258 genes, 0%	none	
other	other	34 out of 258 genes, 13.2%	SAM2 PHO8 CAGL0K12100g BNA3 CAGL0I01276g CAGL0D04026g YPS5 CAGL0E06380g MET3 DUG3 YPS8 CAGL0I08305g MET7 CAR2 CAGL0K08734g CAGL0H09504g CAGL0B03465g ADI1 CAGL0L02321g CAGL0L11902g STR3 CAGL0J08932g YPS6 MET1 LYS9 MET8 CAGL0C05027g MET15 CAGL0J08316g MET13 CAGL0J10494g CAGL0H08261g MET6 RCN2	Candida glabrata
