GOID	GO term	Frequency	Gene(s)	Organism
6259	DNA metabolic process	11 out of 193 genes, 5.7%	CAGL0H00759g CAGL0D04642g CAGL0K06941g CAGL0K10142g REC8 CAGL0K03905g CAGL0J06402g CAGL0K00605g CAGL0L06050g CAGL0I02068g CAGL0C04411g	Candida glabrata
36211	protein modification process	10 out of 193 genes, 5.2%	CAGL0F00649g CAGL0J03256g ATG16 KSS1 CAGL0M12012g CAGL0G04455g CAGL0M07381g CAGL0D06468g CAGL0G01320g CAGL0E05698g	Candida glabrata
7155	cell adhesion	9 out of 193 genes, 4.7%	TIR5 KSS1 EPA6 EPA23 EPA3 CAGL0A01584g AWP2 CAGL0I09856g CAGL0K12078g	Candida glabrata
30447	filamentous growth	8 out of 193 genes, 4.1%	CAGL0A01177g EFG1 KSS1 IME1 TEC1 YPS2 CAGL0I09856g STE12B	Candida glabrata
5975	carbohydrate metabolic process	6 out of 193 genes, 3.1%	CAGL0M00682g CAGL0I04048g CAGL0K11297g CAGL0L05478g GAS3 FKS3	Candida glabrata
70783	growth of unicellular organism as a thread of attached cells	6 out of 193 genes, 3.1%	EFG1 KSS1 IME1 TEC1 CAGL0I09856g STE12B	Candida glabrata
42710	biofilm formation	5 out of 193 genes, 2.6%	KSS1 EPA6 ZAP1 EPA3 CAGL0K12078g	Candida glabrata
7124	pseudohyphal growth	5 out of 193 genes, 2.6%	EFG1 IME1 TEC1 CAGL0I09856g STE12B	Candida glabrata
6629	lipid metabolic process	5 out of 193 genes, 2.6%	CAGL0A01177g CAGL0M10571g CAGL0K12408g GRE2(B) AFT2	Candida glabrata
16070	RNA metabolic process	5 out of 193 genes, 2.6%	CAGL0B04675g CAGL0F08811g CAGL0H07271g CAGL0D03410g CAGL0M05797g	Candida glabrata
747	conjugation with cellular fusion	5 out of 193 genes, 2.6%	CAGL0J03256g CAGL0A01584g CAGL0G01320g STE12B CAGL0D04686g	Candida glabrata
7010	cytoskeleton organization	4 out of 193 genes, 2.1%	CAGL0K00517g CAGL0M11044g CAGL0J10978g CAGL0G04565g	Candida glabrata
6091	generation of precursor metabolites and energy	3 out of 193 genes, 1.6%	CAGL0K11297g CAGL0L05478g CAGL0B03663g	Candida glabrata
44419	biological process involved in interspecies interaction between organisms	3 out of 193 genes, 1.6%	EFG1 EPA6 AED1	Candida glabrata
19725	cellular homeostasis	3 out of 193 genes, 1.6%	CAGL0M00682g AFT2 CAGL0G06798g	Candida glabrata
16192	vesicle-mediated transport	3 out of 193 genes, 1.6%	CAGL0K12408g CAGL0M07381g CAGL0G06358g	Candida glabrata
910	cytokinesis	2 out of 193 genes, 1.0%	CAGL0J10318g CAGL0D04686g	Candida glabrata
45333	cellular respiration	2 out of 193 genes, 1.0%	CAGL0K11297g CAGL0B03663g	Candida glabrata
9410	response to xenobiotic stimulus	2 out of 193 genes, 1.0%	FLR1 EPA3	Candida glabrata
30163	protein catabolic process	2 out of 193 genes, 1.0%	ASK10 CAGL0H04103g	Candida glabrata
7114	cell budding	2 out of 193 genes, 1.0%	CAGL0J10318g CAGL0D04686g	Candida glabrata
42254	ribosome biogenesis	1 out of 193 genes, 0.5%	CAGL0K00517g	Candida glabrata
6766	vitamin metabolic process	1 out of 193 genes, 0.5%	CAGL0M01166g	Candida glabrata
32196	transposition	0 out of 193 genes, 0%	none	
6457	protein folding	0 out of 193 genes, 0%	none	
30448	hyphal growth	0 out of 193 genes, 0%	none	
6412	translation	0 out of 193 genes, 0%	none	
6997	nucleus organization	0 out of 193 genes, 0%	none	
other	other	28 out of 193 genes, 14.5%	CAGL0M12210g BAT1 CAGL0M14047g CAGL0I08987g LYS21 CAGL0I02574g CAGL0I09592g CAGL0L00539g LYS12 URA3 CAGL0I09174g CAGL0C04917g STR3 CAGL0A00363g CAGL0K03465g CAGL0J08866g YPS6 CAGL0G04741g CAGL0L05588g LYS9 CAGL0I10791g IDP1 MET13 CAGL0M02453g URA5 ARG1 LEU2 CAGL0A02574g	Candida glabrata
not_yet_annotated	not_yet_annotated	1 out of 193 genes, 0.5%	AWP3	Candida glabrata
