Orthogroup	BG2_protein	sacCer_protein
OG0000123	QNG14214.1	NP_012593.3
OG0000124	QNG14370.1	NP_015251.1
OG0000124	QNG14985.1	NP_010966.1
OG0000125	QNG16992.1, QNG14376.1	NP_015244.1, NP_009748.3
OG0000126	QNG16983.1, QNG14382.1	NP_009740.3, NP_015235.1
OG0000127	QNG17097.1	NP_010763.2
OG0000127	QNG14502.1	NP_014662.1
OG0000128	QNG14553.1	NP_010933.1
OG0000128	QNG14933.1	NP_013807.1
OG0000129	QNG15904.1, QNG14580.1	NP_010316.1, NP_009610.1
OG0000130	QNG14641.1	NP_015299.1
OG0000130	QNG15878.1	NP_010533.1
OG0000131	QNG14662.1	NP_015067.1
OG0000131	QNG16587.1	NP_013926.1
OG0000132	QNG17143.1	NP_009698.3
OG0000132	QNG14753.1	NP_014560.1
OG0000134	QNG16814.1	NP_015184.1
OG0000134	QNG15034.1	NP_014876.1
OG0000135	QNG15036.1	NP_014880.3
OG0000135	QNG16811.1	NP_015180.1
OG0000136	QNG16818.1	NP_015188.1
OG0000136	QNG15041.1	NP_014870.1
OG0000137	QNG15273.1	NP_010151.1
OG0000137	QNG15148.1	NP_010099.1
OG0000138	QNG16491.1	NP_014847.3
OG0000138	QNG15169.1	NP_015206.1
OG0000139	QNG15216.1	NP_014142.1
OG0000139	QNG16031.1	NP_012025.1
OG0000140	QNG15228.1	NP_010851.1
OG0000140	QNG15227.1	NP_014131.1
OG0000141	QNG15263.1	NP_010087.1
OG0000141	QNG16109.1	NP_010143.1
OG0000142	QNG15265.1	NP_010144.1
OG0000142	QNG16111.1	NP_010089.1
OG0000143	QNG16258.1, QNG15418.1	NP_012344.1, NP_009960.2
OG0000144	QNG16777.1	NP_009640.1
OG0000144	QNG15429.1	NP_011720.3
OG0000145	QNG15510.1	NP_011860.1
OG0000145	QNG17153.1	NP_012917.3
OG0000146	QNG15716.1	NP_013822.1
OG0000146	QNG15538.1	NP_012796.1
OG0000147	QNG15539.1	NP_013823.1
OG0000147	QNG15717.1	NP_012795.1
OG0000148	QNG15721.1	NP_012793.2
OG0000148	QNG15543.1	NP_013827.1
OG0000149	QNG15592.1, QNG16259.1	NP_012345.1, NP_013471.1
OG0000150	QNG15651.1	NP_013361.1
OG0000150	QNG16416.1	NP_014814.1
OG0000151	QNG16130.1	NP_012401.1
OG0000151	QNG15751.1	NP_012979.3
OG0000152	QNG16692.1	NP_011991.1
OG0000152	QNG15806.1	NP_014269.4
OG0000153	QNG16006.1	NP_012585.1
OG0000153	QNG16173.1	NP_010867.3
OG0000154	QNG16849.1, QNG16266.1	NP_010898.1, NP_058137.1
OG0000155	QNG16276.1, QNG16857.1	NP_009936.1, NP_014399.3
OG0000156	QNG16334.1	NP_010417.3
OG0000156	QNG17217.1	NP_013209.1
OG0000157	QNG16649.1, QNG16342.1	NP_010384.3, NP_011104.3
OG0000158	QNG16415.1	NP_014815.3, NP_014805.3, NP_012700.1, NP_013368.1
OG0000159	QNG16624.1	NP_013637.1
OG0000159	QNG16731.1	NP_013554.3
OG0000160	QNG17029.1	NP_015268.1
OG0000160	QNG16952.1	NP_009719.3
OG0000161	QNG17216.1, QNG17251.1	NP_012211.2, NP_010984.3
OG0000164	QNG12160.1, QNG12162.1	NP_011490.2
OG0000165	QNG12165.1, QNG13167.1	NP_011487.3
OG0000166	QNG12205.1, QNG16628.1	NP_011971.1
OG0000167	QNG12208.1, QNG16000.1	NP_011975.1
OG0000168	QNG16162.1, QNG12288.1	NP_009497.2
OG0000169	QNG12314.1	NP_009867.1, NP_009869.3
OG0000170	QNG15582.1, QNG12431.1	NP_011569.1
OG0000171	QNG13155.1, QNG12464.1	NP_010854.1
OG0000172	QNG12498.1, QNG16153.1	NP_009579.1
OG0000173	QNG12509.1, QNG13901.1	NP_014752.3
OG0000174	QNG17156.1, QNG12512.1	NP_009924.4
OG0000175	QNG12806.1, QNG12569.1	NP_012157.3
OG0000176	QNG12571.1, QNG12807.1	NP_012159.1
OG0000177	QNG12586.1	NP_009803.3, NP_012899.3, NP_012303.1
OG0000178	QNG12589.1	NP_009800.1, NP_009952.2, NP_011411.3
OG0000179	QNG13472.1, QNG12641.1	NP_014910.1
OG0000180	QNG12653.1, QNG13202.1	NP_013059.1
OG0000181	QNG12655.1, QNG13204.1	NP_013057.1
OG0000182	QNG12671.1, QNG13063.1	NP_010007.1
OG0000183	QNG15467.1, QNG12725.1	NP_009420.1
OG0000184	QNG12727.1	NP_014586.1, NP_015065.1, NP_015446.2
OG0000185	QNG15453.1, QNG12740.1	NP_014573.1
OG0000186	QNG14165.1, QNG12762.1	NP_013915.1
OG0000187	QNG12804.1, QNG14353.1	NP_010228.1
OG0000188	QNG15065.1, QNG12843.1	NP_013127.2
OG0000189	QNG13004.1, QNG12906.1	NP_013119.1
OG0000190	QNG12968.1, QNG16034.1	NP_015452.1
OG0000191	QNG16894.1, QNG13098.1	NP_013231.1
OG0000192	QNG16871.1, QNG13124.1	NP_014518.1
OG0000193	QNG13146.1, QNG15381.1	NP_014637.1
OG0000194	QNG13871.1, QNG13195.1	NP_013072.1
OG0000195	QNG14504.1, QNG13216.1	NP_010336.3
OG0000196	QNG16781.1, QNG13238.1	NP_009636.3
OG0000197	QNG13242.1	NP_010344.1, NP_014984.3, NP_009638.1
OG0000198	QNG13264.1, QNG13261.1	NP_014490.1
OG0000199	QNG13262.1	NP_015237.1
OG0000200	QNG13278.1, QNG17234.1	NP_009362.1
OG0000201	QNG13359.1, QNG14410.1	NP_009386.1
OG0000202	QNG13406.1, QNG16506.1	NP_116648.2
OG0000203	QNG14347.1, QNG13452.1	NP_013696.1
OG0000204	QNG13620.1, QNG13626.1	NP_011403.1
OG0000205	QNG13636.1, QNG13635.1	NP_012827.1
OG0000206	QNG13705.1, QNG16710.1	NP_012078.3
OG0000207	QNG13785.1, QNG16569.1	NP_012998.1
OG0000208	QNG13814.1, QNG15015.1	NP_012171.1
OG0000209	QNG14334.1, QNG13859.1	NP_011044.1
OG0000210	QNG14735.1, QNG13896.1	NP_014541.1
OG0000211	QNG14704.1, QNG13924.1	NP_010354.3
OG0000212	QNG14142.1, QNG14126.1	NP_015507.1
OG0000213	QNG16584.1, QNG14162.1	NP_013923.1
OG0000214	QNG14234.1, QNG15150.1	NP_013988.1
OG0000215	QNG14277.1	NP_011438.1, NP_010071.1, NP_014454.3
OG0000216	QNG16116.1, QNG14351.1	NP_013481.3
OG0000217	QNG15179.1, QNG14399.1	NP_009350.1
OG0000218	QNG14400.1, QNG14401.1	NP_009562.1
OG0000219	QNG14438.1, QNG17322.1	NP_014051.3
OG0000220	QNG14544.1	NP_010956.1, NP_010957.1, NP_011290.1
OG0000221	QNG14587.1, QNG15908.1	NP_009615.1
OG0000222	QNG14986.1, QNG14628.1	NP_010967.3
OG0000223	QNG14655.1, QNG16592.1	NP_013932.1
OG0000224	QNG14681.1, QNG17071.1	NP_012370.1
OG0000225	QNG14802.1, QNG14803.1	NP_014274.1
OG0000226	QNG14831.1, QNG14830.1	NP_014951.4
OG0000227	QNG14934.1	NP_010404.1, NP_009852.3, NP_013806.1
OG0000228	QNG14949.1, QNG16128.1	NP_011348.1
OG0000229	QNG15254.1, QNG16095.1	NP_013311.1
OG0000230	QNG15507.1, QNG17150.1	NP_011856.1
OG0000231	QNG15513.1, QNG17158.1	NP_012922.1
OG0000232	QNG15593.1, QNG15591.1	NP_011579.1
OG0000233	QNG15639.1, QNG16004.1	NP_011980.1
OG0000234	QNG15655.1, QNG16418.1	NP_014810.1
OG0000235	QNG15763.1	NP_012818.1, NP_013802.1, NP_013801.1
OG0000236	QNG15856.1	NP_013656.1, NP_012088.3, NP_013536.3
OG0000237	QNG15910.1	NP_010323.3, NP_010325.1, NP_010324.3
OG0000238	QNG16177.1, QNG16009.1	NP_012583.1
OG0000239	QNG16011.1, QNG16181.1	NP_010880.3
OG0000240	QNG16262.1, QNG16830.1	NP_009959.2
OG0000241	QNG16686.1, QNG16440.1	NP_014278.3
OG0000242	QNG17279.1, QNG16684.1	NP_012873.1
OG0000243	QNG16727.1	NP_013042.1, NP_012664.1, NP_013628.1
OG0000244	QNG16889.1	NP_013222.1, NP_013221.1, NP_010428.3
OG0000251	QNG12112.1	NP_009544.1, NP_011494.1
OG0000252	QNG12122.1	NP_011502.1, NP_009548.1
OG0000253	QNG12124.1	NP_011507.1, NP_015289.1
OG0000254	QNG12147.1	NP_013432.1, NP_011524.1
OG0000256	QNG12167.1	NP_011484.1, NP_011664.3
OG0000257	QNG12172.1	NP_013730.1, NP_011523.3
OG0000258	QNG12188.1	NP_014661.1, NP_116677.3
OG0000259	QNG12212.1	NP_010645.1, NP_011976.1
OG0000260	QNG12242.1	NP_014776.1, NP_010673.1
OG0000261	QNG12244.1	NP_009526.1, NP_009641.1
OG0000262	QNG12248.1	NP_013128.1, NP_013839.1
OG0000263	QNG12249.1	NP_013129.1, NP_013840.1
OG0000264	QNG12293.1	NP_011022.1, NP_009492.1
OG0000265	QNG12298.1	NP_009481.1, NP_011028.1
OG0000266	QNG12327.1	NP_009879.2, NP_010817.3
OG0000267	QNG12328.1	NP_009880.2, NP_010819.1
OG0000268	QNG12329.1	NP_001032573.1, NP_878067.1
OG0000269	QNG12339.1	NP_009893.2, NP_010803.3
OG0000270	QNG12351.1	NP_013280.1, NP_013279.1
OG0000271	QNG12355.1	NP_013284.1, NP_010789.1
OG0000272	QNG12356.1	NP_013286.1, NP_010788.1
OG0000273	QNG13053.1, QNG12358.1	NP_010021.1
OG0000274	QNG12376.1	NP_010392.1, NP_013184.1
OG0000275	QNG12414.1	NP_013582.1, NP_013625.1
OG0000276	QNG12415.1	NP_013581.1, NP_013623.1
OG0000277	QNG12427.1	NP_013465.1, NP_014780.3
OG0000278	QNG12441.1	NP_011555.3, NP_013457.1
OG0000279	QNG12457.1	NP_014384.3, NP_013350.1
OG0000280	QNG12458.1	NP_013349.1, NP_011357.1
OG0000281	QNG12492.1	NP_010295.3, NP_009587.1
OG0000282	QNG12500.1	NP_009577.1, NP_012294.3
OG0000283	QNG12504.1	NP_014744.1, NP_014301.1
OG0000286	QNG12595.1	NP_014254.1, NP_010749.3
OG0000287	QNG12635.1	NP_009395.1, NP_014659.1
OG0000288	QNG12649.1	NP_014816.2, NP_013372.1
OG0000289	QNG12666.1	NP_014445.1, NP_010015.3
OG0000290	QNG12766.1	NP_013911.1, NP_015084.1
OG0000291	QNG12770.1	NP_013907.1, NP_015094.1
OG0000292	QNG12785.1	NP_013510.3, NP_010208.1
OG0000293	QNG12813.1	NP_001335753.1, NP_015404.1
OG0000294	QNG12817.1	NP_009675.3, NP_015399.1
OG0000295	QNG12846.1	NP_012781.1, NP_013836.1
OG0000296	QNG12872.1	NP_013046.2, NP_010031.1
OG0000297	QNG12921.1	NP_012278.3, NP_013113.1
OG0000298	QNG12957.1	NP_015044.1, NP_015035.1
OG0000299	QNG12964.1	NP_015445.1, NP_011623.3
OG0000300	QNG13017.1	NP_011693.1, NP_015022.3
OG0000301	QNG13022.1	NP_013666.1, NP_012588.1
OG0000302	QNG13039.1	NP_013410.1, NP_013411.1
OG0000303	QNG13045.1	NP_013079.1, NP_013417.3
OG0000304	QNG13093.1	NP_010435.1, NP_013237.1
OG0000305	QNG13110.1	NP_014511.1, NP_116604.1
OG0000306	QNG13112.1	NP_014092.1, NP_014513.1
OG0000307	QNG13126.1	NP_014097.1, NP_014520.1
OG0000308	QNG13127.1	NP_014098.1, NP_014521.1
OG0000309	QNG13130.1	NP_014525.1, NP_013829.1
OG0000310	QNG13206.1	NP_013055.1, NP_011830.1
OG0000311	QNG13207.1	NP_011829.1, NP_013054.1
OG0000312	QNG13213.1	NP_011816.2, NP_011823.1
OG0000313	QNG13251.1	NP_010174.1, NP_011371.1
OG0000314	QNG13271.1	NP_116715.3, NP_014982.3
OG0000315	QNG13272.1	NP_014983.1, NP_009368.2
OG0000316	QNG13291.1	NP_011381.1, NP_015105.1
OG0000317	QNG13297.1	NP_015096.1, NP_013905.1
OG0000318	QNG13302.1	NP_015092.1, NP_013908.1
OG0000320	QNG13376.1	NP_012252.1, NP_014654.1
OG0000321	QNG13387.1	NP_013162.1, NP_116619.1
OG0000322	QNG13399.1	NP_015308.1, NP_116635.1
OG0000323	QNG13408.1	NP_116651.1, NP_015306.1
OG0000324	QNG13416.1	NP_012337.1, NP_009966.2
OG0000325	QNG13440.1	NP_010860.1, NP_010706.3
OG0000326	QNG13492.1	NP_009642.3, NP_009523.1
OG0000327	QNG13502.1	NP_009514.1, NP_012637.4
OG0000328	QNG13516.1	NP_012131.1, NP_014325.3
OG0000329	QNG13518.1	NP_015480.1, NP_011652.1
OG0000330	QNG13529.1	NP_014823.3, NP_013386.1
OG0000331	QNG13542.1	NP_010492.3, NP_013334.1
OG0000332	QNG13564.1	NP_010463.1, NP_013265.1
OG0000333	QNG13567.1	NP_878063.3, NP_013748.1
OG0000334	QNG13570.1	NP_013751.1, NP_012861.1
OG0000335	QNG13576.1	NP_013762.1, NP_012855.1
OG0000336	QNG13607.1	NP_012301.3, NP_012852.1
OG0000337	QNG13632.1	NP_012830.1, NP_013798.1
OG0000338	QNG13644.1	NP_013892.1, NP_013893.1
OG0000339	QNG13697.1	NP_012679.3, NP_012073.1
OG0000340	QNG13730.1	NP_009402.1, NP_011513.1
OG0000341	QNG13737.1	NP_011537.1, NP_013436.1
OG0000342	QNG13746.1	NP_013448.1, NP_011548.2
OG0000343	QNG13759.1	NP_009679.2, NP_015406.1
OG0000344	QNG13778.1	NP_011599.1, NP_015427.1
OG0000345	QNG13791.1	NP_013002.3, NP_013977.1
OG0000346	QNG13807.1	NP_013020.3, NP_012118.1
OG0000347	QNG13808.1	NP_013021.1, NP_012117.3
OG0000348	QNG13824.1	NP_014351.3, NP_012161.1
OG0000349	QNG13839.1	NP_015440.1, NP_011611.1
OG0000350	QNG13843.1	NP_011027.1, NP_009484.2
OG0000351	QNG13857.1	NP_011042.3, NP_009466.1
OG0000352	QNG13861.1	NP_009461.2, NP_011046.3
OG0000353	QNG13877.1	NP_013045.1, NP_013104.1
OG0000354	QNG13885.1	NP_012962.3, NP_012423.1
OG0000355	QNG13908.1	NP_013475.1, NP_011584.2
OG0000356	QNG13932.1	NP_014202.1, NP_010057.1
OG0000357	QNG13934.1	NP_010055.1, NP_014195.1
OG0000358	QNG13940.1	NP_014205.1, NP_010059.1
OG0000359	QNG13957.1	NP_012010.1, NP_014237.2
OG0000360	QNG13964.1	NP_036194.1, NP_014242.1
OG0000361	QNG13967.1	NP_014255.1, NP_011999.2
OG0000362	QNG13979.1	NP_014303.3, NP_014739.1
OG0000363	QNG14000.1	NP_013694.1, NP_010726.3
OG0000364	QNG14007.1	NP_013686.1, NP_010738.1
OG0000365	QNG14008.1	NP_013685.1, NP_010739.3
OG0000366	QNG14015.1	NP_010746.1, NP_013679.1
OG0000367	QNG14051.1	NP_011101.3, NP_010383.4
OG0000368	QNG14053.1	NP_010471.1, NP_013269.1
OG0000369	QNG14070.1	NP_012145.1, NP_012146.1
OG0000370	QNG14091.1	NP_015126.1, NP_011439.1
OG0000371	QNG14117.1	NP_014825.3, NP_013390.1
OG0000372	QNG14206.1	NP_010810.1, NP_009882.1
OG0000373	QNG14241.1	NP_013980.1, NP_015059.1
OG0000374	QNG14248.1	NP_012984.2, NP_012398.1
OG0000375	QNG14251.1	NP_012459.1, NP_012935.3
OG0000376	QNG14256.1	NP_012465.3, NP_009843.3
OG0000377	QNG14265.1	NP_015137.1, NP_011426.1
OG0000378	QNG14269.1	NP_011431.1, NP_015135.1
OG0000379	QNG14304.1	NP_009931.1, NP_014398.1
OG0000380	QNG14314.1	NP_013630.1, NP_012661.3
OG0000381	QNG14348.1	NP_010235.1, NP_013479.3
OG0000382	QNG14380.1	NP_015238.1, NP_009742.1
OG0000383	QNG14381.1	NP_015236.1, NP_009741.3
OG0000384	QNG14396.1	NP_009731.4, NP_015220.1
OG0000385	QNG14464.1	NP_010771.1, NP_015272.1
OG0000386	QNG14495.1	NP_014676.1, NP_010549.3
OG0000387	QNG14523.1	NP_015368.1, NP_012628.3
OG0000388	QNG14534.1	NP_015104.1, NP_011380.3
OG0000389	QNG14536.1	NP_011382.1, NP_015108.1
OG0000390	QNG14609.1	NP_015020.3, NP_009339.1
OG0000391	QNG14610.1	NP_009340.1, NP_009341.2
OG0000392	QNG14633.1	NP_012228.1, NP_010964.3
OG0000393	QNG14646.1	NP_011025.3, NP_009485.3
OG0000394	QNG14651.1	NP_014411.3, NP_013933.1
OG0000395	QNG14677.1	NP_012377.1, NP_012375.2
OG0000396	QNG14698.1	NP_010362.3, NP_011077.1
OG0000397	QNG14732.1	NP_010785.1, NP_014538.2
OG0000398	QNG14746.1	NP_009708.1, NP_014552.1
OG0000399	QNG14796.1	NP_011879.1, NP_116678.1
OG0000400	QNG14817.1	NP_012477.1, NP_009829.2
OG0000401	QNG14820.1	NP_012487.1, NP_009832.1
OG0000402	QNG14849.1	NP_011657.1, NP_015483.1
OG0000403	QNG14852.1	NP_015482.1, NP_011654.1
OG0000404	QNG14857.1	NP_011647.1, NP_015475.1
OG0000405	QNG14864.1	NP_011640.1, NP_015471.1
OG0000406	QNG14872.1	NP_014836.3, NP_015213.1
OG0000407	QNG14881.1	NP_011541.1, NP_013437.1
OG0000408	QNG14889.1	NP_011914.1, NP_014453.3
OG0000409	QNG14906.1	NP_011885.1, NP_012766.1
OG0000410	QNG14911.1	NP_012490.1, NP_012774.1
OG0000411	QNG14936.1	NP_012817.1, NP_013803.1
OG0000412	QNG14942.1	NP_015338.1, NP_015340.1
OG0000414	QNG14969.1	NP_116688.3, NP_012246.1
OG0000415	QNG14992.1	NP_012219.3, NP_010974.1
OG0000416	QNG15002.1	NP_012198.3, NP_010993.1
