Orthogroup	BG2_protein	CBS138_protein
OG0000047	QNG16335.1	XP_449054.1
OG0000047	QNG17219.1	XP_449851.1
OG0000048	QNG16678.1	XP_449323.1
OG0000048	QNG16390.1	XP_448998.1
OG0000051	QNG12176.1	XP_444842.1
OG0000051	QNG12193.1	XP_444859.1
OG0000052	QNG15999.1	XP_447305.1
OG0000052	QNG12207.1	XP_444874.1
OG0000053	QNG12221.1	XP_444888.1
OG0000053	QNG15996.1	XP_447302.1
OG0000054	QNG14647.1	XP_447489.1
OG0000054	QNG12296.1	XP_444962.1
OG0000055	QNG14472.1	XP_447127.1
OG0000055	QNG12310.1	XP_444978.1
OG0000056	QNG12315.1	XP_445025.1, XP_444981.1
OG0000057	QNG12350.1	XP_445016.1
OG0000057	QNG15240.1	XP_448077.1
OG0000058	QNG12352.1	XP_445018.1
OG0000058	QNG15238.1	XP_448075.1
OG0000059	QNG12388.1	XP_445053.1
OG0000059	QNG17203.1	XP_449836.1
OG0000060	QNG14615.1	XP_448802.1
OG0000060	QNG12424.1	XP_445089.1
OG0000061	QNG12430.1	XP_445094.1
OG0000061	QNG15583.1	XP_448416.1
OG0000062	QNG15648.1	XP_448480.1
OG0000062	QNG12454.1	XP_445120.1
OG0000063	QNG12487.1	XP_445150.1
OG0000063	QNG13833.1	XP_446495.1
OG0000064	QNG12497.1	XP_445160.1
OG0000064	QNG16151.1	XP_447458.1
OG0000065	QNG12531.1	XP_445193.1
OG0000066	QNG13648.1	XP_446310.1
OG0000066	QNG12561.1	XP_445226.1
OG0000067	QNG12585.1	XP_445248.1
OG0000067	QNG14826.1	XP_447665.1
OG0000068	QNG13854.1	XP_446516.1
OG0000068	QNG12593.1	XP_445257.1
OG0000069	QNG12643.1	XP_445306.1
OG0000069	QNG13581.1	XP_446243.1
OG0000070	QNG12665.1	XP_445328.1
OG0000070	QNG13057.1	XP_445706.1
OG0000071	QNG12696.1	XP_445364.1
OG0000071	QNG17164.1	XP_449801.1
OG0000072	QNG15886.1	XP_448713.1
OG0000072	QNG12699.1	XP_445367.1
OG0000073	QNG16367.1	XP_449022.1
OG0000073	QNG12719.1	XP_445387.1
OG0000074	QNG12726.1	XP_445393.1
OG0000074	QNG15466.1	XP_448301.1
OG0000075	QNG12730.1	XP_445397.1
OG0000075	QNG15463.1	XP_448298.1
OG0000076	QNG13531.1	XP_446194.1
OG0000076	QNG12776.1	XP_445431.1
OG0000077	QNG12811.1, QNG15731.1	XP_445466.1, XP_448561.1
OG0000078	QNG12839.1	XP_445493.1
OG0000078	QNG15481.1	XP_448316.1
OG0000079	QNG12907.1	XP_445558.1
OG0000079	QNG13002.1	XP_445651.1
OG0000080	QNG14195.1	XP_446861.1
OG0000080	QNG12934.1	XP_445585.1
OG0000081	QNG12943.1	XP_445594.1
OG0000081	QNG17271.1	XP_449905.1
OG0000082	QNG15327.1	XP_448166.1
OG0000082	QNG12951.1	XP_445602.2
OG0000083	QNG12976.1	XP_445625.1
OG0000083	QNG14867.1	XP_447707.1
OG0000084	QNG13032.1	XP_445680.1
OG0000084	QNG13181.1	XP_445832.1
OG0000085	QNG13036.1	XP_445684.1
OG0000085	QNG13417.1	XP_446075.1
OG0000086	QNG13047.1	XP_445696.1
OG0000086	QNG15005.1	XP_447844.1
OG0000087	QNG16869.1	XP_449509.1
OG0000087	QNG13131.1	XP_445781.1
OG0000088	QNG13183.1	XP_445834.1
OG0000088	QNG16336.1	XP_449053.1
OG0000089	QNG13237.1	XP_445889.1
OG0000089	QNG16783.1	XP_449424.1
OG0000090	QNG13253.1	XP_445905.1
OG0000090	QNG14075.1	XP_446742.1
OG0000091	QNG13292.1	XP_445947.1
OG0000091	QNG14530.1	XP_447185.1
OG0000092	QNG14527.1	XP_447182.1
OG0000092	QNG13295.1	XP_445950.1
OG0000093	QNG13305.1	XP_445960.2
OG0000093	QNG14888.1	XP_447726.1
OG0000094	QNG15412.1	XP_448247.1
OG0000094	QNG13340.1	XP_445995.1
OG0000095	QNG13973.1	XP_446637.1
OG0000095	QNG13348.1	XP_446003.1
OG0000096	QNG13352.1	XP_446007.1
OG0000096	QNG15250.1	XP_448088.1
OG0000097	QNG14409.1	XP_447067.1
OG0000097	QNG13357.1	XP_446013.1
OG0000098	QNG14411.1	XP_447069.1
OG0000098	QNG13360.1	XP_446016.1
OG0000099	QNG16764.1	XP_449405.1
OG0000099	QNG13455.1	XP_446112.1
OG0000100	QNG13460.1	XP_446118.1
OG0000100	QNG15159.1	XP_447996.1
OG0000101	QNG15161.1	XP_447998.1
OG0000101	QNG13462.1	XP_446120.1
OG0000102	QNG13466.1	XP_446125.1
OG0000102	QNG15781.1	XP_448611.1
OG0000103	QNG15850.1	XP_448679.1
OG0000103	QNG13513.1	XP_446176.1
OG0000104	QNG14844.1	XP_447683.1
OG0000104	QNG13520.1	XP_446183.1
OG0000105	QNG16396.1	XP_448992.1
OG0000105	QNG13580.1	XP_446242.1
OG0000106	QNG13609.1	XP_446270.1
OG0000106	QNG15687.1	XP_448518.1
OG0000107	QNG13654.1	XP_446316.1
OG0000107	QNG16036.1	XP_447342.1
OG0000108	QNG13657.1	XP_446319.1
OG0000108	QNG16039.1	XP_447345.1
OG0000109	QNG13666.1	XP_446328.1
OG0000109	QNG16054.1	XP_447360.1
OG0000110	QNG13716.1	XP_446378.1
OG0000110	QNG17311.1	XP_449944.1
OG0000111	QNG15637.1	XP_448470.1
OG0000111	QNG13803.1	XP_446465.1
OG0000112	QNG14425.1	XP_447083.1
OG0000112	QNG13811.1	XP_446473.1
OG0000113	QNG13842.1	XP_446504.1
OG0000113	QNG16843.1	XP_449485.1
OG0000114	QNG13987.1	XP_446653.1
OG0000114	QNG13902.1	XP_446566.1
OG0000115	QNG13966.1	XP_446629.1
OG0000115	QNG15125.1	XP_447964.1
OG0000116	QNG13978.1	XP_446643.1
OG0000116	QNG16456.1	XP_448934.1
OG0000117	QNG15663.1	XP_448495.1
OG0000117	QNG14009.1	XP_446677.1
OG0000118	QNG14048.1	XP_446714.1
OG0000118	QNG16638.1	XP_449281.1
OG0000119	QNG14065.1	XP_446731.1
OG0000119	QNG16705.1	XP_449349.1
OG0000119	QNG17325.1	XP_449958.1
OG0000120	QNG14076.1	XP_446743.1
OG0000120	QNG16917.1	XP_449556.1
OG0000121	QNG15968.1	XP_447274.1
OG0000121	QNG14108.1	XP_446773.1
OG0000122	QNG14212.1	XP_446877.1
OG0000122	QNG14541.1	XP_447196.1
OG0000123	QNG14542.1	XP_447197.1
OG0000123	QNG14214.1	XP_446879.1
OG0000124	QNG14370.1	XP_447029.1
OG0000124	QNG14985.1	XP_447823.1
OG0000125	QNG16992.1	XP_449630.1
OG0000125	QNG14376.1	XP_447035.1
OG0000126	QNG16983.1	XP_449621.1
OG0000126	QNG14382.1	XP_447041.1
OG0000127	QNG17097.1	XP_449735.1
OG0000127	QNG14502.1	XP_447158.1
OG0000128	QNG14553.1	XP_447208.1
OG0000128	QNG14933.1	XP_447770.1
OG0000129	QNG15904.1	XP_448732.1
OG0000129	QNG14580.1	XP_447235.1
OG0000130	QNG14641.1	XP_447483.1
OG0000130	QNG15878.1	XP_448705.1
OG0000131	QNG14662.1	XP_447504.1
OG0000131	QNG16587.1	XP_449230.1
OG0000132	QNG17143.1	XP_449781.1
OG0000132	QNG14753.1	XP_447593.1
OG0000133	QNG15954.1	XP_448783.1
OG0000133	QNG14845.1	XP_447684.1
OG0000133	QNG14946.1	XP_002999567.1
OG0000134	QNG16814.1	XP_449456.1
OG0000134	QNG15034.1	XP_447873.1
OG0000135	QNG15036.1	XP_447875.1
OG0000135	QNG16811.1	XP_449452.1
OG0000136	QNG16818.1	XP_449460.1
OG0000136	QNG15041.1	XP_447880.1
OG0000137	QNG15273.1	XP_448111.1
OG0000137	QNG15148.1	XP_447985.1
OG0000138	QNG16491.1	XP_448898.1
OG0000138	QNG15169.1	XP_448006.1
OG0000139	QNG15216.1	XP_448053.1
OG0000139	QNG16031.1	XP_447337.1
OG0000140	QNG15228.1	XP_448064.1
OG0000140	QNG15227.1	XP_448063.1
OG0000141	QNG15263.1	XP_448101.1
OG0000141	QNG16109.1	XP_447417.1
OG0000142	QNG15265.1	XP_448103.1
OG0000142	QNG16111.1	XP_447419.1
OG0000143	QNG16258.1	XP_449129.1
OG0000143	QNG15418.1	XP_448253.1
OG0000144	QNG16777.1	XP_449418.1
OG0000144	QNG15429.1	XP_448264.1
OG0000145	QNG15510.1	XP_448344.1
OG0000145	QNG17153.1	XP_449791.1
OG0000146	QNG15716.1	XP_448545.1
OG0000146	QNG15538.1	XP_448372.1
OG0000147	QNG15539.1	XP_448373.1
OG0000147	QNG15717.1	XP_448546.1
OG0000148	QNG15721.1	XP_448551.1
OG0000148	QNG15543.1	XP_448376.1
OG0000149	QNG15592.1	XP_448425.1
OG0000149	QNG16259.1	XP_002999595.1
OG0000150	QNG15651.1	XP_448483.1
OG0000150	QNG16416.1	XP_448973.1
OG0000151	QNG16130.1	XP_447437.1
OG0000151	QNG15751.1	XP_448581.1
OG0000152	QNG16692.1	XP_449337.1
OG0000152	QNG15806.1	XP_448636.1
OG0000153	QNG16006.1	XP_447312.1
OG0000153	QNG16173.1	XP_448824.1
OG0000154	QNG16849.1	XP_002999600.1
OG0000154	QNG16266.1	XP_449124.2
OG0000155	QNG16276.1	XP_449115.1
OG0000155	QNG16857.1	XP_449497.1
OG0000156	QNG16334.1	XP_449055.1
OG0000156	QNG17217.1	XP_449849.1
OG0000157	QNG16649.1	XP_449292.1
OG0000157	QNG16342.1	XP_449048.1
OG0000158	QNG16415.1	XP_448974.1
OG0000159	QNG16624.1	XP_449267.1
OG0000159	QNG16731.1	XP_449373.1
OG0000160	QNG17029.1	XP_449666.1
OG0000160	QNG16952.1	XP_449590.1
OG0000161	QNG17216.1	XP_449848.1
OG0000161	QNG17251.1	XP_449883.1
OG0000163	QNG12132.1	XP_446673.1
OG0000163	QNG12983.1, QNG12133.1	XP_022456058.1
OG0000164	QNG12160.1, QNG12162.1	XP_002999511.1, XP_444828.1
OG0000165	QNG12165.1	XP_444831.1
OG0000165	QNG13167.1	XP_445816.1
OG0000166	QNG12205.1	XP_444872.1
OG0000166	QNG16628.1	XP_449271.1
OG0000167	QNG12208.1	XP_444875.1
OG0000167	QNG16000.1	XP_447306.1
OG0000168	QNG16162.1	XP_447469.1
OG0000168	QNG12288.1	XP_444954.1
OG0000169	QNG12314.1	XP_445024.2, XP_444980.2
OG0000170	QNG15582.1	XP_448415.1
OG0000170	QNG12431.1	XP_445095.2
OG0000171	QNG13155.1	XP_445804.1
OG0000171	QNG12464.1	XP_445129.1
OG0000172	QNG12498.1	XP_445161.1
OG0000172	QNG16153.1	XP_447460.1
OG0000173	QNG12509.1	XP_445172.1
OG0000173	QNG13901.1	XP_446565.1
OG0000174	QNG17156.1	XP_449793.1
OG0000174	QNG12512.1	XP_445175.2
OG0000175	QNG12806.1	XP_445461.1
OG0000175	QNG12569.1	XP_445233.1
OG0000176	QNG12571.1	XP_445235.1
OG0000176	QNG12807.1	XP_445462.1
OG0000177	QNG12586.1	XP_445249.1
OG0000178	QNG12589.1	XP_445252.1
OG0000179	QNG13472.1	XP_446131.1
OG0000179	QNG12641.1	XP_445303.1
OG0000180	QNG12653.1	XP_445316.1
OG0000180	QNG13202.1	XP_445854.1
OG0000181	QNG12655.1	XP_445318.1
OG0000181	QNG13204.1	XP_445856.1
OG0000182	QNG12671.1	XP_445334.1
OG0000182	QNG13063.1	XP_445712.1
OG0000183	QNG15467.1	XP_448302.1
OG0000183	QNG12725.1	XP_445392.1
OG0000184	QNG12727.1	XP_445394.1
OG0000185	QNG15453.1	XP_448288.1
OG0000185	QNG12740.1	XP_445407.1
OG0000186	QNG14165.1	XP_446832.1
OG0000186	QNG12762.1	XP_448791.1
OG0000187	QNG12804.1	XP_445459.1
OG0000187	QNG14353.1	XP_447012.1
OG0000188	QNG15065.1	XP_447904.1
OG0000188	QNG12843.1	XP_445496.1
OG0000189	QNG13004.1	XP_445653.1
OG0000189	QNG12906.1	XP_445557.1
OG0000190	QNG12968.1	XP_445618.1
OG0000190	QNG16034.1	XP_447340.1
OG0000191	QNG16894.1	XP_449534.1
OG0000191	QNG13098.1	XP_445747.1
OG0000192	QNG16871.1	XP_449511.1
OG0000192	QNG13124.1	XP_445774.1
OG0000193	QNG13146.1	XP_445795.1
OG0000193	QNG15381.1	XP_448220.1
OG0000194	QNG13871.1	XP_446533.1
OG0000194	QNG13195.1	XP_445846.1
OG0000195	QNG14504.1	XP_447160.1
OG0000195	QNG13216.1	XP_445868.1
OG0000196	QNG16781.1	XP_449422.1
OG0000196	QNG13238.1	XP_445890.1
OG0000197	QNG13242.1	XP_445894.1
OG0000198	QNG13264.1	XP_445918.1
OG0000198	QNG13261.1	XP_445913.1
OG0000199	QNG13262.1	XP_445916.1, XP_445914.1, XP_445915.1
OG0000200	QNG13278.1	XP_445932.1
OG0000200	QNG17234.1	XP_449865.1
OG0000201	QNG13359.1	XP_446015.1
OG0000201	QNG14410.1	XP_447068.1
OG0000202	QNG13406.1	XP_446064.1
OG0000202	QNG16506.1	XP_449151.1
OG0000203	QNG14347.1	XP_447006.1
OG0000203	QNG13452.1	XP_446110.1
OG0000204	QNG13620.1	XP_446282.1
OG0000204	QNG13626.1	XP_446288.1
OG0000205	QNG13636.1	XP_446298.1
OG0000205	QNG13635.1	XP_446297.1
OG0000206	QNG13705.1	XP_446368.1
OG0000206	QNG16710.1	XP_449352.1
OG0000207	QNG13785.1	XP_446447.1
OG0000207	QNG16569.1	XP_449212.1
OG0000208	QNG13814.1	XP_446476.1
OG0000208	QNG15015.1	XP_447853.1
OG0000209	QNG14334.1	XP_446994.1
OG0000209	QNG13859.1	XP_446521.1
OG0000210	QNG14735.1	XP_447575.1
OG0000210	QNG13896.1	XP_446560.1
OG0000211	QNG14704.1	XP_447544.1
OG0000211	QNG13924.1	XP_446588.1
OG0000212	QNG14142.1	XP_446808.1
OG0000212	QNG14126.1	XP_446791.1
OG0000213	QNG16584.1	XP_449227.1
OG0000213	QNG14162.1	XP_446828.1
OG0000214	QNG14234.1	XP_446899.1
OG0000214	QNG15150.1	XP_447987.1
OG0000215	QNG14277.1	XP_446941.1
OG0000216	QNG16116.1	XP_447425.1
OG0000216	QNG14351.1	XP_447010.1
OG0000217	QNG15179.1	XP_448016.1
OG0000217	QNG14399.1	XP_447057.1
OG0000218	QNG14400.1	XP_447058.1
OG0000218	QNG14401.1	XP_447059.1
OG0000219	QNG14438.1	XP_447094.1
OG0000219	QNG17322.1	XP_449955.1
OG0000220	QNG14544.1	XP_447199.1
OG0000221	QNG14587.1	XP_447241.1
OG0000221	QNG15908.1	XP_448736.1
OG0000222	QNG14986.1	XP_447824.1
OG0000222	QNG14628.1	XP_448815.1
OG0000223	QNG14655.1	XP_447497.1
OG0000223	QNG16592.1	XP_449235.1
OG0000224	QNG14681.1	XP_447522.1
OG0000224	QNG17071.1	XP_449709.1
OG0000225	QNG14802.1	XP_447641.1
OG0000225	QNG14803.1	XP_447642.1
OG0000226	QNG14831.1	XP_447670.1
OG0000226	QNG14830.1	XP_447669.1
OG0000227	QNG14934.1	XP_447771.1
OG0000228	QNG14949.1	XP_447786.1
OG0000228	QNG16128.1	XP_447436.1
OG0000229	QNG15254.1	XP_448092.1
OG0000229	QNG16095.1	XP_447403.1
OG0000230	QNG15507.1	XP_448341.1
OG0000230	QNG17150.1	XP_449788.1
OG0000231	QNG15513.1	XP_448347.1
OG0000231	QNG17158.1	XP_449795.1
OG0000232	QNG15593.1	XP_448426.1
OG0000232	QNG15591.1	XP_448424.1
OG0000233	QNG15639.1	XP_448472.1
OG0000233	QNG16004.1	XP_447310.1
OG0000234	QNG15655.1	XP_448971.1
OG0000234	QNG16418.1	XP_448486.1
OG0000235	QNG15763.1	XP_448593.1
OG0000236	QNG15856.1	XP_448685.1
OG0000237	QNG15910.1	XP_448738.1
OG0000238	QNG16177.1	XP_448828.1
OG0000238	QNG16009.1	XP_447315.1
OG0000239	QNG16011.1, QNG16181.1	XP_448832.1, XP_447317.1
OG0000240	QNG16262.1	XP_449127.1
OG0000240	QNG16830.1	XP_449472.1
OG0000241	QNG16686.1	XP_449331.1
OG0000241	QNG16440.1	XP_448950.1
OG0000242	QNG17279.1	XP_449913.1
OG0000242	QNG16684.1	XP_449329.1
OG0000243	QNG16727.1	XP_449369.1
OG0000244	QNG16889.1	XP_449529.1
OG0000251	QNG12112.1	XP_444782.1
OG0000252	QNG12122.1	XP_444792.1
OG0000253	QNG12124.1	XP_444794.1
OG0000254	QNG12147.1	XP_444815.1
OG0000255	QNG12161.1	XP_002999512.1
OG0000255	QNG12159.1	XP_002999510.1
OG0000256	QNG12167.1	XP_444833.1
OG0000257	QNG12172.1	XP_444838.1
OG0000258	QNG12188.1	XP_444854.1
OG0000259	QNG12212.1	XP_444879.1
OG0000260	QNG12242.1	XP_444908.1
OG0000261	QNG12244.1	XP_444910.1
OG0000262	QNG12248.1	XP_444914.1
OG0000263	QNG12249.1	XP_444915.1
OG0000264	QNG12293.1	XP_444959.1
OG0000265	QNG12298.1	XP_444964.1
OG0000266	QNG12327.1	XP_444993.1
OG0000267	QNG12328.1	XP_444994.1
OG0000268	QNG12329.1	XP_444996.1
OG0000269	QNG12339.1	XP_445005.1
OG0000270	QNG12351.1	XP_445017.1
OG0000271	QNG12355.1	XP_445021.1
OG0000272	QNG12356.1	XP_445022.1
OG0000273	QNG13053.1, QNG12358.1	XP_445702.1
OG0000274	QNG12376.1	XP_445042.1
OG0000275	QNG12414.1	XP_445079.1
OG0000276	QNG12415.1	XP_445080.1
OG0000277	QNG12427.1	XP_445091.1
OG0000278	QNG12441.1	XP_445107.1
OG0000279	QNG12457.1	XP_445123.1
OG0000280	QNG12458.1	XP_445124.1
OG0000281	QNG12492.1	XP_445155.1
OG0000282	QNG12500.1	XP_445163.1
OG0000283	QNG12504.1	XP_445167.1
OG0000284	QNG13051.1	XP_445699.1
OG0000284	QNG12528.1	XP_445190.1
OG0000285	QNG12555.1	XP_445221.1
OG0000285	QNG12558.1	XP_445223.1
OG0000286	QNG12595.1	XP_002999523.1
OG0000287	QNG12635.1	XP_445297.1
OG0000288	QNG12649.1	XP_445312.1
OG0000289	QNG12666.1	XP_445329.1
OG0000290	QNG12766.1	XP_448795.1
OG0000291	QNG12770.1	XP_448799.1
OG0000292	QNG12785.1	XP_445440.1
OG0000293	QNG12813.1	XP_445468.1
OG0000294	QNG12817.1	XP_445471.1
OG0000295	QNG12846.1	XP_445499.1
OG0000296	QNG12872.1	XP_445523.1
OG0000297	QNG12921.1	XP_445572.1
OG0000298	QNG12957.1	XP_445607.1
OG0000299	QNG12964.1	XP_445614.1
OG0000300	QNG13017.1	XP_445666.1
OG0000301	QNG13022.1	XP_445671.1
OG0000302	QNG13039.1	XP_445687.1
OG0000303	QNG13045.1	XP_445693.1
OG0000304	QNG13093.1	XP_445742.1
OG0000305	QNG13110.1	XP_445759.1
OG0000306	QNG13112.1	XP_445762.1
OG0000307	QNG13126.1	XP_445776.1
OG0000308	QNG13127.1	XP_445777.1
OG0000309	QNG13130.1	XP_445780.1
OG0000310	QNG13206.1	XP_445858.1
OG0000311	QNG13207.1	XP_445859.1
OG0000312	QNG13213.1	XP_445865.1
OG0000313	QNG13251.1	XP_445903.1
OG0000314	QNG13271.1	XP_445925.1
OG0000315	QNG13272.1	XP_445926.1
OG0000316	QNG13291.1	XP_445946.1
OG0000317	QNG13297.1	XP_445952.1
OG0000318	QNG13302.1	XP_445957.1
OG0000319	QNG13321.1	XP_445977.1
OG0000319	QNG14727.1	XP_447567.2
OG0000320	QNG13376.1	XP_446033.1
OG0000321	QNG13387.1	XP_446045.2
OG0000322	QNG13399.1	XP_446057.1
OG0000323	QNG13408.1	XP_446066.1
OG0000324	QNG13416.1	XP_446074.1
OG0000325	QNG13440.1	XP_446098.1
OG0000326	QNG13492.1	XP_446154.1
OG0000327	QNG13502.1	XP_446164.1
OG0000328	QNG13516.1	XP_446179.1
OG0000329	QNG13518.1	XP_446181.1
OG0000330	QNG13529.1	XP_446192.1
OG0000331	QNG13542.1	XP_446204.1
OG0000332	QNG13564.1	XP_446226.1
OG0000333	QNG13567.1	XP_446229.1
OG0000334	QNG13570.1	XP_446232.1
OG0000335	QNG13576.1	XP_446238.1
OG0000336	QNG13607.1	XP_446268.1
OG0000337	QNG13632.1	XP_446294.1
OG0000338	QNG13644.1	XP_446306.1
OG0000339	QNG13697.1	XP_446360.1
OG0000340	QNG13730.1	XP_446392.1
OG0000341	QNG13737.1	XP_446399.1
OG0000342	QNG13746.1	XP_446408.1
OG0000343	QNG13759.1	XP_446421.1
OG0000344	QNG13778.1	XP_446440.1
OG0000345	QNG13791.1	XP_446453.1
OG0000346	QNG13807.1	XP_446470.2
OG0000347	QNG13808.1	XP_446471.1
OG0000348	QNG13824.1	XP_446486.1
OG0000349	QNG13839.1	XP_446501.1
OG0000350	QNG13843.1	XP_446505.1
OG0000351	QNG13857.1	XP_446519.1
OG0000352	QNG13861.1	XP_446523.1
OG0000353	QNG13877.1	XP_446540.1
OG0000354	QNG13885.1	XP_446548.1
OG0000355	QNG13908.1	XP_446572.1
OG0000356	QNG13932.1	XP_446595.1
OG0000357	QNG13934.1	XP_446597.1
OG0000358	QNG13940.1	XP_446603.1
OG0000359	QNG13957.1	XP_446620.2
OG0000360	QNG13964.1	XP_446627.1
OG0000361	QNG13967.1	XP_446631.1
OG0000362	QNG13979.1	XP_446644.1
OG0000363	QNG14000.1	XP_446666.1
OG0000364	QNG14007.1	XP_446675.1
OG0000365	QNG14008.1	XP_446676.1
OG0000366	QNG14015.1	XP_446683.1
OG0000367	QNG14051.1	XP_446717.1
OG0000368	QNG14053.1	XP_446719.1
OG0000369	QNG14070.1	XP_446737.1
OG0000370	QNG14091.1	XP_446758.1
OG0000371	QNG14117.1	XP_446782.1
OG0000372	QNG14206.1	XP_446871.1
OG0000373	QNG14241.1	XP_446905.1
OG0000374	QNG14248.1	XP_446912.1
OG0000375	QNG14251.1	XP_446915.1
OG0000376	QNG14256.1	XP_446920.1
OG0000377	QNG14265.1	XP_446929.1
OG0000378	QNG14269.1	XP_446933.1
OG0000379	QNG14304.1	XP_446968.1
OG0000380	QNG14314.1	XP_446978.1
OG0000381	QNG14348.1	XP_447007.1
OG0000382	QNG14380.1	XP_447039.1
OG0000383	QNG14381.1	XP_447040.1
