Orthogroup	Species	CBS138_protein	Orthologs
OG0000011	BG2_protein	XP_448476.1	QNG15643.1
OG0000011	BG2_protein	XP_445015.1	QNG12349.1
OG0000011	sacCer_protein	XP_447164.1	NP_009625.1
OG0000011	BG2_protein	XP_447164.1	QNG14508.1
OG0000013	BG2_protein	XP_446980.1	QNG16199.1, QNG14316.1, QNG14317.1, QNG14319.1, QNG14321.1, QNG14318.1, QNG14320.1
OG0000013	BG2_protein	XP_002999586.1, XP_446981.1	QNG16198.1
OG0000014	BG2_protein	XP_445098.1	QNG12434.1
OG0000014	BG2_protein	XP_445099.1	QNG12435.1
OG0000014	BG2_protein	XP_445101.1	QNG12437.1
OG0000014	BG2_protein	XP_445097.1	QNG12433.1
OG0000014	BG2_protein	XP_445100.1	QNG12436.1
OG0000015	sacCer_protein	XP_449074.1	NP_010203.1
OG0000015	BG2_protein	XP_449074.1	QNG16316.1
OG0000015	sacCer_protein	XP_446491.1, XP_449691.1	NP_011601.3, NP_013235.1, NP_013145.1
OG0000015	BG2_protein	XP_446491.1	QNG13829.1
OG0000015	BG2_protein	XP_449691.1	QNG17053.1
OG0000016	sacCer_protein	XP_448141.1	NP_014333.1, NP_012143.2
OG0000016	BG2_protein	XP_448141.1	QNG15303.1
OG0000016	sacCer_protein	XP_448915.1	NP_012968.4
OG0000016	BG2_protein	XP_448915.1	QNG16474.1
OG0000016	sacCer_protein	XP_446739.1	NP_012419.1
OG0000016	BG2_protein	XP_446739.1	QNG14072.1
OG0000017	sacCer_protein	XP_447893.1	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1
OG0000017	BG2_protein	XP_447893.1	QNG15054.1
OG0000018	sacCer_protein	XP_449187.1, XP_448689.1, XP_447339.1, XP_447364.1	NP_015154.1, NP_012049.1
OG0000018	BG2_protein	XP_449187.1	QNG16542.1
OG0000018	BG2_protein	XP_448689.1	QNG15861.1
OG0000018	BG2_protein	XP_447339.1	QNG16033.1
OG0000018	BG2_protein	XP_447364.1	QNG16058.1
OG0000021	sacCer_protein	XP_445184.1	NP_013275.1
OG0000021	BG2_protein	XP_445184.1	QNG12521.1
OG0000021	sacCer_protein	XP_445447.1	NP_010217.1
OG0000021	BG2_protein	XP_445447.1	QNG12792.1
OG0000021	sacCer_protein	XP_446953.1	NP_014389.3
OG0000021	BG2_protein	XP_446953.1	QNG14288.1
OG0000022	sacCer_protein	XP_445191.1, XP_448803.1, XP_447832.1	NP_010981.3, NP_010982.1, NP_010976.1
OG0000022	BG2_protein	XP_445191.1	QNG12529.1
OG0000022	BG2_protein	XP_448803.1	QNG14616.1
OG0000022	BG2_protein	XP_447832.1	QNG14994.1
OG0000023	sacCer_protein	XP_448224.1	NP_013719.1
OG0000023	BG2_protein	XP_448224.1	QNG15385.1
OG0000023	sacCer_protein	XP_445790.1	NP_014632.1
OG0000023	BG2_protein	XP_445790.1	QNG13141.1
OG0000023	sacCer_protein	XP_448225.1	NP_013721.1
OG0000023	BG2_protein	XP_448225.1	QNG15386.1
OG0000024	sacCer_protein	XP_448401.1, XP_446406.1	NP_013446.1, NP_011546.3
OG0000024	BG2_protein	XP_448401.1	QNG15568.1
OG0000024	BG2_protein	XP_446406.1	QNG13744.1
OG0000024	sacCer_protein	XP_449945.1	NP_014036.1
OG0000024	BG2_protein	XP_449945.1	QNG17312.1
OG0000025	sacCer_protein	XP_446574.1	NP_013473.1
OG0000025	BG2_protein	XP_446574.1	QNG13910.1
OG0000025	sacCer_protein	XP_447392.1, XP_447319.1	NP_010884.1, NP_012579.1
OG0000025	BG2_protein	XP_447392.1	QNG16084.1
OG0000025	BG2_protein	XP_447319.1	QNG16013.1
OG0000027	sacCer_protein	XP_446765.1	NP_011713.1
OG0000027	BG2_protein	XP_446765.1	QNG14100.1
OG0000027	sacCer_protein	XP_445142.1, XP_445143.1	NP_012549.3
OG0000027	BG2_protein	XP_445142.1	QNG12479.1
OG0000027	BG2_protein	XP_445143.1	QNG12480.1
OG0000028	sacCer_protein	XP_445860.1	NP_013029.3, NP_011828.1
OG0000028	BG2_protein	XP_445860.1	QNG13208.1
OG0000028	sacCer_protein	XP_445319.1	NP_013052.1, NP_013030.1
OG0000028	BG2_protein	XP_445319.1	QNG12656.1
OG0000029	sacCer_protein	XP_445354.1, XP_449637.1, XP_447226.1	NP_014367.1
OG0000029	BG2_protein	XP_445354.1, XP_449637.1, XP_447226.1	QNG16999.1
OG0000030	sacCer_protein	XP_445355.1, XP_447225.1, XP_449638.1	NP_014368.1, NP_009563.1
OG0000030	BG2_protein	XP_445355.1	QNG17000.1, QNG14570.1
OG0000030	BG2_protein	XP_447225.1, XP_449638.1	QNG12688.1
OG0000031	sacCer_protein	XP_446377.1, XP_449946.1	NP_014038.1
OG0000031	BG2_protein	XP_446377.1	QNG13714.1
OG0000031	BG2_protein	XP_449946.1	QNG17313.1
OG0000031	sacCer_protein	XP_446407.1	NP_013447.1
OG0000031	BG2_protein	XP_446407.1	QNG13745.1
OG0000032	sacCer_protein	XP_449164.1	NP_015321.1
OG0000032	BG2_protein	XP_449164.1	QNG16519.1
OG0000032	sacCer_protein	XP_446436.1, XP_446490.1	NP_011600.3
OG0000032	BG2_protein	XP_446436.1	QNG13774.1
OG0000032	BG2_protein	XP_446490.1	QNG13828.1
OG0000033	sacCer_protein	XP_444824.1, XP_445420.1	NP_015518.1, NP_013048.1, NP_013047.1
OG0000033	BG2_protein	XP_444824.1	QNG12157.1
OG0000033	BG2_protein	XP_445420.1	QNG14608.1
OG0000034	sacCer_protein	XP_445072.1	NP_013591.1
OG0000034	BG2_protein	XP_445072.1	QNG12407.1
OG0000034	sacCer_protein	XP_449477.1	NP_015023.1, NP_014006.1
OG0000034	BG2_protein	XP_449477.1	QNG16835.1
OG0000035	sacCer_protein	XP_446088.1	NP_010694.1
OG0000035	BG2_protein	XP_446088.1	QNG13430.1
OG0000035	sacCer_protein	XP_449421.1	NP_014973.1, NP_014796.3
OG0000035	BG2_protein	XP_449421.1	QNG16780.1
OG0000036	sacCer_protein	XP_446753.1	NP_015121.1
OG0000036	BG2_protein	XP_446753.1	QNG14086.1
OG0000036	sacCer_protein	XP_449711.1	NP_012371.2, NP_012755.1
OG0000036	BG2_protein	XP_449711.1	QNG17073.1
OG0000037	sacCer_protein	XP_447731.1	NP_012483.3
OG0000037	BG2_protein	XP_447731.1	QNG14893.1
OG0000037	sacCer_protein	XP_446770.1	NP_012542.1, NP_011708.3
OG0000037	BG2_protein	XP_446770.1	QNG14105.1
OG0000038	sacCer_protein	XP_447215.1, XP_447216.1	NP_010927.1, NP_014653.1, NP_014652.1
OG0000038	BG2_protein	XP_447215.1	QNG14561.1
OG0000038	BG2_protein	XP_447216.1	QNG14560.1
OG0000039	sacCer_protein	XP_449714.1, XP_447519.1, XP_447520.1	NP_012757.1
OG0000039	BG2_protein	XP_449714.1	QNG17076.1
OG0000039	BG2_protein	XP_447519.1	QNG14678.1
OG0000039	BG2_protein	XP_447520.1	QNG14679.1
OG0000040	sacCer_protein	XP_447774.1, XP_447590.1	NP_014032.1, NP_014555.1, NP_009703.3
OG0000040	BG2_protein	XP_447774.1	QNG14937.1
OG0000040	BG2_protein	XP_447590.1	QNG14750.1
OG0000041	sacCer_protein	XP_448539.1	NP_012257.1, NP_013974.1
OG0000041	BG2_protein	XP_448539.1	QNG15709.1
OG0000041	sacCer_protein	XP_447677.1	NP_014962.3
OG0000041	BG2_protein	XP_447677.1	QNG14838.1
OG0000042	sacCer_protein	XP_447870.1	NP_014873.3
OG0000042	BG2_protein	XP_447870.1	QNG15031.1
OG0000042	sacCer_protein	XP_447877.1	NP_015186.1, NP_014872.1
OG0000042	BG2_protein	XP_447877.1	QNG15038.1
OG0000043	sacCer_protein	XP_448640.1, XP_448339.1	NP_013565.3, NP_010026.1, NP_014265.3
OG0000043	BG2_protein	XP_448640.1	QNG15810.1
OG0000043	BG2_protein	XP_448339.1	QNG15505.1
OG0000044	sacCer_protein	XP_448550.1, XP_448549.1, XP_448548.1	NP_012794.1
OG0000044	BG2_protein	XP_448550.1	QNG15720.1
OG0000044	BG2_protein	XP_448549.1	QNG15719.1
OG0000044	BG2_protein	XP_448548.1	QNG15718.1
OG0000045	sacCer_protein	XP_449340.1	NP_013173.1
OG0000045	BG2_protein	XP_449340.1	QNG16695.1
OG0000045	sacCer_protein	XP_448771.1	NP_116611.1, NP_013290.1
OG0000045	BG2_protein	XP_448771.1	QNG15942.1
OG0000046	sacCer_protein	XP_447461.1	NP_010294.1
OG0000046	BG2_protein	XP_447461.1	QNG16154.1
OG0000046	sacCer_protein	XP_449665.1	NP_014468.3, NP_015267.1
OG0000046	BG2_protein	XP_449665.1	QNG17028.1
OG0000047	sacCer_protein	XP_449054.1, XP_449851.1	NP_014442.1, NP_010013.2, NP_013211.1
OG0000047	BG2_protein	XP_449054.1	QNG16335.1
OG0000047	BG2_protein	XP_449851.1	QNG17219.1
OG0000048	sacCer_protein	XP_449323.1	NP_015277.1
OG0000048	BG2_protein	XP_449323.1	QNG16678.1
OG0000048	sacCer_protein	XP_448998.1	NP_012842.1, NP_011717.4
OG0000048	BG2_protein	XP_448998.1	QNG16390.1
OG0000049	sacCer_protein	NP_818777.1	NP_009315.1, NP_009327.1, NP_009324.1, NP_009316.1, NP_009317.1, NP_009318.1
OG0000051	sacCer_protein	XP_444842.1	NP_011959.1
OG0000051	BG2_protein	XP_444842.1	QNG12176.1
OG0000051	sacCer_protein	XP_444859.1	NP_010628.3
OG0000051	BG2_protein	XP_444859.1	QNG12193.1
OG0000052	sacCer_protein	XP_447305.1	NP_010640.1
OG0000052	BG2_protein	XP_447305.1	QNG15999.1
OG0000052	sacCer_protein	XP_444874.1	NP_011974.1
OG0000052	BG2_protein	XP_444874.1	QNG12207.1
OG0000053	sacCer_protein	XP_444888.1	NP_009707.3
OG0000053	BG2_protein	XP_444888.1	QNG12221.1
OG0000053	sacCer_protein	XP_447302.1	NP_014763.1
OG0000053	BG2_protein	XP_447302.1	QNG15996.1
OG0000054	sacCer_protein	XP_447489.1, XP_444962.1	NP_009486.3, NP_011024.1
OG0000054	BG2_protein	XP_447489.1	QNG14647.1
OG0000054	BG2_protein	XP_444962.1	QNG12296.1
OG0000055	sacCer_protein	XP_447127.1, XP_444978.1	NP_011261.1, NP_116711.3
OG0000055	BG2_protein	XP_447127.1	QNG14472.1
OG0000055	BG2_protein	XP_444978.1	QNG12310.1
OG0000056	sacCer_protein	XP_445025.1, XP_444981.1	NP_009868.3, NP_009866.1, NP_010020.1
OG0000056	BG2_protein	XP_445025.1, XP_444981.1	QNG12315.1
OG0000057	sacCer_protein	XP_445016.1	NP_013278.1
OG0000057	BG2_protein	XP_445016.1	QNG12350.1
OG0000057	sacCer_protein	XP_448077.1	NP_010793.2
OG0000057	BG2_protein	XP_448077.1	QNG15240.1
OG0000058	sacCer_protein	XP_445018.1	NP_013281.1
OG0000058	BG2_protein	XP_445018.1	QNG12352.1
OG0000058	sacCer_protein	XP_448075.1	NP_010790.3
OG0000058	BG2_protein	XP_448075.1	QNG15238.1
OG0000059	sacCer_protein	XP_445053.1	NP_010407.1
OG0000059	BG2_protein	XP_445053.1	QNG12388.1
OG0000059	sacCer_protein	XP_449836.1	NP_013197.1
OG0000059	BG2_protein	XP_449836.1	QNG17203.1
OG0000060	sacCer_protein	XP_448802.1	NP_009347.1
OG0000060	BG2_protein	XP_448802.1	QNG14615.1
OG0000060	sacCer_protein	XP_445089.1	NP_013254.1
OG0000060	BG2_protein	XP_445089.1	QNG12424.1
OG0000061	sacCer_protein	XP_445094.1	NP_013461.1
OG0000061	BG2_protein	XP_445094.1	QNG12430.1
OG0000061	sacCer_protein	XP_448416.1	NP_011570.1
OG0000061	BG2_protein	XP_448416.1	QNG15583.1
OG0000062	sacCer_protein	XP_448480.1	NP_013880.1
OG0000062	BG2_protein	XP_448480.1	QNG15648.1
OG0000062	sacCer_protein	XP_445120.1	NP_013357.1
OG0000062	BG2_protein	XP_445120.1	QNG12454.1
OG0000063	sacCer_protein	XP_445150.1, XP_446495.1	NP_011606.3, NP_015436.1
OG0000063	BG2_protein	XP_445150.1	QNG12487.1
OG0000063	BG2_protein	XP_446495.1	QNG13833.1
OG0000064	sacCer_protein	XP_445160.1	NP_009580.1
OG0000064	BG2_protein	XP_445160.1	QNG12497.1
OG0000064	sacCer_protein	XP_447458.1	NP_009593.1
OG0000064	BG2_protein	XP_447458.1	QNG16151.1
OG0000065	sacCer_protein	XP_445193.1	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3
OG0000065	BG2_protein	XP_445193.1	QNG12531.1
OG0000066	sacCer_protein	XP_446310.1	NP_010499.1
OG0000066	BG2_protein	XP_446310.1	QNG13648.1
OG0000066	sacCer_protein	XP_445226.1	NP_013329.1
OG0000066	BG2_protein	XP_445226.1	QNG12561.1
OG0000067	sacCer_protein	XP_445248.1	NP_009804.1
OG0000067	BG2_protein	XP_445248.1	QNG12585.1
OG0000067	sacCer_protein	XP_447665.1	NP_014948.1
OG0000067	BG2_protein	XP_447665.1	QNG14826.1
OG0000068	sacCer_protein	XP_446516.1	NP_011039.1
OG0000068	BG2_protein	XP_446516.1	QNG13854.1
OG0000068	sacCer_protein	XP_445257.1	NP_009468.1
OG0000068	BG2_protein	XP_445257.1	QNG12593.1
OG0000069	sacCer_protein	XP_445306.1	NP_014913.3
OG0000069	BG2_protein	XP_445306.1	QNG12643.1
OG0000069	sacCer_protein	XP_446243.1	NP_013770.1
OG0000069	BG2_protein	XP_446243.1	QNG13581.1
OG0000070	sacCer_protein	XP_445328.1	NP_014446.3
OG0000070	BG2_protein	XP_445328.1	QNG12665.1
OG0000070	sacCer_protein	XP_445706.1	NP_010018.1
OG0000070	BG2_protein	XP_445706.1	QNG13057.1
OG0000071	sacCer_protein	XP_445364.1, XP_449801.1	NP_009555.1, NP_010284.1
OG0000071	BG2_protein	XP_445364.1	QNG12696.1
OG0000071	BG2_protein	XP_449801.1	QNG17164.1
OG0000072	sacCer_protein	XP_448713.1, XP_445367.1	NP_010511.3, NP_009552.1
OG0000072	BG2_protein	XP_448713.1	QNG15886.1
OG0000072	BG2_protein	XP_445367.1	QNG12699.1
OG0000073	sacCer_protein	XP_449022.1	NP_012405.2
OG0000073	BG2_protein	XP_449022.1	QNG16367.1
OG0000073	sacCer_protein	XP_445387.1	NP_012643.3
OG0000073	BG2_protein	XP_445387.1	QNG12719.1
OG0000074	sacCer_protein	XP_445393.1	NP_009421.3
OG0000074	BG2_protein	XP_445393.1	QNG12726.1
OG0000074	sacCer_protein	XP_448301.1	NP_010265.1
OG0000074	BG2_protein	XP_448301.1	QNG15466.1
OG0000075	sacCer_protein	XP_445397.1	NP_014582.1
OG0000075	BG2_protein	XP_445397.1	QNG12730.1
OG0000075	sacCer_protein	XP_448298.1	NP_010262.1
OG0000075	BG2_protein	XP_448298.1	QNG15463.1
OG0000076	sacCer_protein	XP_446194.1	NP_013517.1
OG0000076	BG2_protein	XP_446194.1	QNG13531.1
OG0000076	sacCer_protein	XP_445431.1	NP_012734.1
OG0000076	BG2_protein	XP_445431.1	QNG12776.1
OG0000077	sacCer_protein	XP_445466.1, XP_448561.1	NP_015405.1, NP_009676.1
OG0000077	BG2_protein	XP_445466.1, XP_448561.1	QNG12811.1, QNG15731.1
OG0000078	sacCer_protein	XP_445493.1	NP_011318.2
OG0000078	BG2_protein	XP_445493.1	QNG12839.1
OG0000078	sacCer_protein	XP_448316.1	NP_011058.3
OG0000078	BG2_protein	XP_448316.1	QNG15481.1
OG0000079	sacCer_protein	XP_445558.1	NP_013120.1
OG0000079	BG2_protein	XP_445558.1	QNG12907.1
OG0000079	sacCer_protein	XP_445651.1	NP_013089.1
OG0000079	BG2_protein	XP_445651.1	QNG13002.1
OG0000080	sacCer_protein	XP_446861.1	NP_010586.3
OG0000080	BG2_protein	XP_446861.1	QNG14195.1
OG0000080	sacCer_protein	XP_445585.1	NP_011898.1
OG0000080	BG2_protein	XP_445585.1	QNG12934.1
OG0000081	sacCer_protein	XP_445594.1, XP_449905.1	NP_011910.1, NP_011909.1
OG0000081	BG2_protein	XP_445594.1	QNG12943.1
OG0000081	BG2_protein	XP_449905.1	QNG17271.1
OG0000082	sacCer_protein	XP_448166.1	NP_012832.1
OG0000082	BG2_protein	XP_448166.1	QNG15327.1
OG0000082	sacCer_protein	XP_445602.2	NP_013796.1
OG0000082	BG2_protein	XP_445602.2	QNG12951.1
OG0000083	sacCer_protein	XP_445625.1, XP_447707.1	NP_015464.1, NP_011636.3
OG0000083	BG2_protein	XP_445625.1	QNG12976.1
OG0000083	BG2_protein	XP_447707.1	QNG14867.1
OG0000084	sacCer_protein	XP_445680.1	NP_011466.1
OG0000084	BG2_protein	XP_445680.1	QNG13032.1
OG0000084	sacCer_protein	XP_445832.1	NP_011678.3
OG0000084	BG2_protein	XP_445832.1	QNG13181.1
OG0000085	sacCer_protein	XP_445684.1	NP_013407.1
OG0000085	BG2_protein	XP_445684.1	QNG13036.1
OG0000085	sacCer_protein	XP_446075.1	NP_012335.1
OG0000085	BG2_protein	XP_446075.1	QNG13417.1
OG0000086	sacCer_protein	XP_445696.1	NP_015019.1
OG0000086	BG2_protein	XP_445696.1	QNG13047.1
OG0000086	sacCer_protein	XP_447844.1	NP_010996.2
OG0000086	BG2_protein	XP_447844.1	QNG15005.1
OG0000087	sacCer_protein	XP_449509.1	NP_014100.2
OG0000087	BG2_protein	XP_449509.1	QNG16869.1
OG0000087	sacCer_protein	XP_445781.1	NP_014526.1
OG0000087	BG2_protein	XP_445781.1	QNG13131.1
OG0000088	sacCer_protein	XP_445834.1	NP_013086.1
OG0000088	BG2_protein	XP_445834.1	QNG13183.1
OG0000088	sacCer_protein	XP_449053.1	NP_010419.3
OG0000088	BG2_protein	XP_449053.1	QNG16336.1
OG0000089	sacCer_protein	XP_445889.1, XP_449424.1	NP_009634.2, NP_010340.1
OG0000089	BG2_protein	XP_445889.1	QNG13237.1
OG0000089	BG2_protein	XP_449424.1	QNG16783.1
OG0000090	sacCer_protein	XP_445905.1, XP_446742.1	NP_014332.1, NP_011368.3
OG0000090	BG2_protein	XP_445905.1	QNG13253.1
OG0000090	BG2_protein	XP_446742.1	QNG14075.1
OG0000091	sacCer_protein	XP_445947.1, XP_447185.1	NP_015103.1, NP_011376.3
OG0000091	BG2_protein	XP_445947.1	QNG13292.1
OG0000091	BG2_protein	XP_447185.1	QNG14530.1
OG0000092	sacCer_protein	XP_447182.1	NP_013902.1
OG0000092	BG2_protein	XP_447182.1	QNG14527.1
OG0000092	sacCer_protein	XP_445950.1	NP_015100.2
OG0000092	BG2_protein	XP_445950.1	QNG13295.1
OG0000093	sacCer_protein	XP_445960.2	NP_012765.3
OG0000093	BG2_protein	XP_445960.2	QNG13305.1
OG0000093	sacCer_protein	XP_447726.1	NP_011913.1
OG0000093	BG2_protein	XP_447726.1	QNG14888.1
OG0000094	sacCer_protein	XP_448247.1	NP_012719.2
OG0000094	BG2_protein	XP_448247.1	QNG15412.1
OG0000094	sacCer_protein	XP_445995.1	NP_012600.1
OG0000094	BG2_protein	XP_445995.1	QNG13340.1
OG0000095	sacCer_protein	XP_446637.1	NP_009373.1
OG0000095	BG2_protein	XP_446637.1	QNG13973.1
OG0000095	sacCer_protein	XP_446003.1	NP_014971.1
OG0000095	BG2_protein	XP_446003.1	QNG13348.1
OG0000096	sacCer_protein	XP_446007.1	NP_014966.1
OG0000096	BG2_protein	XP_446007.1	QNG13352.1
OG0000096	sacCer_protein	XP_448088.1	NP_009379.2
OG0000096	BG2_protein	XP_448088.1	QNG15250.1
OG0000097	sacCer_protein	XP_447067.1	NP_009385.2
OG0000097	BG2_protein	XP_447067.1	QNG14409.1
OG0000097	sacCer_protein	XP_446013.1	NP_014597.1
OG0000097	BG2_protein	XP_446013.1	QNG13357.1
OG0000098	sacCer_protein	XP_447069.1	NP_009387.1
OG0000098	BG2_protein	XP_447069.1	QNG14411.1
OG0000098	sacCer_protein	XP_446016.1	NP_014599.1
OG0000098	BG2_protein	XP_446016.1	QNG13360.1
OG0000099	sacCer_protein	XP_449405.1	NP_010613.1
OG0000099	BG2_protein	XP_449405.1	QNG16764.1
OG0000099	sacCer_protein	XP_446112.1	NP_011948.1
OG0000099	BG2_protein	XP_446112.1	QNG13455.1
OG0000100	sacCer_protein	XP_446118.1	NP_014000.1
OG0000100	BG2_protein	XP_446118.1	QNG13460.1
OG0000100	sacCer_protein	XP_447996.1	NP_013598.1
OG0000100	BG2_protein	XP_447996.1	QNG15159.1
OG0000101	sacCer_protein	XP_447998.1	NP_014467.3
OG0000101	BG2_protein	XP_447998.1	QNG15161.1
OG0000101	sacCer_protein	XP_446120.1	NP_014002.1
OG0000101	BG2_protein	XP_446120.1	QNG13462.1
OG0000102	sacCer_protein	XP_446125.1	NP_015149.1
OG0000102	BG2_protein	XP_446125.1	QNG13466.1
OG0000102	sacCer_protein	XP_448611.1	NP_014899.1
OG0000102	BG2_protein	XP_448611.1	QNG15781.1
OG0000103	sacCer_protein	XP_448679.1	NP_116670.1
OG0000103	BG2_protein	XP_448679.1	QNG15850.1
OG0000103	sacCer_protein	XP_446176.1	NP_013359.1
OG0000103	BG2_protein	XP_446176.1	QNG13513.1
OG0000104	sacCer_protein	XP_447683.1, XP_446183.1	NP_011659.3, NP_015485.1
OG0000104	BG2_protein	XP_447683.1	QNG14844.1
OG0000104	BG2_protein	XP_446183.1	QNG13520.1
OG0000105	sacCer_protein	XP_448992.1, XP_446242.1	NP_012851.1, NP_013769.1
OG0000105	BG2_protein	XP_448992.1	QNG16396.1
OG0000105	BG2_protein	XP_446242.1	QNG13580.1
OG0000106	sacCer_protein	XP_446270.1, XP_448518.1	NP_011453.1, NP_009777.1
OG0000106	BG2_protein	XP_446270.1	QNG13609.1
OG0000106	BG2_protein	XP_448518.1	QNG15687.1
OG0000107	sacCer_protein	XP_446316.1	NP_011754.3
OG0000107	BG2_protein	XP_446316.1	QNG13654.1
OG0000107	sacCer_protein	XP_447342.1	NP_012028.1
OG0000107	BG2_protein	XP_447342.1	QNG16036.1
OG0000108	sacCer_protein	XP_446319.1	NP_011757.3
OG0000108	BG2_protein	XP_446319.1	QNG13657.1
OG0000108	sacCer_protein	XP_447345.1	NP_012031.1
OG0000108	BG2_protein	XP_447345.1	QNG16039.1
OG0000109	sacCer_protein	XP_446328.1, XP_447360.1	NP_011770.3, NP_012044.1
OG0000109	BG2_protein	XP_446328.1	QNG13666.1
OG0000109	BG2_protein	XP_447360.1	QNG16054.1
OG0000110	sacCer_protein	XP_446378.1, XP_449944.1	NP_011795.1, NP_014035.1
OG0000110	BG2_protein	XP_446378.1	QNG13716.1
OG0000110	BG2_protein	XP_449944.1	QNG17311.1
OG0000111	sacCer_protein	XP_448470.1	NP_014724.1
OG0000111	BG2_protein	XP_448470.1	QNG15637.1
OG0000111	sacCer_protein	XP_446465.1	NP_013015.1
OG0000111	BG2_protein	XP_446465.1	QNG13803.1
OG0000112	sacCer_protein	XP_447083.1	NP_012115.1
OG0000112	BG2_protein	XP_447083.1	QNG14425.1
OG0000112	sacCer_protein	XP_446473.1	NP_013022.1
OG0000112	BG2_protein	XP_446473.1	QNG13811.1
OG0000113	sacCer_protein	XP_446504.1	NP_012943.1
OG0000113	BG2_protein	XP_446504.1	QNG13842.1
OG0000113	sacCer_protein	XP_449485.1	NP_012453.1
OG0000113	BG2_protein	XP_449485.1	QNG16843.1
OG0000114	sacCer_protein	XP_446653.1, XP_446566.1	NP_014751.1, NP_014295.1
OG0000114	BG2_protein	XP_446653.1	QNG13987.1
OG0000114	BG2_protein	XP_446566.1	QNG13902.1
OG0000115	sacCer_protein	XP_446629.1	NP_012003.1
OG0000115	BG2_protein	XP_446629.1	QNG13966.1
OG0000115	sacCer_protein	XP_447964.1	NP_014245.1
OG0000115	BG2_protein	XP_447964.1	QNG15125.1
OG0000116	sacCer_protein	XP_446643.1	NP_014304.1
OG0000116	BG2_protein	XP_446643.1	QNG13978.1
OG0000116	sacCer_protein	XP_448934.1	NP_014735.1
OG0000116	BG2_protein	XP_448934.1	QNG16456.1
OG0000117	sacCer_protein	XP_448495.1, XP_446677.1	NP_013684.1, NP_010741.1
OG0000117	BG2_protein	XP_448495.1	QNG15663.1
OG0000117	BG2_protein	XP_446677.1	QNG14009.1
OG0000118	sacCer_protein	XP_446714.1	NP_010378.1
OG0000118	BG2_protein	XP_446714.1	QNG14048.1
OG0000118	sacCer_protein	XP_449281.1	NP_011093.3
OG0000118	BG2_protein	XP_449281.1	QNG16638.1
OG0000119	BG2_protein	XP_446731.1	QNG14065.1
OG0000119	BG2_protein	XP_449349.1	QNG16705.1
OG0000119	BG2_protein	XP_449958.1	QNG17325.1
OG0000120	sacCer_protein	XP_446743.1	NP_012140.1
OG0000120	BG2_protein	XP_446743.1	QNG14076.1
OG0000120	sacCer_protein	XP_449556.1	NP_014933.3
OG0000120	BG2_protein	XP_449556.1	QNG16917.1
OG0000121	sacCer_protein	XP_447274.1, XP_446773.1	NP_013403.1, NP_014833.3
OG0000121	BG2_protein	XP_447274.1	QNG15968.1
OG0000121	BG2_protein	XP_446773.1	QNG14108.1
OG0000122	sacCer_protein	XP_446877.1	NP_012595.1
