Orthogroup	Species	BG2_protein	Orthologs
OG0000042	CBS138_protein	QNG15031.1	XP_447870.1
OG0000042	sacCer_protein	QNG15038.1	NP_015186.1, NP_014872.1
OG0000042	CBS138_protein	QNG15038.1	XP_447877.1
OG0000043	sacCer_protein	QNG15810.1, QNG15505.1	NP_013565.3, NP_010026.1, NP_014265.3
OG0000043	CBS138_protein	QNG15810.1	XP_448640.1
OG0000043	CBS138_protein	QNG15505.1	XP_448339.1
OG0000044	sacCer_protein	QNG15720.1, QNG15719.1, QNG15718.1	NP_012794.1
OG0000044	CBS138_protein	QNG15720.1	XP_448550.1
OG0000044	CBS138_protein	QNG15719.1	XP_448549.1
OG0000044	CBS138_protein	QNG15718.1	XP_448548.1
OG0000045	sacCer_protein	QNG16695.1	NP_013173.1
OG0000045	CBS138_protein	QNG16695.1	XP_449340.1
OG0000045	sacCer_protein	QNG15942.1	NP_116611.1, NP_013290.1
OG0000045	CBS138_protein	QNG15942.1	XP_448771.1
OG0000046	sacCer_protein	QNG16154.1	NP_010294.1
OG0000046	CBS138_protein	QNG16154.1	XP_447461.1
OG0000046	sacCer_protein	QNG17028.1	NP_014468.3, NP_015267.1
OG0000046	CBS138_protein	QNG17028.1	XP_449665.1
OG0000047	sacCer_protein	QNG16335.1, QNG17219.1	NP_014442.1, NP_010013.2, NP_013211.1
OG0000047	CBS138_protein	QNG16335.1	XP_449054.1
OG0000047	CBS138_protein	QNG17219.1	XP_449851.1
OG0000048	sacCer_protein	QNG16678.1	NP_015277.1
OG0000048	CBS138_protein	QNG16678.1	XP_449323.1
OG0000048	sacCer_protein	QNG16390.1	NP_012842.1, NP_011717.4
OG0000048	CBS138_protein	QNG16390.1	XP_448998.1
OG0000051	sacCer_protein	QNG12176.1	NP_011959.1
OG0000051	CBS138_protein	QNG12176.1	XP_444842.1
OG0000051	sacCer_protein	QNG12193.1	NP_010628.3
OG0000051	CBS138_protein	QNG12193.1	XP_444859.1
OG0000052	sacCer_protein	QNG15999.1	NP_010640.1
OG0000052	CBS138_protein	QNG15999.1	XP_447305.1
OG0000052	sacCer_protein	QNG12207.1	NP_011974.1
OG0000052	CBS138_protein	QNG12207.1	XP_444874.1
OG0000053	sacCer_protein	QNG12221.1	NP_009707.3
OG0000053	CBS138_protein	QNG12221.1	XP_444888.1
OG0000053	sacCer_protein	QNG15996.1	NP_014763.1
OG0000053	CBS138_protein	QNG15996.1	XP_447302.1
OG0000054	sacCer_protein	QNG14647.1, QNG12296.1	NP_009486.3, NP_011024.1
OG0000054	CBS138_protein	QNG14647.1	XP_447489.1
OG0000054	CBS138_protein	QNG12296.1	XP_444962.1
OG0000055	sacCer_protein	QNG14472.1, QNG12310.1	NP_011261.1, NP_116711.3
OG0000055	CBS138_protein	QNG14472.1	XP_447127.1
OG0000055	CBS138_protein	QNG12310.1	XP_444978.1
OG0000056	sacCer_protein	QNG12315.1	NP_009868.3, NP_009866.1, NP_010020.1
OG0000056	CBS138_protein	QNG12315.1	XP_445025.1, XP_444981.1
OG0000057	sacCer_protein	QNG12350.1	NP_013278.1
OG0000057	CBS138_protein	QNG12350.1	XP_445016.1
OG0000057	sacCer_protein	QNG15240.1	NP_010793.2
OG0000057	CBS138_protein	QNG15240.1	XP_448077.1
OG0000058	sacCer_protein	QNG12352.1	NP_013281.1
OG0000058	CBS138_protein	QNG12352.1	XP_445018.1
OG0000058	sacCer_protein	QNG15238.1	NP_010790.3
OG0000058	CBS138_protein	QNG15238.1	XP_448075.1
OG0000059	sacCer_protein	QNG12388.1	NP_010407.1
OG0000059	CBS138_protein	QNG12388.1	XP_445053.1
OG0000059	sacCer_protein	QNG17203.1	NP_013197.1
OG0000059	CBS138_protein	QNG17203.1	XP_449836.1
OG0000060	sacCer_protein	QNG14615.1	NP_009347.1
OG0000060	CBS138_protein	QNG14615.1	XP_448802.1
OG0000060	sacCer_protein	QNG12424.1	NP_013254.1
OG0000060	CBS138_protein	QNG12424.1	XP_445089.1
OG0000061	sacCer_protein	QNG12430.1	NP_013461.1
OG0000061	CBS138_protein	QNG12430.1	XP_445094.1
OG0000061	sacCer_protein	QNG15583.1	NP_011570.1
OG0000061	CBS138_protein	QNG15583.1	XP_448416.1
OG0000062	sacCer_protein	QNG15648.1	NP_013880.1
OG0000062	CBS138_protein	QNG15648.1	XP_448480.1
OG0000062	sacCer_protein	QNG12454.1	NP_013357.1
OG0000062	CBS138_protein	QNG12454.1	XP_445120.1
OG0000063	sacCer_protein	QNG12487.1, QNG13833.1	NP_011606.3, NP_015436.1
OG0000063	CBS138_protein	QNG12487.1	XP_445150.1
OG0000063	CBS138_protein	QNG13833.1	XP_446495.1
OG0000064	sacCer_protein	QNG12497.1	NP_009580.1
OG0000064	CBS138_protein	QNG12497.1	XP_445160.1
OG0000064	sacCer_protein	QNG16151.1	NP_009593.1
OG0000064	CBS138_protein	QNG16151.1	XP_447458.1
OG0000065	sacCer_protein	QNG12531.1	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3
OG0000065	CBS138_protein	QNG12531.1	XP_445193.1
OG0000066	sacCer_protein	QNG13648.1	NP_010499.1
OG0000066	CBS138_protein	QNG13648.1	XP_446310.1
OG0000066	sacCer_protein	QNG12561.1	NP_013329.1
OG0000066	CBS138_protein	QNG12561.1	XP_445226.1
OG0000067	sacCer_protein	QNG12585.1	NP_009804.1
OG0000067	CBS138_protein	QNG12585.1	XP_445248.1
OG0000067	sacCer_protein	QNG14826.1	NP_014948.1
OG0000067	CBS138_protein	QNG14826.1	XP_447665.1
OG0000068	sacCer_protein	QNG13854.1	NP_011039.1
OG0000068	CBS138_protein	QNG13854.1	XP_446516.1
OG0000068	sacCer_protein	QNG12593.1	NP_009468.1
OG0000068	CBS138_protein	QNG12593.1	XP_445257.1
OG0000069	sacCer_protein	QNG12643.1	NP_014913.3
OG0000069	CBS138_protein	QNG12643.1	XP_445306.1
OG0000069	sacCer_protein	QNG13581.1	NP_013770.1
OG0000069	CBS138_protein	QNG13581.1	XP_446243.1
OG0000070	sacCer_protein	QNG12665.1	NP_014446.3
OG0000070	CBS138_protein	QNG12665.1	XP_445328.1
OG0000070	sacCer_protein	QNG13057.1	NP_010018.1
OG0000070	CBS138_protein	QNG13057.1	XP_445706.1
OG0000071	sacCer_protein	QNG12696.1, QNG17164.1	NP_009555.1, NP_010284.1
OG0000071	CBS138_protein	QNG12696.1	XP_445364.1
OG0000071	CBS138_protein	QNG17164.1	XP_449801.1
OG0000072	sacCer_protein	QNG15886.1, QNG12699.1	NP_010511.3, NP_009552.1
OG0000072	CBS138_protein	QNG15886.1	XP_448713.1
OG0000072	CBS138_protein	QNG12699.1	XP_445367.1
OG0000073	sacCer_protein	QNG16367.1	NP_012405.2
OG0000073	CBS138_protein	QNG16367.1	XP_449022.1
OG0000073	sacCer_protein	QNG12719.1	NP_012643.3
OG0000073	CBS138_protein	QNG12719.1	XP_445387.1
OG0000074	sacCer_protein	QNG12726.1	NP_009421.3
OG0000074	CBS138_protein	QNG12726.1	XP_445393.1
OG0000074	sacCer_protein	QNG15466.1	NP_010265.1
OG0000074	CBS138_protein	QNG15466.1	XP_448301.1
OG0000075	sacCer_protein	QNG12730.1	NP_014582.1
OG0000075	CBS138_protein	QNG12730.1	XP_445397.1
OG0000075	sacCer_protein	QNG15463.1	NP_010262.1
OG0000075	CBS138_protein	QNG15463.1	XP_448298.1
OG0000076	sacCer_protein	QNG13531.1	NP_013517.1
OG0000076	CBS138_protein	QNG13531.1	XP_446194.1
OG0000076	sacCer_protein	QNG12776.1	NP_012734.1
OG0000076	CBS138_protein	QNG12776.1	XP_445431.1
OG0000077	sacCer_protein	QNG12811.1, QNG15731.1	NP_015405.1, NP_009676.1
OG0000077	CBS138_protein	QNG12811.1, QNG15731.1	XP_445466.1, XP_448561.1
OG0000078	sacCer_protein	QNG12839.1	NP_011318.2
OG0000078	CBS138_protein	QNG12839.1	XP_445493.1
OG0000078	sacCer_protein	QNG15481.1	NP_011058.3
OG0000078	CBS138_protein	QNG15481.1	XP_448316.1
OG0000079	sacCer_protein	QNG12907.1	NP_013120.1
OG0000079	CBS138_protein	QNG12907.1	XP_445558.1
OG0000079	sacCer_protein	QNG13002.1	NP_013089.1
OG0000079	CBS138_protein	QNG13002.1	XP_445651.1
OG0000080	sacCer_protein	QNG14195.1	NP_010586.3
OG0000080	CBS138_protein	QNG14195.1	XP_446861.1
OG0000080	sacCer_protein	QNG12934.1	NP_011898.1
OG0000080	CBS138_protein	QNG12934.1	XP_445585.1
OG0000081	sacCer_protein	QNG12943.1, QNG17271.1	NP_011910.1, NP_011909.1
OG0000081	CBS138_protein	QNG12943.1	XP_445594.1
OG0000081	CBS138_protein	QNG17271.1	XP_449905.1
OG0000082	sacCer_protein	QNG15327.1	NP_012832.1
OG0000082	CBS138_protein	QNG15327.1	XP_448166.1
OG0000082	sacCer_protein	QNG12951.1	NP_013796.1
OG0000082	CBS138_protein	QNG12951.1	XP_445602.2
OG0000083	sacCer_protein	QNG12976.1, QNG14867.1	NP_015464.1, NP_011636.3
OG0000083	CBS138_protein	QNG12976.1	XP_445625.1
OG0000083	CBS138_protein	QNG14867.1	XP_447707.1
OG0000084	sacCer_protein	QNG13032.1	NP_011466.1
OG0000084	CBS138_protein	QNG13032.1	XP_445680.1
OG0000084	sacCer_protein	QNG13181.1	NP_011678.3
OG0000084	CBS138_protein	QNG13181.1	XP_445832.1
OG0000085	sacCer_protein	QNG13036.1	NP_013407.1
OG0000085	CBS138_protein	QNG13036.1	XP_445684.1
OG0000085	sacCer_protein	QNG13417.1	NP_012335.1
OG0000085	CBS138_protein	QNG13417.1	XP_446075.1
OG0000086	sacCer_protein	QNG13047.1	NP_015019.1
OG0000086	CBS138_protein	QNG13047.1	XP_445696.1
OG0000086	sacCer_protein	QNG15005.1	NP_010996.2
OG0000086	CBS138_protein	QNG15005.1	XP_447844.1
OG0000087	sacCer_protein	QNG16869.1	NP_014100.2
OG0000087	CBS138_protein	QNG16869.1	XP_449509.1
OG0000087	sacCer_protein	QNG13131.1	NP_014526.1
OG0000087	CBS138_protein	QNG13131.1	XP_445781.1
OG0000088	sacCer_protein	QNG13183.1	NP_013086.1
OG0000088	CBS138_protein	QNG13183.1	XP_445834.1
OG0000088	sacCer_protein	QNG16336.1	NP_010419.3
OG0000088	CBS138_protein	QNG16336.1	XP_449053.1
OG0000089	sacCer_protein	QNG13237.1, QNG16783.1	NP_009634.2, NP_010340.1
OG0000089	CBS138_protein	QNG13237.1	XP_445889.1
OG0000089	CBS138_protein	QNG16783.1	XP_449424.1
OG0000090	sacCer_protein	QNG13253.1, QNG14075.1	NP_014332.1, NP_011368.3
OG0000090	CBS138_protein	QNG13253.1	XP_445905.1
OG0000090	CBS138_protein	QNG14075.1	XP_446742.1
OG0000091	sacCer_protein	QNG13292.1, QNG14530.1	NP_015103.1, NP_011376.3
OG0000091	CBS138_protein	QNG13292.1	XP_445947.1
OG0000091	CBS138_protein	QNG14530.1	XP_447185.1
OG0000092	sacCer_protein	QNG14527.1	NP_013902.1
OG0000092	CBS138_protein	QNG14527.1	XP_447182.1
OG0000092	sacCer_protein	QNG13295.1	NP_015100.2
OG0000092	CBS138_protein	QNG13295.1	XP_445950.1
OG0000093	sacCer_protein	QNG13305.1	NP_012765.3
OG0000093	CBS138_protein	QNG13305.1	XP_445960.2
OG0000093	sacCer_protein	QNG14888.1	NP_011913.1
OG0000093	CBS138_protein	QNG14888.1	XP_447726.1
OG0000094	sacCer_protein	QNG15412.1	NP_012719.2
OG0000094	CBS138_protein	QNG15412.1	XP_448247.1
OG0000094	sacCer_protein	QNG13340.1	NP_012600.1
OG0000094	CBS138_protein	QNG13340.1	XP_445995.1
OG0000095	sacCer_protein	QNG13973.1	NP_009373.1
OG0000095	CBS138_protein	QNG13973.1	XP_446637.1
OG0000095	sacCer_protein	QNG13348.1	NP_014971.1
OG0000095	CBS138_protein	QNG13348.1	XP_446003.1
OG0000096	sacCer_protein	QNG13352.1	NP_014966.1
OG0000096	CBS138_protein	QNG13352.1	XP_446007.1
OG0000096	sacCer_protein	QNG15250.1	NP_009379.2
OG0000096	CBS138_protein	QNG15250.1	XP_448088.1
OG0000097	sacCer_protein	QNG14409.1	NP_009385.2
OG0000097	CBS138_protein	QNG14409.1	XP_447067.1
OG0000097	sacCer_protein	QNG13357.1	NP_014597.1
OG0000097	CBS138_protein	QNG13357.1	XP_446013.1
OG0000098	sacCer_protein	QNG14411.1	NP_009387.1
OG0000098	CBS138_protein	QNG14411.1	XP_447069.1
OG0000098	sacCer_protein	QNG13360.1	NP_014599.1
OG0000098	CBS138_protein	QNG13360.1	XP_446016.1
OG0000099	sacCer_protein	QNG16764.1	NP_010613.1
OG0000099	CBS138_protein	QNG16764.1	XP_449405.1
OG0000099	sacCer_protein	QNG13455.1	NP_011948.1
OG0000099	CBS138_protein	QNG13455.1	XP_446112.1
OG0000100	sacCer_protein	QNG13460.1	NP_014000.1
OG0000100	CBS138_protein	QNG13460.1	XP_446118.1
OG0000100	sacCer_protein	QNG15159.1	NP_013598.1
OG0000100	CBS138_protein	QNG15159.1	XP_447996.1
OG0000101	sacCer_protein	QNG15161.1	NP_014467.3
OG0000101	CBS138_protein	QNG15161.1	XP_447998.1
OG0000101	sacCer_protein	QNG13462.1	NP_014002.1
OG0000101	CBS138_protein	QNG13462.1	XP_446120.1
OG0000102	sacCer_protein	QNG13466.1	NP_015149.1
OG0000102	CBS138_protein	QNG13466.1	XP_446125.1
OG0000102	sacCer_protein	QNG15781.1	NP_014899.1
OG0000102	CBS138_protein	QNG15781.1	XP_448611.1
OG0000103	sacCer_protein	QNG15850.1	NP_116670.1
OG0000103	CBS138_protein	QNG15850.1	XP_448679.1
OG0000103	sacCer_protein	QNG13513.1	NP_013359.1
OG0000103	CBS138_protein	QNG13513.1	XP_446176.1
OG0000104	sacCer_protein	QNG14844.1, QNG13520.1	NP_011659.3, NP_015485.1
OG0000104	CBS138_protein	QNG14844.1	XP_447683.1
OG0000104	CBS138_protein	QNG13520.1	XP_446183.1
OG0000105	sacCer_protein	QNG16396.1, QNG13580.1	NP_012851.1, NP_013769.1
OG0000105	CBS138_protein	QNG16396.1	XP_448992.1
OG0000105	CBS138_protein	QNG13580.1	XP_446242.1
OG0000106	sacCer_protein	QNG13609.1, QNG15687.1	NP_011453.1, NP_009777.1
OG0000106	CBS138_protein	QNG13609.1	XP_446270.1
OG0000106	CBS138_protein	QNG15687.1	XP_448518.1
OG0000107	sacCer_protein	QNG13654.1	NP_011754.3
OG0000107	CBS138_protein	QNG13654.1	XP_446316.1
OG0000107	sacCer_protein	QNG16036.1	NP_012028.1
OG0000107	CBS138_protein	QNG16036.1	XP_447342.1
OG0000108	sacCer_protein	QNG13657.1	NP_011757.3
OG0000108	CBS138_protein	QNG13657.1	XP_446319.1
OG0000108	sacCer_protein	QNG16039.1	NP_012031.1
OG0000108	CBS138_protein	QNG16039.1	XP_447345.1
OG0000109	sacCer_protein	QNG13666.1, QNG16054.1	NP_011770.3, NP_012044.1
OG0000109	CBS138_protein	QNG13666.1	XP_446328.1
OG0000109	CBS138_protein	QNG16054.1	XP_447360.1
OG0000110	sacCer_protein	QNG13716.1, QNG17311.1	NP_011795.1, NP_014035.1
OG0000110	CBS138_protein	QNG13716.1	XP_446378.1
OG0000110	CBS138_protein	QNG17311.1	XP_449944.1
OG0000111	sacCer_protein	QNG15637.1	NP_014724.1
OG0000111	CBS138_protein	QNG15637.1	XP_448470.1
OG0000111	sacCer_protein	QNG13803.1	NP_013015.1
OG0000111	CBS138_protein	QNG13803.1	XP_446465.1
OG0000112	sacCer_protein	QNG14425.1	NP_012115.1
OG0000112	CBS138_protein	QNG14425.1	XP_447083.1
OG0000112	sacCer_protein	QNG13811.1	NP_013022.1
OG0000112	CBS138_protein	QNG13811.1	XP_446473.1
OG0000113	sacCer_protein	QNG13842.1	NP_012943.1
OG0000113	CBS138_protein	QNG13842.1	XP_446504.1
OG0000113	sacCer_protein	QNG16843.1	NP_012453.1
OG0000113	CBS138_protein	QNG16843.1	XP_449485.1
OG0000114	sacCer_protein	QNG13987.1, QNG13902.1	NP_014751.1, NP_014295.1
OG0000114	CBS138_protein	QNG13987.1	XP_446653.1
OG0000114	CBS138_protein	QNG13902.1	XP_446566.1
OG0000115	sacCer_protein	QNG13966.1	NP_012003.1
OG0000115	CBS138_protein	QNG13966.1	XP_446629.1
OG0000115	sacCer_protein	QNG15125.1	NP_014245.1
OG0000115	CBS138_protein	QNG15125.1	XP_447964.1
OG0000116	sacCer_protein	QNG13978.1	NP_014304.1
OG0000116	CBS138_protein	QNG13978.1	XP_446643.1
OG0000116	sacCer_protein	QNG16456.1	NP_014735.1
OG0000116	CBS138_protein	QNG16456.1	XP_448934.1
OG0000117	sacCer_protein	QNG15663.1, QNG14009.1	NP_013684.1, NP_010741.1
OG0000117	CBS138_protein	QNG15663.1	XP_448495.1
OG0000117	CBS138_protein	QNG14009.1	XP_446677.1
OG0000118	sacCer_protein	QNG14048.1	NP_010378.1
OG0000118	CBS138_protein	QNG14048.1	XP_446714.1
OG0000118	sacCer_protein	QNG16638.1	NP_011093.3
OG0000118	CBS138_protein	QNG16638.1	XP_449281.1
OG0000119	CBS138_protein	QNG14065.1	XP_446731.1
OG0000119	CBS138_protein	QNG16705.1	XP_449349.1
