Orthogroup	Species	sacCer_protein	Orthologs
OG0000025	BG2_protein	NP_010884.1, NP_012579.1	QNG16084.1, QNG16013.1
OG0000025	CBS138_protein	NP_010884.1, NP_012579.1	XP_447392.1, XP_447319.1
OG0000027	CBS138_protein	NP_011713.1	XP_446765.1
OG0000027	BG2_protein	NP_011713.1	QNG14100.1
OG0000027	CBS138_protein	NP_012549.3	XP_445142.1, XP_445143.1
OG0000027	BG2_protein	NP_012549.3	QNG12479.1, QNG12480.1
OG0000028	CBS138_protein	NP_013029.3, NP_011828.1	XP_445860.1
OG0000028	BG2_protein	NP_013029.3, NP_011828.1	QNG13208.1
OG0000028	CBS138_protein	NP_013052.1, NP_013030.1	XP_445319.1
OG0000028	BG2_protein	NP_013052.1, NP_013030.1	QNG12656.1
OG0000029	BG2_protein	NP_009564.1	QNG14571.1, QNG12687.1
OG0000029	BG2_protein	NP_014367.1	QNG16999.1
OG0000029	CBS138_protein	NP_014367.1	XP_445354.1, XP_449637.1, XP_447226.1
OG0000030	CBS138_protein	NP_014368.1, NP_009563.1	XP_445355.1, XP_447225.1, XP_449638.1
OG0000030	BG2_protein	NP_014368.1, NP_009563.1	QNG17000.1, QNG14570.1, QNG12688.1
OG0000031	BG2_protein	NP_014038.1	QNG13714.1, QNG17313.1
OG0000031	CBS138_protein	NP_014038.1	XP_446377.1, XP_449946.1
OG0000031	CBS138_protein	NP_013447.1	XP_446407.1
OG0000031	BG2_protein	NP_013447.1	QNG13745.1
OG0000032	CBS138_protein	NP_015321.1	XP_449164.1
OG0000032	BG2_protein	NP_015321.1	QNG16519.1
OG0000032	BG2_protein	NP_011600.3	QNG13774.1, QNG13828.1
OG0000032	CBS138_protein	NP_011600.3	XP_446436.1, XP_446490.1
OG0000033	CBS138_protein	NP_015518.1, NP_013048.1, NP_013047.1	XP_444824.1, XP_445420.1
OG0000033	BG2_protein	NP_015518.1, NP_013048.1, NP_013047.1	QNG12157.1, QNG14608.1
OG0000034	CBS138_protein	NP_013591.1	XP_445072.1
OG0000034	BG2_protein	NP_013591.1	QNG12407.1
OG0000034	BG2_protein	NP_015023.1, NP_014006.1	QNG16835.1
OG0000034	CBS138_protein	NP_015023.1, NP_014006.1	XP_449477.1
OG0000035	BG2_protein	NP_010694.1	QNG13430.1
OG0000035	CBS138_protein	NP_010694.1	XP_446088.1
OG0000035	CBS138_protein	NP_014973.1, NP_014796.3	XP_449421.1
OG0000035	BG2_protein	NP_014973.1, NP_014796.3	QNG16780.1
OG0000036	CBS138_protein	NP_015121.1	XP_446753.1
OG0000036	BG2_protein	NP_015121.1	QNG14086.1
OG0000036	CBS138_protein	NP_012371.2, NP_012755.1	XP_449711.1
OG0000036	BG2_protein	NP_012371.2, NP_012755.1	QNG17073.1
OG0000037	CBS138_protein	NP_012483.3	XP_447731.1
OG0000037	BG2_protein	NP_012483.3	QNG14893.1
OG0000037	CBS138_protein	NP_012542.1, NP_011708.3	XP_446770.1
OG0000037	BG2_protein	NP_012542.1, NP_011708.3	QNG14105.1
OG0000038	BG2_protein	NP_010927.1, NP_014653.1, NP_014652.1	QNG14561.1, QNG14560.1
OG0000038	CBS138_protein	NP_010927.1, NP_014653.1, NP_014652.1	XP_447215.1, XP_447216.1
OG0000039	BG2_protein	NP_012757.1	QNG17076.1, QNG14678.1, QNG14679.1
OG0000039	CBS138_protein	NP_012757.1	XP_449714.1, XP_447519.1, XP_447520.1
OG0000040	CBS138_protein	NP_014032.1, NP_014555.1, NP_009703.3	XP_447774.1, XP_447590.1
OG0000040	BG2_protein	NP_014032.1, NP_014555.1, NP_009703.3	QNG14937.1, QNG14750.1
OG0000041	CBS138_protein	NP_012257.1, NP_013974.1	XP_448539.1
OG0000041	BG2_protein	NP_012257.1, NP_013974.1	QNG15709.1
OG0000041	CBS138_protein	NP_014962.3	XP_447677.1
OG0000041	BG2_protein	NP_014962.3	QNG14838.1
OG0000042	BG2_protein	NP_014873.3	QNG15031.1
OG0000042	CBS138_protein	NP_014873.3	XP_447870.1
OG0000042	BG2_protein	NP_015186.1, NP_014872.1	QNG15038.1
OG0000042	CBS138_protein	NP_015186.1, NP_014872.1	XP_447877.1
OG0000043	BG2_protein	NP_013565.3, NP_010026.1, NP_014265.3	QNG15810.1, QNG15505.1
OG0000043	CBS138_protein	NP_013565.3, NP_010026.1, NP_014265.3	XP_448640.1, XP_448339.1
OG0000044	BG2_protein	NP_012794.1	QNG15720.1, QNG15719.1, QNG15718.1
OG0000044	CBS138_protein	NP_012794.1	XP_448550.1, XP_448549.1, XP_448548.1
OG0000045	BG2_protein	NP_013173.1	QNG16695.1
OG0000045	CBS138_protein	NP_013173.1	XP_449340.1
OG0000045	CBS138_protein	NP_116611.1, NP_013290.1	XP_448771.1
OG0000045	BG2_protein	NP_116611.1, NP_013290.1	QNG15942.1
OG0000046	BG2_protein	NP_010294.1	QNG16154.1
OG0000046	CBS138_protein	NP_010294.1	XP_447461.1
OG0000046	BG2_protein	NP_014468.3, NP_015267.1	QNG17028.1
OG0000046	CBS138_protein	NP_014468.3, NP_015267.1	XP_449665.1
OG0000047	BG2_protein	NP_014442.1, NP_010013.2, NP_013211.1	QNG16335.1, QNG17219.1
OG0000047	CBS138_protein	NP_014442.1, NP_010013.2, NP_013211.1	XP_449054.1, XP_449851.1
OG0000048	CBS138_protein	NP_015277.1	XP_449323.1
OG0000048	BG2_protein	NP_015277.1	QNG16678.1
OG0000048	BG2_protein	NP_012842.1, NP_011717.4	QNG16390.1
OG0000048	CBS138_protein	NP_012842.1, NP_011717.4	XP_448998.1
OG0000049	CBS138_protein	NP_009315.1, NP_009327.1, NP_009324.1, NP_009316.1, NP_009317.1, NP_009318.1	NP_818777.1
OG0000051	BG2_protein	NP_011959.1	QNG12176.1
OG0000051	CBS138_protein	NP_011959.1	XP_444842.1
OG0000051	CBS138_protein	NP_010628.3	XP_444859.1
OG0000051	BG2_protein	NP_010628.3	QNG12193.1
OG0000052	CBS138_protein	NP_010640.1	XP_447305.1
OG0000052	BG2_protein	NP_010640.1	QNG15999.1
OG0000052	BG2_protein	NP_011974.1	QNG12207.1
OG0000052	CBS138_protein	NP_011974.1	XP_444874.1
OG0000053	CBS138_protein	NP_009707.3	XP_444888.1
OG0000053	BG2_protein	NP_009707.3	QNG12221.1
OG0000053	BG2_protein	NP_014763.1	QNG15996.1
OG0000053	CBS138_protein	NP_014763.1	XP_447302.1
OG0000054	CBS138_protein	NP_009486.3, NP_011024.1	XP_447489.1, XP_444962.1
OG0000054	BG2_protein	NP_009486.3, NP_011024.1	QNG14647.1, QNG12296.1
OG0000055	BG2_protein	NP_011261.1, NP_116711.3	QNG14472.1, QNG12310.1
OG0000055	CBS138_protein	NP_011261.1, NP_116711.3	XP_447127.1, XP_444978.1
OG0000056	BG2_protein	NP_009868.3, NP_009866.1, NP_010020.1	QNG12315.1
OG0000056	CBS138_protein	NP_009868.3, NP_009866.1, NP_010020.1	XP_445025.1, XP_444981.1
OG0000057	BG2_protein	NP_013278.1	QNG12350.1
OG0000057	CBS138_protein	NP_013278.1	XP_445016.1
OG0000057	BG2_protein	NP_010793.2	QNG15240.1
OG0000057	CBS138_protein	NP_010793.2	XP_448077.1
OG0000058	CBS138_protein	NP_013281.1	XP_445018.1
OG0000058	BG2_protein	NP_013281.1	QNG12352.1
OG0000058	CBS138_protein	NP_010790.3	XP_448075.1
OG0000058	BG2_protein	NP_010790.3	QNG15238.1
OG0000059	BG2_protein	NP_010407.1	QNG12388.1
OG0000059	CBS138_protein	NP_010407.1	XP_445053.1
OG0000059	BG2_protein	NP_013197.1	QNG17203.1
OG0000059	CBS138_protein	NP_013197.1	XP_449836.1
OG0000060	CBS138_protein	NP_009347.1	XP_448802.1
OG0000060	BG2_protein	NP_009347.1	QNG14615.1
OG0000060	BG2_protein	NP_013254.1	QNG12424.1
OG0000060	CBS138_protein	NP_013254.1	XP_445089.1
OG0000061	CBS138_protein	NP_013461.1	XP_445094.1
OG0000061	BG2_protein	NP_013461.1	QNG12430.1
OG0000061	CBS138_protein	NP_011570.1	XP_448416.1
OG0000061	BG2_protein	NP_011570.1	QNG15583.1
OG0000062	CBS138_protein	NP_013880.1	XP_448480.1
OG0000062	BG2_protein	NP_013880.1	QNG15648.1
OG0000062	BG2_protein	NP_013357.1	QNG12454.1
OG0000062	CBS138_protein	NP_013357.1	XP_445120.1
OG0000063	CBS138_protein	NP_011606.3, NP_015436.1	XP_445150.1, XP_446495.1
OG0000063	BG2_protein	NP_011606.3, NP_015436.1	QNG12487.1, QNG13833.1
OG0000064	BG2_protein	NP_009580.1	QNG12497.1
OG0000064	CBS138_protein	NP_009580.1	XP_445160.1
OG0000064	BG2_protein	NP_009593.1	QNG16151.1
OG0000064	CBS138_protein	NP_009593.1	XP_447458.1
OG0000065	CBS138_protein	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3	XP_445193.1
OG0000065	BG2_protein	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3	QNG12531.1
OG0000066	BG2_protein	NP_010499.1	QNG13648.1
OG0000066	CBS138_protein	NP_010499.1	XP_446310.1
OG0000066	BG2_protein	NP_013329.1	QNG12561.1
OG0000066	CBS138_protein	NP_013329.1	XP_445226.1
OG0000067	BG2_protein	NP_009804.1	QNG12585.1
OG0000067	CBS138_protein	NP_009804.1	XP_445248.1
OG0000067	CBS138_protein	NP_014948.1	XP_447665.1
OG0000067	BG2_protein	NP_014948.1	QNG14826.1
OG0000068	BG2_protein	NP_011039.1	QNG13854.1
OG0000068	CBS138_protein	NP_011039.1	XP_446516.1
OG0000068	BG2_protein	NP_009468.1	QNG12593.1
OG0000068	CBS138_protein	NP_009468.1	XP_445257.1
OG0000069	BG2_protein	NP_014913.3	QNG12643.1
OG0000069	CBS138_protein	NP_014913.3	XP_445306.1
OG0000069	BG2_protein	NP_013770.1	QNG13581.1
OG0000069	CBS138_protein	NP_013770.1	XP_446243.1
OG0000070	CBS138_protein	NP_014446.3	XP_445328.1
OG0000070	BG2_protein	NP_014446.3	QNG12665.1
OG0000070	CBS138_protein	NP_010018.1	XP_445706.1
OG0000070	BG2_protein	NP_010018.1	QNG13057.1
OG0000071	CBS138_protein	NP_009555.1, NP_010284.1	XP_445364.1, XP_449801.1
OG0000071	BG2_protein	NP_009555.1, NP_010284.1	QNG12696.1, QNG17164.1
OG0000072	CBS138_protein	NP_010511.3, NP_009552.1	XP_448713.1, XP_445367.1
OG0000072	BG2_protein	NP_010511.3, NP_009552.1	QNG15886.1, QNG12699.1
OG0000073	CBS138_protein	NP_012405.2	XP_449022.1
OG0000073	BG2_protein	NP_012405.2	QNG16367.1
OG0000073	BG2_protein	NP_012643.3	QNG12719.1
OG0000073	CBS138_protein	NP_012643.3	XP_445387.1
OG0000074	BG2_protein	NP_009421.3	QNG12726.1
OG0000074	CBS138_protein	NP_009421.3	XP_445393.1
OG0000074	CBS138_protein	NP_010265.1	XP_448301.1
OG0000074	BG2_protein	NP_010265.1	QNG15466.1
OG0000075	CBS138_protein	NP_014582.1	XP_445397.1
OG0000075	BG2_protein	NP_014582.1	QNG12730.1
OG0000075	CBS138_protein	NP_010262.1	XP_448298.1
OG0000075	BG2_protein	NP_010262.1	QNG15463.1
OG0000076	BG2_protein	NP_013517.1	QNG13531.1
OG0000076	CBS138_protein	NP_013517.1	XP_446194.1
OG0000076	CBS138_protein	NP_012734.1	XP_445431.1
OG0000076	BG2_protein	NP_012734.1	QNG12776.1
OG0000077	BG2_protein	NP_015405.1, NP_009676.1	QNG12811.1, QNG15731.1
OG0000077	CBS138_protein	NP_015405.1, NP_009676.1	XP_445466.1, XP_448561.1
OG0000078	CBS138_protein	NP_011318.2	XP_445493.1
OG0000078	BG2_protein	NP_011318.2	QNG12839.1
OG0000078	CBS138_protein	NP_011058.3	XP_448316.1
OG0000078	BG2_protein	NP_011058.3	QNG15481.1
OG0000079	CBS138_protein	NP_013120.1	XP_445558.1
OG0000079	BG2_protein	NP_013120.1	QNG12907.1
OG0000079	CBS138_protein	NP_013089.1	XP_445651.1
OG0000079	BG2_protein	NP_013089.1	QNG13002.1
OG0000080	CBS138_protein	NP_010586.3	XP_446861.1
OG0000080	BG2_protein	NP_010586.3	QNG14195.1
OG0000080	BG2_protein	NP_011898.1	QNG12934.1
OG0000080	CBS138_protein	NP_011898.1	XP_445585.1
OG0000081	BG2_protein	NP_011910.1, NP_011909.1	QNG12943.1, QNG17271.1
OG0000081	CBS138_protein	NP_011910.1, NP_011909.1	XP_445594.1, XP_449905.1
OG0000082	BG2_protein	NP_012832.1	QNG15327.1
OG0000082	CBS138_protein	NP_012832.1	XP_448166.1
OG0000082	BG2_protein	NP_013796.1	QNG12951.1
OG0000082	CBS138_protein	NP_013796.1	XP_445602.2
OG0000083	CBS138_protein	NP_015464.1, NP_011636.3	XP_445625.1, XP_447707.1
OG0000083	BG2_protein	NP_015464.1, NP_011636.3	QNG12976.1, QNG14867.1
OG0000084	BG2_protein	NP_011466.1	QNG13032.1
OG0000084	CBS138_protein	NP_011466.1	XP_445680.1
OG0000084	BG2_protein	NP_011678.3	QNG13181.1
OG0000084	CBS138_protein	NP_011678.3	XP_445832.1
OG0000085	CBS138_protein	NP_013407.1	XP_445684.1
OG0000085	BG2_protein	NP_013407.1	QNG13036.1
OG0000085	CBS138_protein	NP_012335.1	XP_446075.1
OG0000085	BG2_protein	NP_012335.1	QNG13417.1
OG0000086	CBS138_protein	NP_015019.1	XP_445696.1
OG0000086	BG2_protein	NP_015019.1	QNG13047.1
OG0000086	CBS138_protein	NP_010996.2	XP_447844.1
OG0000086	BG2_protein	NP_010996.2	QNG15005.1
OG0000087	CBS138_protein	NP_014100.2	XP_449509.1
OG0000087	BG2_protein	NP_014100.2	QNG16869.1
OG0000087	BG2_protein	NP_014526.1	QNG13131.1
OG0000087	CBS138_protein	NP_014526.1	XP_445781.1
OG0000088	CBS138_protein	NP_013086.1	XP_445834.1
OG0000088	BG2_protein	NP_013086.1	QNG13183.1
OG0000088	CBS138_protein	NP_010419.3	XP_449053.1
OG0000088	BG2_protein	NP_010419.3	QNG16336.1
OG0000089	BG2_protein	NP_009634.2, NP_010340.1	QNG13237.1, QNG16783.1
OG0000089	CBS138_protein	NP_009634.2, NP_010340.1	XP_445889.1, XP_449424.1
OG0000090	CBS138_protein	NP_014332.1, NP_011368.3	XP_445905.1, XP_446742.1
OG0000090	BG2_protein	NP_014332.1, NP_011368.3	QNG13253.1, QNG14075.1
OG0000091	BG2_protein	NP_015103.1, NP_011376.3	QNG13292.1, QNG14530.1
OG0000091	CBS138_protein	NP_015103.1, NP_011376.3	XP_445947.1, XP_447185.1
OG0000092	CBS138_protein	NP_013902.1	XP_447182.1
OG0000092	BG2_protein	NP_013902.1	QNG14527.1
OG0000092	BG2_protein	NP_015100.2	QNG13295.1
OG0000092	CBS138_protein	NP_015100.2	XP_445950.1
OG0000093	BG2_protein	NP_012765.3	QNG13305.1
OG0000093	CBS138_protein	NP_012765.3	XP_445960.2
OG0000093	BG2_protein	NP_011913.1	QNG14888.1
OG0000093	CBS138_protein	NP_011913.1	XP_447726.1
OG0000094	BG2_protein	NP_012719.2	QNG15412.1
OG0000094	CBS138_protein	NP_012719.2	XP_448247.1
OG0000094	BG2_protein	NP_012600.1	QNG13340.1
OG0000094	CBS138_protein	NP_012600.1	XP_445995.1
OG0000095	BG2_protein	NP_009373.1	QNG13973.1
OG0000095	CBS138_protein	NP_009373.1	XP_446637.1
OG0000095	CBS138_protein	NP_014971.1	XP_446003.1
OG0000095	BG2_protein	NP_014971.1	QNG13348.1
OG0000096	CBS138_protein	NP_014966.1	XP_446007.1
OG0000096	BG2_protein	NP_014966.1	QNG13352.1
OG0000096	CBS138_protein	NP_009379.2	XP_448088.1
OG0000096	BG2_protein	NP_009379.2	QNG15250.1
OG0000097	BG2_protein	NP_009385.2	QNG14409.1
OG0000097	CBS138_protein	NP_009385.2	XP_447067.1
OG0000097	CBS138_protein	NP_014597.1	XP_446013.1
OG0000097	BG2_protein	NP_014597.1	QNG13357.1
OG0000098	BG2_protein	NP_009387.1	QNG14411.1
OG0000098	CBS138_protein	NP_009387.1	XP_447069.1
OG0000098	BG2_protein	NP_014599.1	QNG13360.1
OG0000098	CBS138_protein	NP_014599.1	XP_446016.1
OG0000099	BG2_protein	NP_010613.1	QNG16764.1
OG0000099	CBS138_protein	NP_010613.1	XP_449405.1
OG0000099	CBS138_protein	NP_011948.1	XP_446112.1
OG0000099	BG2_protein	NP_011948.1	QNG13455.1
OG0000100	BG2_protein	NP_014000.1	QNG13460.1
OG0000100	CBS138_protein	NP_014000.1	XP_446118.1
OG0000100	BG2_protein	NP_013598.1	QNG15159.1
OG0000100	CBS138_protein	NP_013598.1	XP_447996.1
OG0000101	CBS138_protein	NP_014467.3	XP_447998.1
OG0000101	BG2_protein	NP_014467.3	QNG15161.1
OG0000101	CBS138_protein	NP_014002.1	XP_446120.1
OG0000101	BG2_protein	NP_014002.1	QNG13462.1
OG0000102	CBS138_protein	NP_015149.1	XP_446125.1
OG0000102	BG2_protein	NP_015149.1	QNG13466.1
OG0000102	CBS138_protein	NP_014899.1	XP_448611.1
OG0000102	BG2_protein	NP_014899.1	QNG15781.1
OG0000103	BG2_protein	NP_116670.1	QNG15850.1
OG0000103	CBS138_protein	NP_116670.1	XP_448679.1
OG0000103	CBS138_protein	NP_013359.1	XP_446176.1
OG0000103	BG2_protein	NP_013359.1	QNG13513.1
OG0000104	CBS138_protein	NP_011659.3, NP_015485.1	XP_447683.1, XP_446183.1
OG0000104	BG2_protein	NP_011659.3, NP_015485.1	QNG14844.1, QNG13520.1
OG0000105	CBS138_protein	NP_012851.1, NP_013769.1	XP_448992.1, XP_446242.1
OG0000105	BG2_protein	NP_012851.1, NP_013769.1	QNG16396.1, QNG13580.1
OG0000106	BG2_protein	NP_011453.1, NP_009777.1	QNG13609.1, QNG15687.1
OG0000106	CBS138_protein	NP_011453.1, NP_009777.1	XP_446270.1, XP_448518.1
OG0000107	BG2_protein	NP_011754.3	QNG13654.1
OG0000107	CBS138_protein	NP_011754.3	XP_446316.1
OG0000107	BG2_protein	NP_012028.1	QNG16036.1
OG0000107	CBS138_protein	NP_012028.1	XP_447342.1
OG0000108	BG2_protein	NP_011757.3	QNG13657.1
OG0000108	CBS138_protein	NP_011757.3	XP_446319.1
OG0000108	CBS138_protein	NP_012031.1	XP_447345.1
OG0000108	BG2_protein	NP_012031.1	QNG16039.1
OG0000109	BG2_protein	NP_011770.3, NP_012044.1	QNG13666.1, QNG16054.1
OG0000109	CBS138_protein	NP_011770.3, NP_012044.1	XP_446328.1, XP_447360.1
OG0000110	CBS138_protein	NP_011795.1, NP_014035.1	XP_446378.1, XP_449944.1
OG0000110	BG2_protein	NP_011795.1, NP_014035.1	QNG13716.1, QNG17311.1
OG0000111	CBS138_protein	NP_014724.1	XP_448470.1
OG0000111	BG2_protein	NP_014724.1	QNG15637.1
OG0000111	BG2_protein	NP_013015.1	QNG13803.1
OG0000111	CBS138_protein	NP_013015.1	XP_446465.1
OG0000112	BG2_protein	NP_012115.1	QNG14425.1
OG0000112	CBS138_protein	NP_012115.1	XP_447083.1
OG0000112	BG2_protein	NP_013022.1	QNG13811.1
OG0000112	CBS138_protein	NP_013022.1	XP_446473.1
OG0000113	BG2_protein	NP_012943.1	QNG13842.1
OG0000113	CBS138_protein	NP_012943.1	XP_446504.1
OG0000113	CBS138_protein	NP_012453.1	XP_449485.1
OG0000113	BG2_protein	NP_012453.1	QNG16843.1
OG0000114	BG2_protein	NP_014751.1, NP_014295.1	QNG13987.1, QNG13902.1
OG0000114	CBS138_protein	NP_014751.1, NP_014295.1	XP_446653.1, XP_446566.1
OG0000115	BG2_protein	NP_012003.1	QNG13966.1
OG0000115	CBS138_protein	NP_012003.1	XP_446629.1
OG0000115	BG2_protein	NP_014245.1	QNG15125.1
OG0000115	CBS138_protein	NP_014245.1	XP_447964.1
OG0000116	CBS138_protein	NP_014304.1	XP_446643.1
OG0000116	BG2_protein	NP_014304.1	QNG13978.1
OG0000116	BG2_protein	NP_014735.1	QNG16456.1
OG0000116	CBS138_protein	NP_014735.1	XP_448934.1
OG0000117	CBS138_protein	NP_013684.1, NP_010741.1	XP_448495.1, XP_446677.1
OG0000117	BG2_protein	NP_013684.1, NP_010741.1	QNG15663.1, QNG14009.1
OG0000118	CBS138_protein	NP_010378.1	XP_446714.1
OG0000118	BG2_protein	NP_010378.1	QNG14048.1
OG0000118	CBS138_protein	NP_011093.3	XP_449281.1
OG0000118	BG2_protein	NP_011093.3	QNG16638.1
OG0000120	BG2_protein	NP_012140.1	QNG14076.1
OG0000120	CBS138_protein	NP_012140.1	XP_446743.1
OG0000120	BG2_protein	NP_014933.3	QNG16917.1
OG0000120	CBS138_protein	NP_014933.3	XP_449556.1
OG0000121	CBS138_protein	NP_013403.1, NP_014833.3	XP_447274.1, XP_446773.1
OG0000121	BG2_protein	NP_013403.1, NP_014833.3	QNG15968.1, QNG14108.1
OG0000122	BG2_protein	NP_012595.1	QNG14212.1
OG0000122	CBS138_protein	NP_012595.1	XP_446877.1
OG0000122	BG2_protein	NP_012721.1	QNG14541.1
OG0000122	CBS138_protein	NP_012721.1	XP_447196.1
OG0000123	CBS138_protein	NP_012723.3	XP_447197.1
OG0000123	BG2_protein	NP_012723.3	QNG14542.1
OG0000123	BG2_protein	NP_012593.3	QNG14214.1
OG0000123	CBS138_protein	NP_012593.3	XP_446879.1
OG0000124	CBS138_protein	NP_015251.1	XP_447029.1
OG0000124	BG2_protein	NP_015251.1	QNG14370.1
OG0000124	BG2_protein	NP_010966.1	QNG14985.1
OG0000124	CBS138_protein	NP_010966.1	XP_447823.1
OG0000125	BG2_protein	NP_015244.1, NP_009748.3	QNG16992.1, QNG14376.1
OG0000125	CBS138_protein	NP_015244.1, NP_009748.3	XP_449630.1, XP_447035.1
OG0000126	BG2_protein	NP_009740.3, NP_015235.1	QNG16983.1, QNG14382.1
OG0000126	CBS138_protein	NP_009740.3, NP_015235.1	XP_449621.1, XP_447041.1
OG0000127	BG2_protein	NP_010763.2	QNG17097.1
OG0000127	CBS138_protein	NP_010763.2	XP_449735.1
OG0000127	BG2_protein	NP_014662.1	QNG14502.1
OG0000127	CBS138_protein	NP_014662.1	XP_447158.1
OG0000128	BG2_protein	NP_010933.1	QNG14553.1
OG0000128	CBS138_protein	NP_010933.1	XP_447208.1
OG0000128	CBS138_protein	NP_013807.1	XP_447770.1
OG0000128	BG2_protein	NP_013807.1	QNG14933.1
OG0000129	CBS138_protein	NP_010316.1, NP_009610.1	XP_448732.1, XP_447235.1
OG0000129	BG2_protein	NP_010316.1, NP_009610.1	QNG15904.1, QNG14580.1
OG0000130	CBS138_protein	NP_015299.1	XP_447483.1
OG0000130	BG2_protein	NP_015299.1	QNG14641.1
OG0000130	CBS138_protein	NP_010533.1	XP_448705.1
OG0000130	BG2_protein	NP_010533.1	QNG15878.1
OG0000131	CBS138_protein	NP_015067.1	XP_447504.1
OG0000131	BG2_protein	NP_015067.1	QNG14662.1
OG0000131	CBS138_protein	NP_013926.1	XP_449230.1
OG0000131	BG2_protein	NP_013926.1	QNG16587.1
OG0000132	BG2_protein	NP_009698.3	QNG17143.1
OG0000132	CBS138_protein	NP_009698.3	XP_449781.1
OG0000132	BG2_protein	NP_014560.1	QNG14753.1
OG0000132	CBS138_protein	NP_014560.1	XP_447593.1
OG0000134	CBS138_protein	NP_015184.1	XP_449456.1
OG0000134	BG2_protein	NP_015184.1	QNG16814.1
OG0000134	BG2_protein	NP_014876.1	QNG15034.1
OG0000134	CBS138_protein	NP_014876.1	XP_447873.1
OG0000135	BG2_protein	NP_014880.3	QNG15036.1
OG0000135	CBS138_protein	NP_014880.3	XP_447875.1
OG0000135	BG2_protein	NP_015180.1	QNG16811.1
