!
!Date: 05/27/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
MSN2	YMR037C	GRE1	YPL223C	positive	transcription	cellular response to salt stress	transcription factor	positive	transcription	cellular response to salt stress	manually curated	northern blot evidence	S288C	Martínez-Montañés F, et al. (2013) PMID:23435728
MSN2	YMR037C	HSP12	YFL014W	positive	transcription	cellular response to stress	transcription factor	positive	transcription	cellular response to stress	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Cho BR and Hahn JS (2017) PMID:28330760
MSN2	YMR037C	HSP12	YFL014W	positive	transcription	cellular response to osmotic stress	transcription factor	positive	transcription	cellular response to osmotic stress	manually curated	quantitative reverse transcription polymerase chain reaction evidence	Other	Bai C, et al. (2020) PMID:32804965
MSN2	YMR037C	PHM8	YER037W		transcription	cellular response to salt stress	transcription factor		transcription	cellular response to salt stress	manually curated	chromatin immunoprecipitation-qPCR evidence	S288C	Martínez-Montañés F, et al. (2013) PMID:23435728
MSN2	YMR037C	PNS1	YOR161C	positive	transcription	cellular response to heat	transcription factor	positive	transcription	cellular response to heat	manually curated	northern blot evidence	S288C	Ruiz-Roig C, et al. (2010) PMID:20398213
MSN2	YMR037C	RTC3	YHR087W	positive	transcription		transcription factor	positive	transcription		manually curated	quantitative reverse transcription polymerase chain reaction evidence	Other	Bai C, et al. (2020) PMID:32804965
MSN2	YMR037C	RTN2	YDL204W	positive	transcription	cellular response to salt stress	transcription factor	positive	transcription	cellular response to salt stress	manually curated	northern blot evidence	S288C	Martínez-Montañés F, et al. (2013) PMID:23435728
MSN2	YMR037C	SPI1	YER150W	positive	transcription	cellular response to acidic pH	transcription factor	positive	transcription	cellular response to acidic pH	manually curated	northern blot evidence	S288C	Simões T, et al. (2006) PMID:16980434
MSN2	YMR037C	SPS100	YHR139C	positive	transcription	cellular response to salt stress	transcription factor	positive	transcription	cellular response to salt stress	manually curated	northern blot evidence	S288C	Martínez-Montañés F, et al. (2013) PMID:23435728
MSN2	YMR037C	TPS1	YBR126C	positive	transcription	cellular response to heat	transcription factor	positive	transcription	cellular response to heat	manually curated	northern blot evidence	S288C	Ruiz-Roig C, et al. (2010) PMID:20398213
MSN2	YMR037C	TPS1	YBR126C	positive	transcription		transcription factor	positive	transcription		manually curated	northern blot evidence	Other	Nakazawa N, et al. (2014) PMID:25273988
MSN2	YMR037C	YHR140W	YHR140W	positive	transcription	cellular response to salt stress	transcription factor	positive	transcription	cellular response to salt stress	manually curated	northern blot evidence	S288C	Martínez-Montañés F, et al. (2013) PMID:23435728
